Sex,Age,Ethnicity,Ethnicity_Collapsed,Ethnicity_binary,Region,Type_Of_Org,Specific_Type_Of_Org,Education_Band,BORNUK,BORNUK_binary,Annual_Income,Weekly_Income,income_drop,income_group,OutsourcedNonOL,TradeUnion,TUCOV,Occupation_Catergory,Organisation_Catergory,Guaranteed_Hours,Notice_Of_Working_Hours,Notice_Of_Cancelled_Shifts,Cancelled_Shift_Pay,Sick_Pay,RightsViolations_Paid_On_Time,RightsViolations_Paid_Correct_Amount,RightsViolations_Leave_Entitlement,RightsViolations_Holiday_Pay,RightsViolations_Sick_Pay,RightsViolations_Pay_Slip,RightsViolations_Health_Safety,RightsViolations_None,RightsViolations_TEXT,Job_Satisfaction,Pay_Comparison,Training_Induction,Treatment_At_Work_InHouse,Treatment_At_Work_Managers,Treatment_At_Work_Overall,Inhouse_Discrimination_Age,Inhouse_Discrimination_Disability,Inhouse_Discrimination_Nationality,Inhouse_Discrimination_Ethnicity,Inhouse_Discrimination_Sex,Client_Discrimination_Age,Client_Discrimination_Disability,Client_Discrimination_Nationality,Client_Discrimination_Ethnicity,Client_Discrimination_Sex,Clarity1,Clarity2,Clarity3,Clarity4,Clarity5,Clarity6,Clarity7,Clarity8,Clarity9,Clarity10,Clarity11,Clarity_Overall_Mean,Why_Job_Like,Why_Job_Convinient,Why_Job_Flexibility,Why_Job_Pay,Why_Job_Collegues,Why_Job_Culture,Why_Job_Progress,Why_Job_BestAvailable,Why_Job_NotQualified,Why_Job_Health,Why_Job_Carer,Pros_And_Cons_Flexibility,Pros_And_Cons_Pay,Pros_And_Cons_Hours,Pros_And_Cons_Holiday,Pros_And_Cons_Terms,Pros_And_Cons_Promotion,Pros_And_Cons_Training,Pros_And_Cons_Security,Pros_And_Cons_Treatment,Pros_And_Cons_Specialisation,Pros_And_Cons_Connection,Pros_And_Cons_FeelInvested,Pros_And_Cons_Rights,Pros_And_Cons_HealthSafety,Work_Preference,What_Improvements_Pay,What_Improvements_MoreHours,What_Improvements_LessHours,What_Improvements_MoreConsistency,What_Improvements_MoreFlexibility,What_Improvements_PartofInhouse,What_Improvements_PartofOutsourced,What_Improvements_Treatment,What_Improvements_BetterTerms,What_Improvements_EnforceRights,What_Improvements_Management,What_Improvements_Autonomy,What_Improvements_Union,What_Improvements_Other,What_Improvements_None,What_Improvements_Other_TEXT,Complaints,Outsourced
Male,65,English / Welsh / Scottish / Northern Irish / British,White British,White,West Midlands,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,16290,350,0,Low,group 2 agency and long term,No,No,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",25-35 hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,4,NA – there are no in-house colleagues in comparable roles to mine,I felt prepared and adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,Usually respected and treated well,Never,Never,Never,Never,Never,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.4545454545454546,NA,My job is in a convenient location,NA,NA,NA,NA,NA,This was the best job available to me,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have less job security,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I would prefer to be an in-house worker,NA,NA,NA,NA,NA,NA,NA,NA,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Somewhat agree,1.251198573516371
Male,25,English / Welsh / Scottish / Northern Irish / British,White British,White,North East,Some other kind of organisation,Local government or council (including fire service and local authority controlled schools or colleges),High,I was born in the UK,Born in UK,30000,644.5672191528545,0,Mid,group 1 outsourced and long term,No,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Education  (schools, colleges, or training centres)",35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,3.8181818181818183,NA,My job is in a convenient location,NA,NA,NA,NA,NA,This was the best job available to me,NA,NA,NA,Neither / no impact,Neither / no impact,Don't know,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Don't know,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Somewhat agree,0.605515951695355
Female,28,White and Black African,Mixed/Multiple ethnic groups,Non-White,East Midlands,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,50000,1074.2786985880907,0,High,group 1 outsourced and long term,Yes,Don't know,"Managers, directors and senior officials (e.g. CEOs, MDs, board members, elected officials, shop owners, business owners","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",35+ hours,4 weeks or more,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,NA,NA,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,I like doing this kind of work,NA,NA,The pay is good,NA,NA,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,I can do the job alongside managing my health conditions,NA,Neither / no impact,I get paid less,Neither / no impact,I get better holiday leave,I get better terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  more access to training and development,I have more job security,I am treated better than in-house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it easier to assert my rights at work,Neither / no impact,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,NA,Finding it easier to understand and enforce my rights,Finding it easier to understand lines of management and who is responsible for me,NA,Being represented at work through a union or workplace council,NA,NA,,Strongly agree,0.848336202635824
Male,30,African,Black/African/Caribbean/Black British,Non-White,South East,"A private firm, business or limited company",NA,High,Within the last 3 years,Not born in UK,27600,593.0018416206261,0,Mid,group 1 outsourced and long term,Yes,Yes,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)","Accommodation and Food Service Activities  (accommodation or food services, such as hotels, restaurants, and catering se",35+ hours,1-2 weeks,No,NA,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,Not being given pay that I am entitled to while being off sick,NA,Not having adequate health and safety protections,NA,,5,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Rarely,Never,Never,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,Never,NA - I don't interact with clients  or customers in my role,NA - I don't interact with clients  or customers in my role,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4.818181818181818,NA,My job is in a convenient location,I can work flexibly in a way which suits me,The pay is good,NA,NA,NA,NA,NA,NA,NA,I get to work more flexibly,Neither / no impact,I have less secure working hours,Neither / no impact,Neither / no impact,I have more opportunity to progress onto higher pay or be promoted,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I feel more connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is more protected,I have no preference,Higher pay,NA,NA,NA,More flexible working hours,NA,Feeling more like a part of the team with other outsourced staff,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,0.34203588065623547
Male,51,Any other White background,White Other,Non-White,South East,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,NA,NA,0,NA,group 2 agency and long term,No,No,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",No guaranteed hours (zero hours),Less than 24 hours,Yes,100%,"No, I do not have access to sick pay if I am off work sick",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I don’t know / I’m not sure,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,I like doing this kind of work,NA,I can work flexibly in a way which suits me,NA,NA,NA,NA,NA,NA,NA,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Strongly agree,0.9866626146023658
Male,49,English / Welsh / Scottish / Northern Irish / British,White British,White,West Midlands,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,30000,644.5672191528545,0,Mid,group 2 agency and long term,No,No,"Professional, scientific, technical and associated occupations (e.g. doctor, nurse, teacher, lawyer, accountants, journa","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",35+ hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Usually respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.7272727272727275,I like doing this kind of work,NA,NA,NA,I like my colleagues,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I feel more invested in my role and my work,Neither / no impact,Neither / no impact,I have no preference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don’t think anything needs improving,,Somewhat agree,1.6227411885074527
Female,48,English / Welsh / Scottish / Northern Irish / British,White British,White,East Midlands,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,25000,537.1393492940454,0,Mid,group 3 5 or 6 indicators and long term,No,No,"Sales and customer service occupations (e.g. sales and retail assistants, call centre workers, pharmacy workers)","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",35+ hours,More than 2 weeks but less than 4 weeks,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,7,NA – there are no in-house colleagues in comparable roles to mine,I felt prepared and adequately trained,I feel I am treated  better  than in-house staff,I feel I am treated  the same  as in-house staff,Always disrespected or treated poorly,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,NA,NA,NA,The pay is good,I like my colleagues,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,NA,NA,NA,NA,More flexible working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Strongly agree,1.5243881835048394
Female,53,English / Welsh / Scottish / Northern Irish / British,White British,White,North West,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,NA,NA,0,NA,group 3 5 or 6 indicators and long term,Yes,Don't know,"Elementary and routine jobs (e.g. postal workers, cleaners, parking inspector, porters, bar staff and waiters)",I’m not sure,16-24 hours,Not applicable – my job does not involve variable working hours or shift work,Not applicable - my job does not involve variable working hours or shift work,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,6,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt very well prepared and well trained,I feel I am treated  the same  as in-house staff,I feel I am treated  the same  as in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,4.818181818181818,I like doing this kind of work,My job is in a convenient location,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,Neither / no impact,I have no preference,Higher pay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat agree,1.1691331672494523
Male,55,English / Welsh / Scottish / Northern Irish / British,White British,White,South East,"A private firm, business or limited company",NA,High,I was born in the UK,Born in UK,24000,515.6537753222835,0,Mid,group 1 outsourced and long term,Yes,Yes,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,"Yes, my employer pays my usual rate of pay for my usual working hours, so I receive my usual pay",NA,NA,NA,NA,NA,NA,NA,None of these,,7,I think I get paid  about the same  as my colleagues in comparable roles who work in-house.,I felt prepared and adequately trained,I feel I am treated  the same  as in-house staff,I feel I am treated  worse  than in-house staff,Always respected and treated well,Never,Never,Never,Never,Never,Sometimes,Don’t know,Don’t know,Don’t know,Don’t know,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4.636363636363637,NA,My job is in a convenient location,NA,NA,NA,I like the workplace culture,NA,NA,NA,NA,NA,I get to work more flexibly,I get paid less,I have less secure working hours,I get worse holiday leave,I get worse terms and conditions,I have more opportunity to progress onto higher pay or be promoted,I have  less access to training and development,I have less job security,I am treated worse than in house colleagues,I have more opportunity to specialise in my role or industry,I feel more connected to people I work with,I feel more invested in my role and my work,I find it harder to assert my rights at work,My health and safety at work is more protected,I would prefer to be an in-house worker,NA,NA,NA,NA,NA,NA,NA,Being treated better,"Better terms and conditions, such as improved sick pay or holiday pay",NA,NA,NA,NA,NA,NA,,Somewhat agree,0.6756700291372965
Male,55,English / Welsh / Scottish / Northern Irish / British,White British,White,Scotland,"A private firm, business or limited company",NA,Mid,I was born in the UK,Born in UK,25000,537.1393492940454,0,Mid,group 1 outsourced and long term,No,No,"Skilled trades and skilled manual occupations (e.g. farmers, tool makers, electricians, plumbers, builders)","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",35+ hours,Not applicable – my job does not involve variable working hours or shift work,No,NA,I don’t know / I’m not sure,NA,Not being paid the full amount I am entitled to for the work I have completed,NA,NA,NA,NA,NA,NA,,4,NA – there are no in-house colleagues in comparable roles to mine,I did not feel prepared or adequately trained,It’s not possible to say / there are no in-house staff I can compare myself to,It’s not possible to say / there are no in-house staff I can compare myself to,"Sometimes well, sometimes poorly",Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Somewhat agree,Somewhat disagree,Somewhat agree,Not sure,Not sure,Somewhat disagree,Somewhat disagree,Somewhat disagree,Not sure,Not sure,Not sure,2.6666666666666665,NA,My job is in a convenient location,NA,NA,NA,NA,NA,NA,I do not have the formal qualifications I need to do another job I would prefer,NA,NA,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Not sure,Higher pay,NA,Fewer working hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Somewhat disagree,1.3875785231986488
