outsourcing_status,BORNUK,Frequency,Sum,Percentage
Not outsourced,I was born in the UK,7320,8472,86.40226628895185
Not outsourced,Within the last year,115,8472,1.357412653446648
Not outsourced,Within the last 3 years,135,8472,1.593484419263456
Not outsourced,Within the last 5 years,116,8472,1.3692162417374882
Not outsourced,Within the last 10 years,183,8472,2.160056657223796
Not outsourced,Within the last 15 years,137,8472,1.6170915958451368
Not outsourced,Within the last 20 years,127,8472,1.4990557129367328
Not outsourced,Within the last 30 years,103,8472,1.2157695939565627
Not outsourced,More than 30 years ago,149,8472,1.7587346553352219
Not outsourced,Prefer not to say,87,8472,1.0269121813031163
Outsourced,I was born in the UK,1278,1683,75.93582887700535
Outsourced,Within the last year,65,1683,3.8621509209744507
Outsourced,Within the last 3 years,45,1683,2.6737967914438503
Outsourced,Within the last 5 years,40,1683,2.3767082590612003
Outsourced,Within the last 10 years,71,1683,4.21865715983363
Outsourced,Within the last 15 years,53,1683,3.1491384432560903
Outsourced,Within the last 20 years,44,1683,2.6143790849673203
Outsourced,Within the last 30 years,14,1683,0.8318478906714201
Outsourced,More than 30 years ago,39,1683,2.3172905525846703
Outsourced,Prefer not to say,34,1683,2.0202020202020203
