outsourcing_status,BORNUK_labelled,n,Frequency,N,Sum,Percentage
Not outsourced,I was born in the UK,7320,7257.709357834247,8472,8446.644209397018,85.92417506777352
Not outsourced,Within the last year,115,98.77173055634292,8472,8446.644209397018,1.1693606136086316
Not outsourced,Within the last 3 years,135,132.10996741112805,8472,8446.644209397018,1.5640527070401964
Not outsourced,Within the last 5 years,116,118.72836921846809,8472,8446.644209397018,1.4056276821318103
Not outsourced,Within the last 10 years,183,197.0365607527435,8472,8446.644209397018,2.332720023101451
Not outsourced,Within the last 15 years,137,152.2965587434378,8472,8446.644209397018,1.803042190104392
Not outsourced,Within the last 20 years,127,126.98915260022494,8472,8446.644209397018,1.5034272718501343
Not outsourced,Within the last 30 years,103,120.19181756398035,8472,8446.644209397018,1.422953478143014
Not outsourced,More than 30 years ago,149,146.74461638954395,8472,8446.644209397018,1.7373126267860126
Not outsourced,Prefer not to say,87,96.06607832690065,8472,8446.644209397018,1.137328339460844
Outsourced,I was born in the UK,1278,1296.0976382934236,1683,1708.3557906029905,75.86813270530409
Outsourced,Within the last year,65,51.80404156419338,1683,1708.3557906029905,3.032391838348167
Outsourced,Within the last 3 years,45,38.888579123261366,1683,1708.3557906029905,2.2763747070237073
Outsourced,Within the last 5 years,40,37.30553468574004,1683,1708.3557906029905,2.1837099093141763
Outsourced,Within the last 10 years,71,81.87695023233032,1683,1708.3557906029905,4.7927340828359055
Outsourced,Within the last 15 years,53,62.12082698997263,1683,1708.3557906029905,3.6362932904068024
Outsourced,Within the last 20 years,44,51.270325352237144,1683,1708.3557906029905,3.0011503244380076
Outsourced,Within the last 30 years,14,12.350130266876302,1683,1708.3557906029905,0.7229249512782776
Outsourced,More than 30 years ago,39,49.97497553932582,1683,1708.3557906029905,2.925325966301574
Outsourced,Prefer not to say,34,26.666788555629783,1683,1708.3557906029905,1.5609622247492911
