UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
"Artistic, Literary and Media Occupations",Not outsourced,27,25.829595409937248,27492.61111111111,26767.219066762846,29,27.606289956070253,93.56416762643495
"Artistic, Literary and Media Occupations",Outsourced,2,1.7766945461330037,27494,25573.10716552691,29,27.606289956070253,6.435832373565041
Business Associate Professionals,Not outsourced,125,114.91277645727367,32418.77472,32008.016836243947,146,133.4468330859856,86.11128027536658
Business Associate Professionals,Outsourced,21,18.53405662871191,28836.428571428572,28929.99209111287,146,133.4468330859856,13.888719724633415
"CAD, Drawing and Architectural Technicians",Not outsourced,2,1.131952205388185,25000,25000,2,1.131952205388185,100
Design Occupations,Not outsourced,14,11.892122563009117,34703.142857142855,34501.17774449958,16,14.054045180977868,84.61707935239237
Design Occupations,Outsourced,2,2.16192261796875,32025.25,32363.621164361262,16,14.054045180977868,15.382920647607634
Finance Associate Professionals,Not outsourced,55,51.402936927358766,35343.38181818182,33860.57800728433,66,61.191296117778926,84.00367403301956
Finance Associate Professionals,Outsourced,11,9.78835919042016,30678,29800.19335990421,66,61.191296117778926,15.996325966980432
Health Associate Professionals,Not outsourced,41,37.79510673231885,27321.896097560977,26611.82451734282,46,42.42871021348951,89.07908475686475
Health Associate Professionals,Outsourced,5,4.6336034811706615,29749.3,28568.249056564542,46,42.42871021348951,10.920915243135257
"HR, Training and Other Vocational Associate Guidance Professionals",Not outsourced,115,111.11120090188872,33496.30347826087,34364.94993857913,126,120.30416507843537,92.35856533266902
"HR, Training and Other Vocational Associate Guidance Professionals",Outsourced,11,9.19296417654665,33731.454545454544,34433.000739364805,126,120.30416507843537,7.641434667330977
Information Technology Technicians,Not outsourced,90,81.1091060613661,36714.65422222222,34885.82803492248,117,104.54822491627482,77.58056736622795
Information Technology Technicians,Outsourced,27,23.43911885490872,29632.166666666668,27151.00442188037,117,104.54822491627482,22.41943263377205
Legal Associate Professionals,Not outsourced,18,17.299472694186782,28905.416666666668,27095.543846689437,19,18.483495083666686,93.59416396022316
Legal Associate Professionals,Outsourced,1,1.1840223894799036,20400,20400,19,18.483495083666686,6.405836039776855
Protective Service Occupations,Not outsourced,87,87.43607020022714,36995.471264367814,37256.09085277862,98,98.81427628486784,88.48526092339236
Protective Service Occupations,Outsourced,11,11.378206084640713,29770.727272727272,28485.656948803502,98,98.81427628486784,11.514739076607638
Public Services Associate Professionals,Not outsourced,10,7.599277645293112,31007.1,30263.985633929497,14,10.760004095284678,70.62523004636512
Public Services Associate Professionals,Outsourced,4,3.1607264499915666,18774,18770.476495518586,14,10.760004095284678,29.374769953634882
Regulatory Associate Professionals,Not outsourced,21,18.983661660064943,37434.76666666667,35602.39004206185,25,21.818071663098195,87.00888856356995
Regulatory Associate Professionals,Outsourced,4,2.83441000303325,46746,47337.265651465495,25,21.818071663098195,12.991111436430034
"Sales, Marketing and Related Associate Professionals",Not outsourced,155,158.18938569374296,31913.514903225805,31972.550948141063,175,173.77671864099239,91.0302524589318
"Sales, Marketing and Related Associate Professionals",Outsourced,20,15.587332947249418,29466.65,29231.144213850956,175,173.77671864099239,8.9697475410682
"Science, Engineering and Production Technicians",Not outsourced,76,84.93716497567137,31726.616842105264,30323.870846633698,87,95.0016506210081,89.40598865435804
"Science, Engineering and Production Technicians",Outsourced,11,10.064485645336728,30768.545454545456,28571.526187206524,87,95.0016506210081,10.594011345641954
Sports and Fitness Occupations,Not outsourced,19,15.126787475043592,19766.57789473684,17978.176142376156,22,17.937552808190794,84.33027423972948
Sports and Fitness Occupations,Outsourced,3,2.810765333147204,17862,15300.58880542332,22,17.937552808190794,15.669725760270536
Teaching and Childcare Associate Professionals,Not outsourced,28,24.863386524766554,16880.61142857143,15695.37282198342,32,28.54863729926248,87.09132510996898
Teaching and Childcare Associate Professionals,Outsourced,4,3.685250774495927,21550,21821.352517189483,32,28.54863729926248,12.908674890031024
Transport Associate Professionals,Not outsourced,5,3.4461321281878563,33220,32459.91596370854,7,5.162265902858161,66.75619181646294
Transport Associate Professionals,Outsourced,2,1.7161337746703045,41025,43293.87846518134,7,5.162265902858161,33.243808183537055
Veterinary nurses,Not outsourced,7,5.721820433417004,23338,23153.66573077528,8,6.835469134411042,83.70779416751776
Veterinary nurses,Outsourced,1,1.1136487009940381,16588,16588,8,6.835469134411042,16.292205832482225
Welfare and Housing Associate Professionals,Not outsourced,84,72.61606221664978,24843.334285714285,24521.367334222756,94,83.12200977194937,87.36081143355011
Welfare and Housing Associate Professionals,Outsourced,10,10.505947555299592,22456.5,22751.63797921961,94,83.12200977194937,12.6391885664499
