UnitOccupation,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,Sum,perc
6,Not outsourced,17,18.711218353743515,17117.454545454544,15685.5052678308,21.280531728713683,87.92646063677341
6,Outsourced,2,2.569313374970169,30000,30000.000000000004,21.280531728713683,12.073539363226582
15,Not outsourced,392,391.5889848948627,30160.023591549296,28213.87415874277,488.49393001675355,80.16250782920325
15,Outsourced,98,96.90494512189086,32458.24972972973,37733.176124790334,488.49393001675355,19.837492170796757
17,Not outsourced,10,8.026530889322427,101355.33333333333,91591.28833514702,24.143222265139205,33.245483147094525
17,Outsourced,10,16.116691375816778,19444.56,18095.45652047155,24.143222265139205,66.75451685290548
18,Not outsourced,7,8.886435881502303,27578.571428571428,26172.666471413537,15.52058040934714,57.25582192886628
18,Outsourced,5,6.634144527844838,24468,25423.81021664678,15.52058040934714,42.74417807113373
41,Not outsourced,15,17.057156451337384,33860.72727272727,37855.26613481082,19.840348434810764,85.97206096143883
41,Outsourced,3,2.7831919834733805,18695.760000000002,16944.57709577303,19.840348434810764,14.027939038561177
44,Not outsourced,55,73.47096767893056,16842.084210526315,19239.85709656832,82.2199750816854,89.35902450218123
44,Outsourced,10,8.749007402754847,15478.297142857144,16245.08857738833,82.2199750816854,10.640975497818776
50,Not outsourced,48,51.99698875648435,30876.44108108108,29591.4104581911,58.841366888832674,88.3680844034789
50,Outsourced,5,6.844378132348326,32933.6,26714.84888741431,58.841366888832674,11.631915596521093
94,Not outsourced,188,177.83624568042856,18750.747086614174,18845.52746766095,207.991137334405,85.50183818385787
94,Outsourced,29,30.154891653976456,16435.57894736842,14763.725080555021,207.991137334405,14.498161816142135
