UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Animal Care and Control Services,Not outsourced,14,14.525266071012775,15681.285714285714,14768.127258248413,16,17.094579445982944,84.97001120683356
Animal Care and Control Services,Outsourced,2,2.569313374970169,22053,23110.870543845296,16,17.094579445982944,15.029988793166432
Caring Personal Services,Not outsourced,332,324.17021834287436,20516.135843373493,19951.771467324885,419,405.6510734075839,79.913561085825
Caring Personal Services,Outsourced,87,81.48085506470954,19774.716149425287,18844.459448399033,419,405.6510734075839,20.086438914175
Cleaning and Housekeeping Managers and Supervisors,Not outsourced,7,5.465593691879789,20900.571428571428,19687.283737276204,17,21.582285067696567,25.324443981422775
Cleaning and Housekeeping Managers and Supervisors,Outsourced,10,16.116691375816778,19444.56,18095.45652047155,17,21.582285067696567,74.67555601857723
Community and Civil Enforcement Occupations,Not outsourced,7,8.886435881502303,27578.571428571428,26172.666471413537,10,12.598413386723381,70.53615093204608
Community and Civil Enforcement Occupations,Outsourced,3,3.7119775052210784,24468,25423.81021664678,10,12.598413386723381,29.463849067953916
Hairdressers and Related Services,Not outsourced,13,13.106877418897188,16240,16632.76354402327,16,15.890069402370568,82.48470844905079
Hairdressers and Related Services,Outsourced,3,2.7831919834733805,19045.84,18101.41784475208,16,15.890069402370568,17.51529155094923
Housekeeping and Related Services,Not outsourced,47,62.33614881215508,15688.64085106383,17780.997259058855,56,70.523471775957,88.39064107647468
Housekeeping and Related Services,Outsourced,9,8.18732296380192,15186.00888888889,13433.689871526265,56,70.523471775957,11.609358923525313
Leisure and Travel Services,Not outsourced,42,44.655072342796466,26172.757619047617,26586.744993162767,45,49.54955698090099,90.1220415754855
Leisure and Travel Services,Outsourced,3,4.8944846381045215,16711.466666666667,20081.613763532983,45,49.54955698090099,9.8779584245145
Teaching and Childcare Support Occupations,Not outsourced,156,146.07031086740758,16365.99282051282,16462.37114676181,184,175.45986276421405,83.24998581795276
Teaching and Childcare Support Occupations,Outsourced,28,29.389551896806466,15286.25,14301.149745471457,184,175.45986276421405,16.75001418204723
