UnitOccupation,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,Sum,perc
28,Not outsourced,47,55.96939155108808,68251.1,85975.59720095394,73.15521539618337,76.50772572806628
28,Outsourced,13,17.18582384509529,141140,88476.11361164243,73.15521539618337,23.492274271933734
29,Not outsourced,7,6.112886875294409,65733.33333333333,57981.80984591176,6.112886875294409,100
30,Not outsourced,127,172.07835263740955,23018.275280898877,21244.151288699148,265.9770474170586,64.69669255617626
30,Outsourced,69,93.89869477964906,16964.256,14277.758930321877,265.9770474170586,35.30330744382375
31,Not outsourced,14,15.747309139557144,32483.333333333332,31697.837745369463,22.777383932010576,69.13572334102163
31,Outsourced,6,7.030074792453431,39480,38736.584968860174,22.777383932010576,30.864276658978373
32,Not outsourced,24,26.517464279745862,49690.21263157895,38592.74805836174,34.2976608596821,77.31566414465867
32,Outsourced,7,7.780196579936233,15320.960000000001,16759.190879534104,34.2976608596821,22.684335855341324
33,Not outsourced,13,14.319578717974865,11372.565999999999,11263.134142919695,15.127868498256046,94.6569486615093
34,Not outsourced,66,74.18339842816216,30559.993777777778,31208.985107240664,114.11461999128468,65.00779517456027
34,Outsourced,33,39.93122156312251,56419.568,45513.0838072479,114.11461999128468,34.992204825439714
35,Not outsourced,143,169.6180400721944,37199.16216216216,41999.832573459345,217.8097534790453,77.87440064685292
35,Outsourced,43,48.191713406850894,67066.41666666667,48697.933129425255,217.8097534790453,22.12559935314708
70,Not outsourced,163,212.12362880372197,17862.220566037737,17173.194470805433,289.7391508260447,73.21193155945916
70,Outsourced,51,77.61552202232274,42795.175,51334.27722419617,289.7391508260447,26.78806844054085
