variable,Estimate,or,Std. Error,t value,Pr(>|t|)
(Intercept),-1.0312594379961557,0.357,0.03080508000334356,-33.476927762700946,3.4364063648623654e-230
Ethnicity_collapsed_disaggregatedIrish,0.33030215458989576,1.391,0.24816796708966463,1.330962083718708,0.18323911157320308
Ethnicity_collapsed_disaggregatedGypsy or Irish Traveller,-1.3205582043062754,0.267,1.3174139228822002,-1.0023867072978827,0.3161869327862081
Ethnicity_collapsed_disaggregatedRoma,-13.652175605091315,0,409.64108292457934,-0.03332716413017801,0.9734145166676657
Ethnicity_collapsed_disaggregatedAny other White background,-0.09052578313188336,0.913,0.13194981602234976,-0.6860622156271141,0.49269359782410704
Ethnicity_collapsed_disaggregatedWhite and Black Caribbean,0.14987392527593815,1.162,0.357215728259563,0.4195613838342402,0.6748170786882822
Ethnicity_collapsed_disaggregatedWhite and Black African,-0.43311708568647395,0.648,0.6316920591767884,-0.6856459241404833,0.49295612199136385
Ethnicity_collapsed_disaggregatedWhite and Asian,-0.16994315695658177,0.844,0.4488198662953864,-0.37864446233031795,0.704961866942365
Ethnicity_collapsed_disaggregatedAny other Mixed / Multiple ethnic background,0.04350158124426157,1.044,0.4248655932549811,0.10238904240512199,0.9184504263680107
Ethnicity_collapsed_disaggregatedIndian,-0.4585232489119498,0.632,0.186661168022895,-2.4564469073487714,0.014052776122053325
Ethnicity_collapsed_disaggregatedPakistani,-0.12317532168275568,0.884,0.27007079257980937,-0.4560853119515165,0.6483409123605323
Ethnicity_collapsed_disaggregatedBangladeshi,0.06837178393316608,1.071,0.37759964748967506,0.18106951208167008,0.8563175647800116
Ethnicity_collapsed_disaggregatedChinese,-0.7649153529797853,0.465,0.27965956874436615,-2.7351660320944937,0.006248509598897375
Ethnicity_collapsed_disaggregatedAny other Asian background,0.2747022292341899,1.316,0.211561274382202,1.2984523279904185,0.19416907422631544
Ethnicity_collapsed_disaggregatedAfrican,0.08711876946788497,1.091,0.19103982491271537,0.4560241274702218,0.6483849069529102
Ethnicity_collapsed_disaggregatedCaribbean,-0.08298863815127956,0.92,0.33716417316390584,-0.24613717813646896,0.8055823079432893
"Ethnicity_collapsed_disaggregatedAny other Black, Black British, or Caribbean background",0.6703586231026437,1.955,0.4485485283467834,1.4945063482281091,0.13508244699256744
Ethnicity_collapsed_disaggregatedArab,-0.03636014069951125,0.964,0.5346670233423625,-0.06800520531865459,0.945783176452612
Ethnicity_collapsed_disaggregatedAny other ethnic group,-13.826526215162493,0,228.17061925702015,-0.06059731204738399,0.9516814157377975
Ethnicity_collapsed_disaggregatedDon’t think of myself as any of these,-0.4305212160144998,0.65,1.3269178325432176,-0.32445205381658604,0.7456042305012018
Ethnicity_collapsed_disaggregatedPrefer not to say,0.12455735837270912,1.133,0.5512017494136215,0.22597417099132125,0.8212272355397203
outsourcing_statusOutsourced,0.29703175556441447,1.346,0.07699094831154576,3.858008792961845,1.1520517617862593e-4
Ethnicity_collapsed_disaggregatedIrish:outsourcing_statusOutsourced,-0.7105174832989987,0.491,0.7771954251059451,-0.9142069810847676,0.3606354266681644
Ethnicity_collapsed_disaggregatedGypsy or Irish Traveller:outsourcing_statusOutsourced,-12.658649457657907,0,604.8104874595535,-0.020929943709854154,0.9833020579902673
Ethnicity_collapsed_disaggregatedRoma:outsourcing_statusOutsourced,-0.0804650091061746,0.923,694.2357548890405,-1.1590444390037977e-4,0.9999075245005035
Ethnicity_collapsed_disaggregatedAny other White background:outsourcing_statusOutsourced,0.07783161730149817,1.081,0.2801411010220825,0.2778300542745528,0.7811499407218666
Ethnicity_collapsed_disaggregatedWhite and Black Caribbean:outsourcing_statusOutsourced,0.9448516758056731,2.572,0.9654212781712186,0.9786936513306294,0.32776072572702275
Ethnicity_collapsed_disaggregatedWhite and Black African:outsourcing_statusOutsourced,0.08136350010236572,1.085,0.8983510032380426,0.0905698327369778,0.927836652528673
