variable,Estimate,or,Std. Error,t value,Pr(>|t|)
(Intercept),-1.0312594379961566,0.357,0.030767668078352198,-33.517634010155604,4.490863428659904e-231
Ethnicity_collapsedArab/British Arab,-0.03636014069950994,0.964,0.5340176849030386,-0.06808789620162456,0.9457173104722292
Ethnicity_collapsedAsian/Asian British,-0.25015617116032285,0.779,0.11065605423526469,-2.2606641171974955,0.023805931107447727
Ethnicity_collapsedBlack/African/Caribbean/Black British,0.11377048262306186,1.12,0.15645286992178592,0.7271869329078982,0.46713202163628464
Ethnicity_collapsedMixed/Multiple ethnic group,-0.034579967194222766,0.966,0.2195166033148919,-0.15752779822589794,0.8748327450012352
Ethnicity_collapsedOther ethnic group,-12.826525256311132,0,138.22445213039,-0.09279490754799016,0.9260687431247651
Ethnicity_collapsedPrefer not to say,0.02003896052263812,1.02,0.18194727900987262,0.11013608245029477,0.9123041233270798
Ethnicity_collapsedWhite other,-0.039693414750093976,0.961,0.11662896874881573,-0.3403392414073543,0.7336097076611094
outsourcing_statusOutsourced,0.2970317555644169,1.346,0.0768974449159069,3.8626999361193772,1.1299611440261772e-4
Ethnicity_collapsedArab/British Arab:outsourcing_statusOutsourced,-0.46912243122674674,0.626,1.0121339007966736,-0.46349838777012586,0.643019360617118
Ethnicity_collapsedAsian/Asian British:outsourcing_statusOutsourced,-0.1504571691144205,0.86,0.2140692222729527,-0.7028435359221209,0.4821730339724969
Ethnicity_collapsedBlack/African/Caribbean/Black British:outsourcing_statusOutsourced,-0.8115983133939139,0.444,0.3295485991775282,-2.4627575884693864,0.013807527672677827
Ethnicity_collapsedMixed/Multiple ethnic group:outsourcing_statusOutsourced,0.7329553024302315,2.081,0.3914193958642833,1.8725574413904844,0.06116475786421663
Ethnicity_collapsedOther ethnic group:outsourcing_statusOutsourced,13.79124090738562,976022.489,138.22654890029943,0.09977273553529153,0.9205271708049266
Ethnicity_collapsedPrefer not to say:outsourcing_statusOutsourced,0.3583921709049722,1.431,0.35087104528085217,1.0214355836005213,0.3070779738851267
Ethnicity_collapsedWhite other:outsourcing_statusOutsourced,-0.08265004744273033,0.921,0.2607780400096983,-0.3169363779237569,0.7512998735627895
