variable,Estimate,or,Std. Error,t value,Pr(>|t|)
(Intercept),-1.753664387861827,0.17,0.03184543162150452,-55.068005003192226,0
Ethnicity_collapsedWhite other,0.35668781322056764,1.43,0.11690290622218326,3.051145816192577,0.002285588161984239
Ethnicity_collapsedBlack Caribbean,0.08232171208308552,1.09,0.24214514680067198,0.3399684576410311,0.7338873200246272
Ethnicity_collapsedBlack African,1.0122540198011671,2.75,0.13597089016578864,7.444637735083816,1.0510964060292289e-13
Ethnicity_collapsedMixed other,0.7838347278617207,2.19,0.23704712445322432,3.306662038907762,9.474279569805745e-4
Ethnicity_collapsedSouth Asian,0.8108642955469781,2.25,0.10116049067083113,8.01562240524783,1.2164359421088755e-15
Ethnicity_collapsedEast Asian,-0.02436397081178161,0.98,0.2379832955229544,-0.10237681076834912,0.9184596126487427
Ethnicity_collapsedOther,0.4821121713160387,1.62,0.10584544658625994,4.554869263300202,5.30295657239935e-6
Ethnicity_collapsedBlack other,0.9780336659180181,2.66,0.35361908638131234,2.7657830235537424,0.005688899812851586
Ethnicity_collapsedArab,1.2217336469028708,3.39,0.3648735442880618,3.3483755290801014,8.158268427781754e-4
