outsourcing_group,Ethnicity_collapsed,n,Frequency,N,Sum,Percentage,Ethnicity_short
Not outsourced,White British,6623,6589.164356783756,8472,8446.644209397018,78.0092566164112,White British
Not outsourced,Arab/British Arab,12,20.473144396598034,8472,8446.644209397018,0.24238199087184653,Arab/British Arab
Not outsourced,Asian/Asian British,437,630.1523467832743,8472,8446.644209397018,7.460387002949886,Asian/Asian British
Not outsourced,Black/African/Caribbean/Black British,342,239.2489749121751,8472,8446.644209397018,2.832473689918264,Black/African/Caribbean/Black British
Not outsourced,Mixed/Multiple ethnic group,244,139.63777135418962,8472,8446.644209397018,1.653174537632833,Mixed/Multiple ethnic group
Not outsourced,Other ethnic group,23,36.955260170612505,8472,8446.644209397018,0.4375141092068164,Other ethnic group
Not outsourced,Prefer not to say,311,306.84325122868455,8472,8446.644209397018,3.6327237613171492,Prefer not to say
Not outsourced,White other,480,484.1691037677272,8472,8446.644209397018,5.732088291692005,White other
Outsourced,White British,742,778.1856873895272,1123,1161.0778077787868,67.02269926924572,White British
Outsourced,Arab/British Arab,3,4.974292961303634,1123,1161.0778077787868,0.42842029431427703,Arab/British Arab
Outsourced,Asian/Asian British,100,137.70469480957252,1123,1161.0778077787868,11.860074655376462,Asian/Asian British
Outsourced,Black/African/Caribbean/Black British,97,67.066781490115,1123,1161.0778077787868,5.7762521202965615,Black/African/Caribbean/Black British
Outsourced,Mixed/Multiple ethnic group,53,30.595332849954897,1123,1161.0778077787868,2.6350803232115556,Mixed/Multiple ethnic group
Outsourced,Other ethnic group,5,5.477019239046754,1123,1161.0778077787868,0.4717185362042729,Other ethnic group
Outsourced,Prefer not to say,48,53.590561433820504,1123,1161.0778077787868,4.615587437360683,Prefer not to say
Outsourced,White other,75,83.48343760544631,1123,1161.0778077787868,7.190167363990469,White other
Likely agency,White British,180,174.33079967578902,269,266.5369198185459,65.40587315050787,White British
Likely agency,Arab/British Arab,2,3.4223720910373148,269,266.5369198185459,1.284014272156822,Arab/British Arab
Likely agency,Asian/Asian British,25,34.111904832142706,269,266.5369198185459,12.798191280729718,Asian/Asian British
Likely agency,Black/African/Caribbean/Black British,26,17.381899821224582,269,266.5369198185459,6.521385417471584,Black/African/Caribbean/Black British
Likely agency,Mixed/Multiple ethnic group,10,8.481999279032204,269,266.5369198185459,3.1822980789327846,Mixed/Multiple ethnic group
Likely agency,Other ethnic group,2,4.70356380771019,269,266.5369198185459,1.7646950414645375,Other ethnic group
Likely agency,Prefer not to say,13,10.11617964739257,269,266.5369198185459,3.7954140290506486,Prefer not to say
Likely agency,White other,11,13.988200664217306,269,266.5369198185459,5.248128729686022,White other
High indicators,White British,202,190.55540862319407,291,280.74106300565774,67.87585919319321,White British
High indicators,Arab/British Arab,2,3.6306853543927575,291,280.74106300565774,1.2932505546292632,Arab/British Arab
High indicators,Asian/Asian British,38,44.88685174688131,291,280.74106300565774,15.988701925651934,Asian/Asian British
High indicators,Black/African/Caribbean/Black British,19,12.405486301975907,291,280.74106300565774,4.418835694771841,Black/African/Caribbean/Black British
High indicators,Mixed/Multiple ethnic group,9,6.0894932932036365,291,280.74106300565774,2.1690782345869066,Mixed/Multiple ethnic group
High indicators,Other ethnic group,1,1.603928715454267,291,280.74106300565774,0.5713195990220865,Other ethnic group
High indicators,Prefer not to say,9,10.222988464548393,291,280.74106300565774,3.6414297057578535,Prefer not to say
High indicators,White other,11,11.346220506007386,291,280.74106300565774,4.041525092386904,White other
