outsourcing_group,income_group,Gender,n,Frequency,N,Sum,Percentage
Not outsourced,Not low,Female,2536,2370.9451932231987,5280,5120.091653802492,46.30669436283216
Not outsourced,Not low,Male,2725,2730.037031213377,5280,5120.091653802492,53.32008127600382
Not outsourced,Not low,Other,6,6.647916764561709,5280,5120.091653802492,0.12983980002827805
Not outsourced,Not low,Prefer not to say,13,12.461512601355048,5280,5120.091653802492,0.24338456113574392
Not outsourced,Low,Female,1194,1282.0350100819694,1644,1788.0524687427219,71.70007773784394
Not outsourced,Low,Male,442,497.59218422135615,1644,1788.0524687427219,27.82872387247342
Not outsourced,Low,Other,3,3.239680095475383,1644,1788.0524687427219,0.1811848450819444
Not outsourced,Low,Prefer not to say,5,5.185594343920922,1644,1788.0524687427219,0.2900135446006905
Outsourced,Not low,Female,232,234.6720155947996,625,614.0480478748451,38.21720733531756
Outsourced,Not low,Male,391,377.16409457362687,625,614.0480478748451,61.42257041268214
Outsourced,Not low,Other,1,1.3076927832412306,625,614.0480478748451,0.2129626155098149
Outsourced,Not low,Prefer not to say,1,0.9042449231774289,625,614.0480478748451,0.14725963649048707
Outsourced,Low,Female,168,197.60455490800538,272,318.2082025471031,62.09913928248119
Outsourced,Low,Male,101,117.64465155914839,272,318.2082025471031,36.970967629828436
Outsourced,Low,Other,1,1.3076927832412306,272,318.2082025471031,0.41095508311029727
Outsourced,Low,Prefer not to say,2,1.651303296708087,272,318.2082025471031,0.5189380045800834
Likely agency,Not low,Female,66,59.488068009521434,168,157.01652630045868,37.886501128988264
Likely agency,Not low,Male,101,96.68106754653147,168,157.01652630045868,61.573816351998254
Likely agency,Not low,Prefer not to say,1,0.8473907444057865,168,157.01652630045868,0.539682519013485
Likely agency,Low,Female,37,38.27995413076983,63,71.74761575277356,53.35362538411604
Likely agency,Low,Male,26,33.467661622003725,63,71.74761575277356,46.646374615883964
High indicators,Not low,Female,52,48.71481279270467,193,185.42751815936893,26.27161991718827
High indicators,Not low,Male,141,136.71270536666427,193,185.42751815936893,73.72838008281173
High indicators,Low,Female,27,26.052400619537565,46,44.17606070026707,58.97402395451721
High indicators,Low,Male,19,18.123660080729508,46,44.17606070026707,41.02597604548279
