variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-0.817801573624108,0.11931404647856886,-6.854193598831644,7.686725725656294e-12
Age,0.006935044240535159,0.0020397260479690397,3.399988075575345,6.770783303753685e-4
GenderMale,-1.0812935139418482,0.054320642417600956,-19.90575710848898,3.7159880881021475e-86
GenderOther,0.0285388073992679,0.5966472092353382,0.0478319632733105,0.9618513192315782
GenderPrefer not to say,-0.28309620562285254,0.4789788605733213,-0.5910411271261451,0.5545090390832865
Ethnicity_collapsedArab/British Arab,-0.03323973156274325,0.47311454070064657,-0.0702572605642552,0.9439906005324079
Ethnicity_collapsedAsian/Asian British,-0.1436565479132397,0.10767969346237811,-1.334109926338446,0.18220461747088068
Ethnicity_collapsedBlack/African/Caribbean/Black British,-0.08065740524192674,0.15794784757955763,-0.5106584640306666,0.6096038785929847
Ethnicity_collapsedMixed/Multiple ethnic group,0.2503253460719757,0.18615354549302257,1.3447251053370801,0.17875095160726145
Ethnicity_collapsedOther ethnic group,-0.992043698290982,0.5077229411735459,-1.9539075701365431,0.05074585504801529
Ethnicity_collapsedPrefer not to say,0.17801717173922368,0.16412063871354426,1.0846726720941806,0.2780983164402041
RegionEast Midlands,0.0384649180065537,0.11804371179933563,0.3258531726953895,0.7445437017203349
RegionEast of England,-0.007556335374864954,0.11275202070934146,-0.06701729447797751,0.946569557347795
RegionNorth East,-0.24654208822426057,0.15461621940915282,-1.5945422101665099,0.11085290827569504
RegionNorth West,-0.3058941728423667,0.11203593501371298,-2.7303219525496516,0.006340668886396978
RegionNorthern Ireland,0.12200001993404717,0.16599540484729733,0.7349602240271504,0.46238458671533345
RegionScotland,0.04512872990967015,0.11617458647665634,0.38845612692357756,0.6976885283016732
RegionSouth East,-0.04134182973187867,0.10236814907300863,-0.403854422554752,0.6863302298063636
RegionSouth West,-0.0735081051192887,0.11651416991748487,-0.6308941236190156,0.5281272120155582
RegionWales,-0.3836878612088173,0.14998722448115445,-2.5581369515710106,0.010541148822278412
RegionWest Midlands,-0.023536843649331347,0.11461707278125821,-0.20535198708355087,0.8373021904621458
RegionYorkshire and the Humber,-0.09163680916938115,0.11709240215991105,-0.7826025214192323,0.43388299807871467
outsourcing_statusOutsourced,0.41415548923150963,0.06841818294658883,6.053295650292602,1.4810461332200147e-9
BORNUK_labelledWithin the last year,0.25182955971668347,0.2150410304675059,1.1710767901790564,0.24160169788825758
BORNUK_labelledWithin the last 3 years,-0.1656610694329744,0.20770985032199318,-0.7975600058262308,0.42514879694830376
BORNUK_labelledWithin the last 5 years,-0.05259103665967323,0.22334741477556241,-0.23546740718947193,0.8138518111380881
BORNUK_labelledWithin the last 10 years,-0.13610273200192483,0.16119000278634213,-0.8443621170621197,0.39849154142191723
BORNUK_labelledWithin the last 15 years,-0.18115900839636487,0.1856233038411257,-0.975949703768974,0.32911797358443806
BORNUK_labelledWithin the last 20 years,-0.26626404921412183,0.21309640773467414,-1.2495004117837905,0.21151751133535715
BORNUK_labelledWithin the last 30 years,-0.5726716070784831,0.2724104443296611,-2.102238071259327,0.035562623375113116
BORNUK_labelledMore than 30 years ago,-0.11171206252840786,0.18887782951412707,-0.5914514308840698,0.5542341761397761
BORNUK_labelledPrefer not to say,0.6942110249755057,0.3190423834121846,2.1759210094623214,0.029589418969628824
