outsourcing_status,Ethnicity,BORNUK,Frequency,Percentage
Not outsourced,English / Welsh / Scottish / Northern Irish / British,I was born in the UK,6378.162087650764,96.79773856428761
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last year,1.1493123347623564,0.017442459658470993
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 3 years,15.249760026104545,0.23143693494918557
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 5 years,13.111918114806391,0.19899212411217593
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 10 years,25.90773518995356,0.39318696252098667
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 15 years,13.069492823836157,0.1983482595995757
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 20 years,17.767533081881187,0.26964774468842834
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Within the last 30 years,19.133950984661087,0.29038509207866503
Not outsourced,English / Welsh / Scottish / Northern Irish / British,More than 30 years ago,73.83266787116007,1.1205164095678835
Not outsourced,English / Welsh / Scottish / Northern Irish / British,Prefer not to say,31.77989870582703,0.48230544853701524
Not outsourced,Irish,I was born in the UK,76.36511026249073,77.33491413137187
Not outsourced,Irish,Within the last year,1.8784272689672568,1.9022824827762135
Not outsourced,Irish,Within the last 5 years,1.5529301836919185,1.5726517253104664
Not outsourced,Irish,Within the last 10 years,3.2417255439717705,3.282894056183542
Not outsourced,Irish,Within the last 15 years,2.796680007951335,2.832196634358485
Not outsourced,Irish,Within the last 20 years,1.6280203290718676,1.64869548305677
Not outsourced,Irish,Within the last 30 years,4.450897376716768,4.507421848181494
Not outsourced,Irish,More than 30 years ago,4.055841153289968,4.107348581597316
Not outsourced,Irish,Prefer not to say,2.7763367809403547,2.811595057163855
Not outsourced,Gypsy or Irish Traveller,I was born in the UK,5.775205010063037,69.44299213645874
Not outsourced,Gypsy or Irish Traveller,Within the last 15 years,0.6331886360119569,7.613671444538626
Not outsourced,Gypsy or Irish Traveller,Within the last 20 years,1.9080754926892003,22.943336419002634
Not outsourced,Roma,Within the last 3 years,1.3691456239847926,26.143731411876182
Not outsourced,Roma,Within the last 5 years,3.8678482940403813,73.85626858812383
Not outsourced,Any other White background,I was born in the UK,44.79197223564418,11.621505868307688
Not outsourced,Any other White background,Within the last year,5.00120853174838,1.2975890857088175
Not outsourced,Any other White background,Within the last 3 years,15.658562473279446,4.062693973713179
Not outsourced,Any other White background,Within the last 5 years,39.428979584743566,10.230050045906209
Not outsourced,Any other White background,Within the last 10 years,104.09555793501083,27.008123934400214
Not outsourced,Any other White background,Within the last 15 years,70.67681340602005,18.337460057133313
Not outsourced,Any other White background,Within the last 20 years,50.02369195711026,12.978902258993424
Not outsourced,Any other White background,Within the last 30 years,34.00703940982596,8.823299987459894
Not outsourced,Any other White background,More than 30 years ago,16.47677385927603,4.274983094938982
Not outsourced,Any other White background,Prefer not to say,5.262535467976531,1.3653916934382795
Not outsourced,White and Black Caribbean,I was born in the UK,50.45181745459183,94.79931249710715
Not outsourced,White and Black Caribbean,Within the last 3 years,0.4831844538576523,0.907906916856306
Not outsourced,White and Black Caribbean,Within the last 5 years,0.47212232699337403,0.88712110428507
Not outsourced,White and Black Caribbean,Within the last 20 years,0.3389728011222908,0.6369322280715403
Not outsourced,White and Black Caribbean,Prefer not to say,1.4735056437089191,2.7687272536799235
Not outsourced,White and Black African,I was born in the UK,10.252409584876782,50.18502213776102
Not outsourced,White and Black African,Within the last year,1.6536304759708425,8.094436859671209
Not outsourced,White and Black African,Within the last 3 years,3.357172588138798,16.433188633485024
Not outsourced,White and Black African,Within the last 5 years,1.9553999586686168,9.571583089961083
Not outsourced,White and Black African,Within the last 10 years,1.2275272005987619,6.008683054140103
Not outsourced,White and Black African,Within the last 15 years,0.48664625463235545,2.3821086018654967
Not outsourced,White and Black African,Within the last 20 years,0.30214233733128665,1.4789713347086997
Not outsourced,White and Black African,Within the last 30 years,0.3415627914779605,1.671932447669853
Not outsourced,White and Black African,Prefer not to say,0.8527308115016417,4.174073840737521
Not outsourced,White and Asian,I was born in the UK,29.171090426165108,90.05754357304355
Not outsourced,White and Asian,Within the last 3 years,0.4877974747728319,1.505937614857616
Not outsourced,White and Asian,Within the last 5 years,0.9379795747366502,2.895748331255494
Not outsourced,White and Asian,Within the last 15 years,1.3066811528792814,4.03401083546573
Not outsourced,White and Asian,More than 30 years ago,0.4880637437124487,1.5067596453776058
Not outsourced,Any other Mixed / Multiple ethnic background,I was born in the UK,21.707375945495393,64.61041150665172
Not outsourced,Any other Mixed / Multiple ethnic background,Within the last year,0.7838756904270137,2.3331484678626024
Not outsourced,Any other Mixed / Multiple ethnic background,Within the last 3 years,1.7842011008777088,5.3105436432196536
Not outsourced,Any other Mixed / Multiple ethnic background,Within the last 5 years,2.7776608988971385,8.2675038270078
Not outsourced,Any other Mixed / Multiple ethnic background,Within the last 10 years,2.8123929602297135,8.37088125875296
Not outsourced,Any other Mixed / Multiple ethnic background,Within the last 20 years,1.0730407484843063,3.1938270428012525
Not outsourced,Any other Mixed / Multiple ethnic background,Within the last 30 years,0.9659192879938534,2.874987876756499
Not outsourced,Any other Mixed / Multiple ethnic background,More than 30 years ago,1.0218430845293602,3.0414409531783484
Not outsourced,Any other Mixed / Multiple ethnic background,Prefer not to say,0.6710245815176954,1.9972554237691686
Not outsourced,Indian,I was born in the UK,130.4022018286414,54.84721195600958
Not outsourced,Indian,Within the last year,8.384094006088647,3.526352887931481
Not outsourced,Indian,Within the last 3 years,26.788855828309597,11.267402183937394
Not outsourced,Indian,Within the last 5 years,6.819970273995477,2.868481896057657
Not outsourced,Indian,Within the last 10 years,11.549741225381805,4.85782522183182
Not outsourced,Indian,Within the last 15 years,6.655023334074471,2.7991051551094417
Not outsourced,Indian,Within the last 20 years,14.869432173673477,6.254088402331344
Not outsourced,Indian,Within the last 30 years,13.779355921864697,5.795601947403733
Not outsourced,Indian,More than 30 years ago,13.66895504966003,5.749167301722713
Not outsourced,Indian,Prefer not to say,4.837758787591022,2.0347630476648457
Not outsourced,Pakistani,I was born in the UK,61.45528081135489,63.957470541261586
Not outsourced,Pakistani,Within the last year,3.370226311468998,3.5074471581185334
Not outsourced,Pakistani,Within the last 3 years,5.649742351386392,5.879775102056794
Not outsourced,Pakistani,Within the last 5 years,5.149857315633881,5.359536938207228
Not outsourced,Pakistani,Within the last 10 years,3.143446900375507,3.2714342831810765
Not outsourced,Pakistani,Within the last 15 years,2.8514600613168217,2.9675590195587924
Not outsourced,Pakistani,Within the last 20 years,4.747612553076211,4.940914531605101
Not outsourced,Pakistani,Within the last 30 years,4.055483652549164,4.220605175244055
Not outsourced,Pakistani,More than 30 years ago,4.3316615765576065,4.508027854071894
Not outsourced,Pakistani,Prefer not to say,1.3329572198865105,1.3872293966949314
Not outsourced,Bangladeshi,I was born in the UK,26.15802127353565,48.930557849862346
Not outsourced,Bangladeshi,Within the last year,0.9184621027242715,1.7180528519457752
Not outsourced,Bangladeshi,Within the last 3 years,6.389600639632168,11.952231419405845
Not outsourced,Bangladeshi,Within the last 5 years,4.432259853804,8.29087739146354
Not outsourced,Bangladeshi,Within the last 10 years,3.2568385350057563,6.092162884888591
Not outsourced,Bangladeshi,Within the last 15 years,0.9690969779535881,1.8127692169842593
Not outsourced,Bangladeshi,Within the last 20 years,2.96589924926345,5.5479389390883
Not outsourced,Bangladeshi,Within the last 30 years,1.9998715520914054,3.7409110440208755
Not outsourced,Bangladeshi,Prefer not to say,6.369428765317157,11.914498402340467
Not outsourced,Chinese,I was born in the UK,54.339117082879156,43.64661232234428
Not outsourced,Chinese,Within the last year,12.250014134017261,9.839534511302366
Not outsourced,Chinese,Within the last 3 years,16.86268078709594,13.54455005051442
Not outsourced,Chinese,Within the last 5 years,2.1838565226459763,1.754131169745929
Not outsourced,Chinese,Within the last 10 years,4.119772579465187,3.3091100165997376
Not outsourced,Chinese,Within the last 15 years,10.963726887178067,8.806354662017425
Not outsourced,Chinese,Within the last 20 years,6.471512037312693,5.198089188699153
Not outsourced,Chinese,Within the last 30 years,11.624727214272058,9.337287562116096
Not outsourced,Chinese,More than 30 years ago,5.682495780384011,4.564330516660591
Not outsourced,Any other Asian background,I was born in the UK,28.581811061664506,24.14986469161926
Not outsourced,Any other Asian background,Within the last year,18.654667203704943,15.762041385855616
Not outsourced,Any other Asian background,Within the last 3 years,10.8034124454742,9.128216130288964
Not outsourced,Any other Asian background,Within the last 5 years,8.87880211732687,7.502039296757541
Not outsourced,Any other Asian background,Within the last 10 years,10.513499930070571,8.883257964261647
Not outsourced,Any other Asian background,Within the last 15 years,13.648204307040595,11.531889514891038
Not outsourced,Any other Asian background,Within the last 20 years,7.117438271226633,6.013795655923901
Not outsourced,Any other Asian background,Within the last 30 years,8.369280374000912,7.071524899604317
Not outsourced,Any other Asian background,More than 30 years ago,8.274488258743734,6.9914314180417145
Not outsourced,Any other Asian background,Prefer not to say,3.510243656556982,2.9659390427559953
Not outsourced,African,I was born in the UK,36.42421891190411,23.186915718706878
Not outsourced,African,Within the last year,40.00926006283675,25.46907988030003
Not outsourced,African,Within the last 3 years,23.095961003452686,14.70241825980732
Not outsourced,African,Within the last 5 years,9.673153997792614,6.157732771795622
Not outsourced,African,Within the last 10 years,11.572828378042908,7.367026781761468
Not outsourced,African,Within the last 15 years,11.476434749870958,7.305664561815196
Not outsourced,African,Within the last 20 years,10.731553276056871,6.831488190441898
Not outsourced,African,Within the last 30 years,2.9782117548637173,1.8958689304911487
Not outsourced,African,More than 30 years ago,5.085337330048307,3.237222144919838
Not outsourced,African,Prefer not to say,6.042579108463478,3.8465827599606115
Not outsourced,Caribbean,I was born in the UK,46.1036362471925,81.51204948429857
Not outsourced,Caribbean,Within the last 3 years,1.6049323999417537,2.83754904931111
Not outsourced,Caribbean,Within the last 10 years,0.8179295937558378,1.446114080100527
Not outsourced,Caribbean,Within the last 15 years,1.179404141341695,2.085207514122818
Not outsourced,Caribbean,Within the last 20 years,1.1904713032419638,2.104774453347062
Not outsourced,Caribbean,Within the last 30 years,3.254861782485799,5.754653564764991
Not outsourced,Caribbean,More than 30 years ago,2.409281092323119,4.259651854054916
Not outsourced,"Any other Black, Black British, or Caribbean background",I was born in the UK,15.977183791043183,62.413507793499235
Not outsourced,"Any other Black, Black British, or Caribbean background",Within the last 5 years,2.2268182978462683,8.69887603503998
Not outsourced,"Any other Black, Black British, or Caribbean background",Within the last 10 years,1.6316863496069813,6.374043763259005
Not outsourced,"Any other Black, Black British, or Caribbean background",Within the last 15 years,0.8718300866506029,3.405729984672206
Not outsourced,"Any other Black, Black British, or Caribbean background",Within the last 20 years,0.43058117694455483,1.6820286975748924
Not outsourced,"Any other Black, Black British, or Caribbean background",Within the last 30 years,2.168931587142933,8.472746529560546
Not outsourced,"Any other Black, Black British, or Caribbean background",Prefer not to say,2.2918884893255087,8.953067196394136
Not outsourced,Arab,I was born in the UK,8.2036172866255,40.070138361299655
Not outsourced,Arab,Within the last year,1.6923534094539994,8.266211465470898
Not outsourced,Arab,Within the last 3 years,1.8063539035203502,8.823040899474666
Not outsourced,Arab,Within the last 5 years,3.357886166858408,16.401418862734047
Not outsourced,Arab,Within the last 10 years,1.1760244883568463,5.744229931540282
Not outsourced,Arab,Within the last 15 years,2.251038632652972,10.995080135453062
Not outsourced,Arab,More than 30 years ago,1.985870509129957,9.699880344027386
Not outsourced,Any other ethnic group,I was born in the UK,7.566732853911903,32.333981946379375
Not outsourced,Any other ethnic group,Within the last year,1.4938123229799936,6.383323108538609
Not outsourced,Any other ethnic group,Within the last 5 years,2.839718623335834,12.134617736936319
Not outsourced,Any other ethnic group,Within the last 10 years,5.4816005757727835,23.423844541130876
Not outsourced,Any other ethnic group,Within the last 15 years,1.6134707873318983,6.894644797936659
Not outsourced,Any other ethnic group,Within the last 30 years,1.4894738268658865,6.364783950656823
Not outsourced,Any other ethnic group,More than 30 years ago,2.9169881236248374,12.464803918421335
