"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"1","Manager","Customer service","Clothing","I’m not sure",NA,NA
"2","Director","Accountant/ Director","Book keeping","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",50000,NA
"3","Fork lift driver","Wholesaler","Wholesale","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",2160,NA
"4","Cashier","Foreign currency","Wholesale","I’m not sure",1000,NA
"5","I.T Consultant","Advice on best I.T strategies and effective I.T software to use","Online merchandising","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",1500,NA
"6","Retail assistant","Sales","General goods","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"7","Supply Chain","Endoscopic washers","Hospitals","I’m not sure",1500,NA
"8","Practice manager","Manager in surgery","Nhs","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",4500,NA
"9","Financial manager","Not sure","Not sure","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",150000,NA
"10","Shop assistant","Customer service","Retail and clothing","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"11","Assistant nurse","Help my patient with their day to day activities","General Hospital","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",2100,NA
"12","Construction management","Supervision","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",1800,NA
"13","Technician Analyst","I collect chemicals and log them onto a computer","Water","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",24000,NA
"14","Nurse","Look after patients","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",2500,NA
"15","health care manager","home care","home care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"16","Finance assistant","Accounts","Health care","I’m not sure",35000,NA
"17","Manager","Manage my administration team","Waste contractors","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",37000,NA
"18","Project Manager","Handles project","It","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",4000,NA
"19","Care assistance","Help people","Care home","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",12000,NA
"20","Police officer","Police the public","Public order","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",35000,NA
"21","Teacher","Teach","Education","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",2500,NA
"22","Ambulance crew","Look after people","None","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",900,NA
"23","Parts Driver","Drive","Distribute parts for vehicles","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",11,NA
"24","Care","Assistant","Hospital","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",18000,NA
"25","Software engineer","Developing software applications","Shipping","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",50000,NA
"26","Manager","Everything","Distribution","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",50000,NA
"27","Manager","Sales","Energy","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",40000,NA
"28","Customer service advisor","Telecommunications","Telecommunications","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",2000,NA
"29","Team leader","I supervise every other team member and ensure their jobs are done","Care homr","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1800,NA
"30","Caseworker","Casework","Cases","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",31000,NA
"31","Checking and matching invoices","Museum business","Arts","Arts, Entertainment, and Recreation  (includes theatres, libraries, museums, amusement parks, sports facilities, or othe",3000,NA
"32","Hgv mechanic","Fix things","Travel","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",16000,NA
"33","Care assistant","Care","Care assistant","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"34","support worker","support","support","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",800,NA
"35","Waitress","Customer service","Hotel","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",12500,NA
"36","Cso","Aviation.","Airline","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",NA,"Prefer not to say"
"37","Team leader","Supervise","Data","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",1600,NA
"38","Bank Clerk","Customer oriented","Financial institution","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",3200,NA
"39","British Army Officer","Logistics","Defence","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",39982.2,NA
"40","Assistant","Health care","Care home","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",25000,NA
"41","Director of information","I’m not going anywhere anywhere in the office I will get back in the car if","I’m going back in the office and I’ll be there at","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2000,NA
"42","Project manager","Work with clients","Training","Electricity, Gas, Steam, and Air Conditioning Supply  (involves the production and distribution of electricity, gas, ste",350000,NA
"43","Dispensing Assistant","Healthcare","Pharmaceutical practice","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",24000,NA
"44","Land surveyor","Surveying","Ops manager","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2000,NA
"45","Auditor","Audit","Manufacturing","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",550,NA
"46","Engineer","Engineer","Engineer","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",3000,NA
"47","Clinical scientist","Health","Hospital","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",45000,NA
"48","Forklift driver","Loading","Don’t know","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2700,NA
"49","Mobile security","Alarms callout","Nothing","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",30000,NA
"50","Plant driver","Drive plant","Logistics","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"51","Equipment sales manager","Sell equipment and run a team","Sell equipment","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2875,NA
"52","Shift Leader","Supervise","Motor","I’m not sure",35000,NA
"53","Analyst","It support","It support","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",NA,NA
"54","Technician","Installs","Telecommunications","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",32000,NA
"55","Print assistant","Print on film","Packaging for food industry","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",450,NA
"56","Hospital porter","general duties","Facilities management","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,"Prefer not to say"
"57","Customer service","Customer service","Retail","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",18600,NA
"58","Field Engineer","I supervise project works","Builiding IT network infrastructure","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",4500,NA
"59","Customer Experience Advisor","Answer calls","Housing association","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",26000,NA
"60","Team Leader","Purchasing","Healthcare","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",22400,NA
