"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"1","Manager","Customer service","Clothing","I’m not sure",NA,NA
"2","Director","Accountant/ Director","Book keeping","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",50000,NA
"3","Fork lift driver","Wholesaler","Wholesale","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",2160,NA
"4","Cashier","Foreign currency","Wholesale","I’m not sure",1000,NA
"5","I.T Consultant","Advice on best I.T strategies and effective I.T software to use","Online merchandising","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",1500,NA
"6","Retail assistant","Sales","General goods","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"7","Practice manager","Manager in surgery","Nhs","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",4500,NA
"8","Financial manager","Not sure","Not sure","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",150000,NA
"9","Shop assistant","Customer service","Retail and clothing","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"10","Assistant nurse","Help my patient with their day to day activities","General Hospital","Agriculture, Forestry, and Fishing  (involves growing crops, raising animals, logging, or commercial fishing)",2100,NA
"11","Construction management","Supervision","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",1800,NA
"12","Nurse","Look after patients","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",2500,NA
"13","health care manager","home care","home care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"14","Finance assistant","Accounts","Health care","I’m not sure",35000,NA
"15","Manager","Manage my administration team","Waste contractors","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",37000,NA
"16","Project Manager","Handles project","It","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",4000,NA
"17","Police officer","Police the public","Public order","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",35000,NA
"18","Parts Driver","Drive","Distribute parts for vehicles","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",11,NA
"19","Software engineer","Developing software applications","Shipping","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",50000,NA
"20","Manager","Everything","Distribution","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",50000,NA
"21","Customer service advisor","Telecommunications","Telecommunications","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",2000,NA
"22","Team leader","I supervise every other team member and ensure their jobs are done","Care homr","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",1800,NA
"23","Caseworker","Casework","Cases","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",31000,NA
"24","Checking and matching invoices","Museum business","Arts","Arts, Entertainment, and Recreation  (includes theatres, libraries, museums, amusement parks, sports facilities, or othe",3000,NA
"25","Waitress","Customer service","Hotel","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",12500,NA
"26","Cso","Aviation.","Airline","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",NA,"Prefer not to say"
"27","Team leader","Supervise","Data","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",1600,NA
"28","Bank Clerk","Customer oriented","Financial institution","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",3200,NA
"29","Project manager","Work with clients","Training","Electricity, Gas, Steam, and Air Conditioning Supply  (involves the production and distribution of electricity, gas, ste",350000,NA
"30","Dispensing Assistant","Healthcare","Pharmaceutical practice","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",24000,NA
"31","Land surveyor","Surveying","Ops manager","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2000,NA
"32","Auditor","Audit","Manufacturing","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",550,NA
"33","Forklift driver","Loading","Don’t know","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2700,NA
"34","Mobile security","Alarms callout","Nothing","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",30000,NA
"35","Plant driver","Drive plant","Logistics","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"36","Equipment sales manager","Sell equipment and run a team","Sell equipment","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",2875,NA
"37","Shift Leader","Supervise","Motor","I’m not sure",35000,NA
"38","Analyst","It support","It support","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",NA,NA
"39","Technician","Installs","Telecommunications","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",32000,NA
"40","Hospital porter","general duties","Facilities management","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,"Prefer not to say"
"41","Customer service","Customer service","Retail","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",18600,NA
"42","Field Engineer","I supervise project works","Builiding IT network infrastructure","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",4500,NA
"43","Customer Experience Advisor","Answer calls","Housing association","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",26000,NA
"44","Team Leader","Purchasing","Healthcare","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",22400,NA
"45","Accountant","Finance","Government","Public Administration and Defence; Compulsory Social Security  (Government organisation, or civil service, does not incl",84000,NA
"46","Customer service","I perform tasks as required by customers.","We sell cars to the public.","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",1250,NA
"47","Cleaner","clean","business support services","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",19000,NA
"48","Electronics","Sales","Electronics","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",50000,NA
"49","Cleaner","Cleaning","Cleaning","Activities of households as employers  (employed by a household as domestic personnel, i.e. cleaner – not through an a",NA,NA
"50","OPERATIONS MANAGER","I manage the buisness","Transport","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",36000,NA
"51","Security officer","Guard business","Marine","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",2800,NA
"52","Senior Director","Consultant","Strategic Communication","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",200000,NA
"53","Teacher","Teach","School","Education  (schools, colleges, or training centres)",30000,NA
"54","Sales","Counter sales","Merchant sales","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",29000,NA
"55","Office manager","Office management, scheduling","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"56","Manager","Managing over all","Retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",78000,NA
"57","Cleaner","Cleaning","Council","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",5000,NA
"58","Paramedic","Paramedic","Ambulance","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"59","Finance Manager","Accounts","Logistics","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",45000,NA
"60","Customer service assistant","Run a department","Retail","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",700,NA
