MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Administrative Occupations,Not outsourced,885,816.6542855157471,15.847513054008688,15.810752583977095,1020,936.8091585908297,87.17402877915686
Administrative Occupations,Outsourced,135,120.1548730750826,16.30823416891751,16.743627621154275,1020,936.8091585908297,12.82597122084314
Business And Public Service Associate Professionals,Not outsourced,504,482.9448441079968,19.41183150648563,19.281215685006398,579,545.529114819873,88.52778540838452
Business And Public Service Associate Professionals,Outsourced,75,62.58427071187621,17.90718844289663,17.71831022051402,579,545.529114819873,11.472214591615474
"Business, Media And Public Service Professionals",Not outsourced,458,391.55668948947744,21.957187732840385,22.180708501678,527,455.2304918967136,86.01284326497114
"Business, Media And Public Service Professionals",Outsourced,69,63.67380240723617,20.448655138000653,20.105796359147206,527,455.2304918967136,13.987156735028854
Caring Personal Service Occupations,Not outsourced,502,484.7657952812947,12.831394817585265,12.793158717401637,619,598.2055156177809,81.03666426088795
Caring Personal Service Occupations,Outsourced,117,113.43972033648619,12.465512971500022,12.237709992728249,619,598.2055156177809,18.963335739112054
Community And Civil Enforcement Occupations,Not outsourced,7,8.886435881502303,16.854330889690004,15.451162266894261,10,12.598413386723381,70.53615093204608
Community And Civil Enforcement Occupations,Outsourced,3,3.7119775052210784,11.840461087238252,11.914373258145723,10,12.598413386723381,29.463849067953916
Corporate Managers And Directors,Not outsourced,600,564.7658269664885,21.581708781149203,21.209626410077725,723,683.6996334035198,82.6043776204811
Corporate Managers And Directors,Outsourced,123,118.93380643703132,20.085946074272982,20.07699379375699,723,683.6996334035198,17.395622379518894
"Culture, Media And Sports Occupations",Not outsourced,60,52.84850544798996,16.397388624753603,15.656449681408699,67,59.59788794523892,88.67513140155138
"Culture, Media And Sports Occupations",Outsourced,7,6.749382497248957,22.63990630903837,20.566359877828837,67,59.59788794523892,11.32486859844862
Customer Service Occupations,Not outsourced,185,195.55054232956766,14.92606725302401,15.111693467713367,220,226.13353753839243,86.4756923976248
Customer Service Occupations,Outsourced,35,30.582995208824777,13.543550487972663,14.345144044014493,220,226.13353753839243,13.524307602375195
Elementary Administration And Service Occupations,Not outsourced,483,592.0475665447304,12.365646305822128,12.253347671874295,656,824.4832947603167,71.80831562109977
Elementary Administration And Service Occupations,Outsourced,173,232.43572821558624,12.193682709148378,11.788142472493734,656,824.4832947603167,28.191684378900245
Elementary Trades And Related Occupations,Not outsourced,40,45.160223449745,16.038195241300237,14.927689992087156,51,58.21038448939087,77.58104304907258
Elementary Trades And Related Occupations,Outsourced,11,13.05016103964587,15.202197521120173,14.569846878996566,51,58.21038448939087,22.41895695092742
Health And Social Care Associate Professionals,Not outsourced,160,140.99637590715218,16.376760297921308,16.251068461780868,180,160.9348264191124,87.61085406086326
Health And Social Care Associate Professionals,Outsourced,20,19.93845051196022,17.7959708833178,17.0228219636408,180,160.9348264191124,12.389145939136736
Health Professionals,Not outsourced,303,263.78296474953567,21.47215214053437,21.396348361599284,365,320.11970082784245,82.40135301494482
Health Professionals,Outsourced,62,56.33673607830678,17.984675927742572,17.86746684390679,365,320.11970082784245,17.598646985055186
"Leisure, Travel And Related Personal Service Occupations",Not outsourced,109,125.56369226572852,13.471952793457175,13.643322690468807,134,157.5453832269251,79.70001385878072
"Leisure, Travel And Related Personal Service Occupations",Outsourced,25,31.9816909611966,12.222133137767365,12.3007910277319,134,157.5453832269251,20.29998614121928
NA,Not outsourced,27,31.635333104126207,17.859341057218533,17.4507554181237,32,36.60656560296342,86.41983366384206
NA,Outsourced,5,4.971232498837214,20.872594367990317,19.335973443887795,32,36.60656560296342,13.580166336157951
Other Managers And Proprietors,Not outsourced,162,158.39919958334056,17.638318354205513,17.164757748015372,191,190.49187403040384,83.15273309666686
Other Managers And Proprietors,Outsourced,29,32.09267444706326,17.149105532380123,15.900268961821553,191,190.49187403040384,16.84726690333313
"Process, Plant And Machine Operatives",Not outsourced,154,179.42165025981504,14.839529459442655,14.203012227758727,188,224.73402837809184,79.8373310685094
"Process, Plant And Machine Operatives",Outsourced,34,45.312378118276804,14.851771920784628,13.860648949397094,188,224.73402837809184,20.162668931490607
Protective Service Occupations,Not outsourced,87,87.43607020022714,20.958506263198977,20.770817105513878,98,98.81427628486784,88.48526092339236
Protective Service Occupations,Outsourced,11,11.378206084640713,16.945701162275746,16.109804385871108,98,98.81427628486784,11.514739076607638
Sales Occupations,Not outsourced,599,678.7041598571072,12.761681740830543,12.732618782765101,730,811.2646310450613,83.66002089636385
Sales Occupations,Outsourced,131,132.56047118795402,13.308191189033566,13.209671273106759,730,811.2646310450613,16.339979103636164
"Science, Engineering And Technology Associate Professionals",Not outsourced,168,167.17822324242564,20.05319935806893,19.08387051168445,206,200.6818277426711,83.30511293568334
"Science, Engineering And Technology Associate Professionals",Outsourced,38,33.50360450024545,16.92335792289146,15.390307942753068,206,200.6818277426711,16.694887064316667
"Science, Research, Engineering And Technology Professionals",Not outsourced,397,355.0474331878335,22.571098940738235,22.488156437022795,479,425.28365747202423,83.48485227443499
"Science, Research, Engineering And Technology Professionals",Outsourced,82,70.23622428419071,21.645404522626773,21.851142949621913,479,425.28365747202423,16.51514772556501
Secretarial And Related Occupations,Not outsourced,146,152.3611345049918,14.880519328470198,14.65361873497462,163,172.21802464866326,88.4699117968744
Secretarial And Related Occupations,Outsourced,17,19.856890143671453,13.134137843267371,13.228257991503174,163,172.21802464866326,11.530088203125596
Skilled Agricultural And Related Trades,Not outsourced,30,33.98295219723105,13.760732127837958,13.332369690655774,37,43.12367174427108,78.80347573081052
Skilled Agricultural And Related Trades,Outsourced,7,9.140719547040032,12.248227565427644,13.116061102493324,37,43.12367174427108,21.196524269189496
Skilled Construction And Building Trades,Not outsourced,63,73.43949342228407,17.27652637372804,16.052144432071685,81,92.58733294861503,79.31915855384041
Skilled Construction And Building Trades,Outsourced,18,19.147839526330948,15.743104166829433,15.558988340777319,81,92.58733294861503,20.680841446159587
"Skilled Metal, Electrical And Electronic Trades",Not outsourced,108,122.79458235609818,16.92239476617076,16.604654237734074,128,138.75004146054374,88.50057345101204
"Skilled Metal, Electrical And Electronic Trades",Outsourced,20,15.955459104445563,19.24574092584351,18.607712919146223,128,138.75004146054374,11.499426548987955
