Majorgroupcode,outsourcing_status,Frequency,avg_income,wtd_avg_income,Sum,perc
1,Not outsourced,1189.7857709423702,35195.938242630386,36273.002209627535,1364.569770376432,87.191274258857
1,Outsourced,174.78399943406188,41482.45792,46547.081360903416,1364.569770376432,12.808725741142993
2,Not outsourced,1117.5131696650626,47793.00834065934,49043.32899923136,1277.2802558377762,87.49161858233522
2,Outsourced,159.76708617271348,64721.406015037595,62125.23614740951,1277.2802558377762,12.508381417664774
3,Not outsourced,747.5745285866118,27471.807442748093,26146.875621395535,918.3310921596874,81.40577346983882
3,Outsourced,170.75656357307565,27412.584,29369.225742958362,918.3310921596874,18.594226530161194
4,Not outsourced,746.6700505051484,31323.07611241218,32494.442404650104,1039.1115872748596,71.85658014490447
4,Outsourced,292.4415367697113,49510.80272727273,41461.15286625721,1039.1115872748596,28.143419855095548
5,Not outsourced,934.9402923625056,67324.54881773399,62449.65010268503,1143.9363515179716,81.73009723153443
5,Outsourced,208.996059155466,143257.72658227847,132460.36396569404,1143.9363515179716,18.269902768465577
6,Not outsourced,34.880128444029175,32922.86363636364,30205.59743880284,39.82183696540655,87.59045564454935
6,Outsourced,4.9417085213773735,52500,47122.686516892405,39.82183696540655,12.409544355450661
7,Not outsourced,523.2291232787134,41264.80791277259,40421.391794345494,642.7029026457235,81.41072976717712
7,Outsourced,119.47377936701014,30318.465,28804.511576891433,642.7029026457235,18.589270232822887
8,Not outsourced,1682.9232997365605,52238.549589322385,52762.55606652537,1983.124667768048,84.86220392945059
8,Outsourced,300.2013680314877,70672.51100775193,70000.85488201432,1983.124667768048,15.137796070549411
9,Not outsourced,1019.0109194934125,28381.1653250774,29300.588476910973,1206.4013778409137,84.46698903122339
9,Outsourced,187.39045834750115,64050.7631496063,54006.04547205204,1206.4013778409137,15.533010968776601
10,Not outsourced,449.28377113502927,37322.60072727273,38714.851560084004,538.8870023656151,83.3725380576551
10,Outsourced,89.60323123058579,52338.91428571429,39336.195467164034,538.8870023656151,16.62746194234488
