Majorgroupcode,Not outsourced,Outsourced,Ratio_10
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,87.191274258857,12.808725741142993,1.4690375671212152
ASSOCIATE PROFESSIONAL OCCUPATIONS,87.49161858233522,12.508381417664774,1.4296662492183276
"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",81.40577346983882,18.594226530161194,2.2841410059263714
ELEMENTARY OCCUPATIONS,71.85658014490447,28.143419855095548,3.9166099748056644
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",81.73009723153443,18.269902768465577,2.2353947183873393
NA,87.59045564454935,12.409544355450661,1.4167690148581722
"PROCESS, PLANT AND MACHINE OPERATIVES",81.41072976717712,18.589270232822887,2.283393145594629
PROFESSIONAL OCCUPATIONS,84.86220392945059,15.137796070549411,1.7838089714396388
SALES AND CUSTOMER SERVICE OCCUPATIONS,84.46698903122339,15.533010968776601,1.8389445565574492
SKILLED TRADES OCCUPATIONS,83.3725380576551,16.62746194234488,1.9943571744027264
