Majorgroupcode_labelled,outsourcing_group,n,Frequency,N,Sum,perc
Administrative and secretarial occupations,Not outsourced,1274,1189.7857709423702,1458,1364.569770376432,87.191274258857
Administrative and secretarial occupations,Outsourced,114,112.20616491476518,1458,1364.569770376432,8.222823585181125
Administrative and secretarial occupations,Likely agency,41,34.544429049614735,1458,1364.569770376432,2.5315253055976217
Administrative and secretarial occupations,High indicators,29,28.03340546968196,1458,1364.569770376432,2.0543768503642457
Associate professional occupations,Not outsourced,1171,1117.5131696650626,1351,1277.2802558377762,87.49161858233522
Associate professional occupations,Outsourced,128,113.74065178048187,1351,1277.2802558377762,8.904909573340165
Associate professional occupations,Likely agency,23,21.638606283259456,1351,1277.2802558377762,1.6941157732894383
Associate professional occupations,High indicators,29,24.387828108972148,1351,1277.2802558377762,1.9093560710351714
"Caring, leisure and other service occupations",Not outsourced,732,747.5745285866118,894,918.3310921596875,81.4057734698388
"Caring, leisure and other service occupations",Outsourced,112,120.75738006101133,894,918.3310921596875,13.14965605455216
"Caring, leisure and other service occupations",Likely agency,30,31.590660132762686,894,918.3310921596875,3.4400076837722295
"Caring, leisure and other service occupations",High indicators,20,18.408523379301638,894,918.3310921596875,2.004562791836803
Elementary occupations,Not outsourced,604,746.6700505051484,827,1039.1115872748596,71.85658014490447
Elementary occupations,Outsourced,158,208.4524253382929,827,1039.1115872748596,20.06063909699761
Elementary occupations,Likely agency,24,33.57006479616217,827,1039.1115872748596,3.2306506064668126
Elementary occupations,High indicators,41,50.41904663525625,827,1039.1115872748596,4.852130151631127
"Managers, directors and senior officials",Not outsourced,1007,934.9402923625056,1223,1143.9363515179716,81.73009723153443
"Managers, directors and senior officials",Outsourced,136,136.9795659044052,1223,1143.9363515179716,11.974404495725409
"Managers, directors and senior officials",Likely agency,38,34.539505654064435,1223,1143.9363515179716,3.019355544408697
"Managers, directors and senior officials",High indicators,42,37.47698759699636,1223,1143.9363515179716,3.276142728331471
"Process, plant and machine operatives",Not outsourced,440,523.2291232787134,544,642.7029026457235,81.41072976717712
"Process, plant and machine operatives",Outsourced,57,68.68751528229389,544,642.7029026457235,10.68728879230789
"Process, plant and machine operatives",Likely agency,22,27.499097717537584,544,642.7029026457235,4.278663999234478
"Process, plant and machine operatives",High indicators,25,23.28716636717867,544,642.7029026457235,3.6233174412805216
Professional occupations,Not outsourced,1932,1682.9232997365605,2268,1983.124667768048,84.86220392945059
Professional occupations,Outsourced,214,192.25494578545963,2268,1983.124667768048,9.694546636941249
Professional occupations,Likely agency,58,47.77463191862279,2268,1983.124667768048,2.409058426588572
Professional occupations,High indicators,64,60.17179032740526,2268,1983.124667768048,3.034191007019591
Sales and customer service occupations,Not outsourced,896,1019.0109194934125,1086,1206.4013778409137,84.46698903122339
Sales and customer service occupations,Outsourced,132,131.0389413688639,1086,1206.4013778409137,10.86196880870471
Sales and customer service occupations,Likely agency,24,24.123594801351302,1086,1206.4013778409137,1.9996325637927483
Sales and customer service occupations,High indicators,34,32.22792217728595,1086,1206.4013778409137,2.671409596279141
Skilled trades occupations,Not outsourced,384,449.28377113502927,467,538.8870023656151,83.3725380576551
Skilled trades occupations,Outsourced,69,73.97984196383419,467,538.8870023656151,13.728266155813046
Skilled trades occupations,Likely agency,9,11.256329465170742,467,538.8870023656151,2.0888107183430886
Skilled trades occupations,High indicators,5,4.367059801580862,467,538.8870023656151,0.8103850681887429
NA,Not outsourced,32,35.713283691603316,37,40.65499221298069,87.84476825013499
NA,Outsourced,3,2.9803753793787333,37,40.65499221298069,7.330896446284727
NA,High indicators,2,1.9613331419986402,37,40.65499221298069,4.824335303580278
