Majorgroupcode_labelled,outsourcing_status,n,Frequency,N,Sum,perc
Administrative and secretarial occupations,Not outsourced,1274,1189.7857709423702,1458,1364.569770376432,87.191274258857
Administrative and secretarial occupations,Outsourced,184,174.78399943406188,1458,1364.569770376432,12.808725741142993
Associate professional occupations,Not outsourced,1171,1117.5131696650626,1351,1277.2802558377762,87.49161858233522
Associate professional occupations,Outsourced,180,159.76708617271348,1351,1277.2802558377762,12.508381417664774
"Caring, leisure and other service occupations",Not outsourced,732,747.5745285866118,894,918.3310921596874,81.40577346983882
"Caring, leisure and other service occupations",Outsourced,162,170.75656357307565,894,918.3310921596874,18.594226530161194
Elementary occupations,Not outsourced,604,746.6700505051484,827,1039.1115872748596,71.85658014490447
Elementary occupations,Outsourced,223,292.4415367697113,827,1039.1115872748596,28.143419855095548
"Managers, directors and senior officials",Not outsourced,1007,934.9402923625056,1223,1143.9363515179716,81.73009723153443
"Managers, directors and senior officials",Outsourced,216,208.996059155466,1223,1143.9363515179716,18.269902768465577
"Process, plant and machine operatives",Not outsourced,440,523.2291232787134,544,642.7029026457235,81.41072976717712
"Process, plant and machine operatives",Outsourced,104,119.47377936701014,544,642.7029026457235,18.589270232822887
Professional occupations,Not outsourced,1932,1682.9232997365605,2268,1983.124667768048,84.86220392945059
Professional occupations,Outsourced,336,300.2013680314877,2268,1983.124667768048,15.137796070549411
Sales and customer service occupations,Not outsourced,896,1019.0109194934125,1086,1206.4013778409137,84.46698903122339
Sales and customer service occupations,Outsourced,190,187.39045834750115,1086,1206.4013778409137,15.533010968776601
Skilled trades occupations,Not outsourced,384,449.28377113502927,467,538.8870023656151,83.3725380576551
Skilled trades occupations,Outsourced,83,89.60323123058579,467,538.8870023656151,16.62746194234488
NA,Not outsourced,32,35.713283691603316,37,40.65499221298069,87.84476825013499
NA,Outsourced,5,4.9417085213773735,37,40.65499221298069,12.155231749865004
