Majorgroupcode_labelled,N,wtd_avg_income
Administrative and secretarial occupations,1183,24458.453390239967
Associate professional occupations,1129,30915.13901484871
"Caring, leisure and other service occupations",763,19002.525152947408
Elementary occupations,707,18019.627005085775
"Managers, directors and senior officials",919,34365.74221053563
"Process, plant and machine operatives",449,27976.397742913436
Professional occupations,1777,35160.88162991961
Sales and customer service occupations,950,18744.107638951577
Skilled trades occupations,385,26280.181268334796
NA,29,28415.570385313804
