UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Chief Executives and Senior Officials,Not outsourced,14,11.02087042049437,38782.21428571428,38159.88081356368,17,13.363567875372537,82.46952103864807
Chief Executives and Senior Officials,Outsourced,3,2.3426974548781665,50133.333333333336,49778.37764577345,17,13.363567875372537,17.53047896135192
"Directors in Logistics, Warehousing and Transport",Not outsourced,12,11.847789531050438,33565.083333333336,31621.96369352926,13,12.618403955258298,93.89293268039076
"Directors in Logistics, Warehousing and Transport",Outsourced,1,0.7706144242078602,34000,34000,13,12.618403955258298,6.107067319609247
Functional Managers and Directors,Not outsourced,386,349.94635551331584,38438.01139896373,38386.58911678263,474,435.18111582375263,80.41395703738287
Functional Managers and Directors,Outsourced,88,85.23476031043677,34645.94886363636,34272.98069998306,474,435.18111582375263,19.58604296261712
Health and Social Services Managers and Directors,Not outsourced,27,22.866044379881775,30612.537037037036,30335.652143079144,33,28.780393230995646,79.4500762944952
Health and Social Services Managers and Directors,Outsourced,6,5.914348851113871,27740.083333333332,27187.167407441073,33,28.780393230995646,20.549923705504796
Managers and Directors in Retail and Wholesale,Not outsourced,73,81.84389495895267,28317.418356164384,27597.324587469142,89,98.01720196928315,83.49952183352582
Managers and Directors in Retail and Wholesale,Outsourced,16,16.173307010330475,29632.3625,27703.61803048794,89,98.01720196928315,16.50047816647419
Managers and Proprietors in Agriculture Related Services,Not outsourced,2,1.6059869576801433,40490.25,40794.53601009672,4,2.721650291553327,59.007836630016065
Managers and Proprietors in Agriculture Related Services,Outsourced,2,1.1156633338731838,21923,21768.009993146592,4,2.721650291553327,40.99216336998393
Managers and Proprietors in Health and Care Services,Not outsourced,24,17.619815373961867,25229.4375,25437.02636457049,29,21.93406593674376,80.33082158490872
Managers and Proprietors in Health and Care Services,Outsourced,5,4.3142505627818934,36800.1,37271.45084263638,29,21.93406593674376,19.669178415091285
Managers and Proprietors in Hospitality and Leisure Services,Not outsourced,53,55.40590467701732,23430.48867924528,23018.74931165865,60,63.39185346755424,87.40224752282349
Managers and Proprietors in Hospitality and Leisure Services,Outsourced,7,7.985948790536921,22378,20570.148053135392,60,63.39185346755424,12.597752477176517
Managers and Proprietors in Other Services,Not outsourced,50,50.84964983084262,32375.67,31317.65586180274,59,61.46374371063672,82.73113019316905
Managers and Proprietors in Other Services,Outsourced,9,10.6140938797941,31214.61111111111,26770.209249069405,59,61.46374371063672,17.268869806830946
"Managers in Logistics, Warehousing and Transport",Not outsourced,33,32.91784274383862,35867.78787878788,35041.787345874975,39,40.98056062391578,80.32550614895236
"Managers in Logistics, Warehousing and Transport",Outsourced,6,8.06271788007716,31687,25447.623786327084,39,40.98056062391578,19.674493851047643
Production Managers and Directors,Not outsourced,64,62.58426839138666,40929.8140625,39563.04942696121,73,71.08234677745084,88.04474138611306
Production Managers and Directors,Outsourced,9,8.49807838606418,37831.166666666664,39334.393883547484,73,71.08234677745084,11.955258613886944
Senior Officers in Protective Services,Not outsourced,25,25.68846175631976,41174.088,39783.345376099795,25,25.68846175631976,100
NA,Not outsourced,3,2.6280093275211884,31733.333333333332,35157.99092360665,4,3.3986237517290485,77.32569179463275
NA,Outsourced,1,0.7706144242078602,55000,55000,4,3.3986237517290485,22.674308205367257
