Majorgroupcode_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Administrative and secretarial occupations,Not outsourced,1236,1151.5520217546728,24482.29761396702,24423.350293807667,1411,1315.6751107245716,87.52556101182817
Administrative and secretarial occupations,Outsourced,175,164.1230889698989,24789.09013157895,24701.400418056684,1411,1315.6751107245716,12.474438988171833
Associate professional occupations,Not outsourced,1096,1047.6805687303265,31673.56417773238,31302.163622684227,1262,1194.6406235057675,87.69838796003981
Associate professional occupations,Outsourced,166,146.9600547754411,29217.71,28216.309789088493,1262,1194.6406235057675,12.301612039960201
"Caring, leisure and other service occupations",Not outsourced,715,731.6970595327492,19370.689190938512,19283.68478793676,872,896.6948722263401,81.59933576023141
"Caring, leisure and other service occupations",Outsourced,157,164.99781269359087,18650.461413793102,17835.12377886043,872,896.6948722263401,18.400664239768595
Elementary occupations,Not outsourced,591,731.0432999542081,18397.668336520077,18112.55992051592,804,1013.098734505765,72.15913662263567
Elementary occupations,Outsourced,213,282.0554345515569,19156.872282608696,17778.40101104333,804,1013.098734505765,27.840863377364318
"Managers, directors and senior officials",Not outsourced,853,809.4870288448255,35445.55892950392,34817.536162105716,1027,982.8153934232485,82.36409749600054
"Managers, directors and senior officials",Outsourced,174,173.32836457842296,33495.60980392157,32202.492049321387,1027,982.8153934232485,17.635902503999475
"Process, plant and machine operatives",Not outsourced,427,510.373984184611,29158.633988919668,28597.489117522044,529,628.2153973579718,81.24187759979209
"Process, plant and machine operatives",Outsourced,102,117.84141317336078,26851.86409090909,25349.384502334582,529,628.2153973579718,18.7581224002079
Professional occupations,Not outsourced,1769,1536.7191892398523,35434.952936925096,35448.02569333841,2058,1792.1220437981824,85.74857915273253
Professional occupations,Outsourced,289,255.40285455833,33362.950352941174,33470.43472696831,2058,1792.1220437981824,14.251420847267468
Sales and customer service occupations,Not outsourced,876,994.3234505690465,18616.969974489795,18407.87251988868,1054,1173.4749096445266,84.73325184858453
Sales and customer service occupations,Outsourced,178,179.15145907548023,20144.203855421685,20545.92747503445,1054,1173.4749096445266,15.266748151415479
Skilled trades occupations,Not outsourced,372,434.6535289070129,26680.98316455696,25978.86023125866,451,520.4168275973933,83.52026795783611
Skilled trades occupations,Outsourced,79,85.76329869038038,29172.102898550726,27741.09173721269,451,520.4168275973933,16.47973204216388
NA,Not outsourced,31,34.86589294719753,28431.56,27976.02075882257,35,39.066511021826884,89.24752181662083
NA,Outsourced,4,4.200618074629354,34036.5,31538.056451975484,35,39.066511021826884,10.752478183379168
