Majorgroupcode_labelled,wtd_avg_income_Not outsourced,wtd_avg_income_Outsourced,n_Not outsourced,n_Outsourced,Pay_diff
Administrative and secretarial occupations,24423.350293807667,24701.400418056684,1031,152,101.13846020674532
Associate professional occupations,31302.163622684227,28216.309789088493,979,150,90.14172352175855
"Caring, leisure and other service occupations",19283.68478793676,17835.12377886043,618,145,92.48815242000585
Elementary occupations,18112.55992051592,17778.40101104333,523,184,98.15509839062511
"Managers, directors and senior officials",34817.536162105716,32202.492049321387,766,153,92.48929016513678
"Process, plant and machine operatives",28597.489117522044,25349.384502334582,361,88,88.64199370147743
Professional occupations,35448.02569333841,33470.43472696831,1522,255,94.42115342761745
Sales and customer service occupations,18407.87251988868,20545.92747503445,784,166,111.61489440366192
Skilled trades occupations,25978.86023125866,27741.09173721269,316,69,106.78332879220642
NA,27976.02075882257,31538.056451975484,25,4,112.73246014456714
