Majorgroupcode_labelled,income_group,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Administrative and secretarial occupations,Not low,Not outsourced,544,511.80245374830383,31638.699338235296,31650.54324610181,617,578.6296670693696,88.45077998514478
Administrative and secretarial occupations,Not low,Outsourced,41,40.28387873149875,33008.65853658537,33615.78398221502,617,578.6296670693696,6.961944923344084
Administrative and secretarial occupations,Not low,Likely agency,16,11.48190303830853,32785.94375,31706.699965161068,617,578.6296670693696,1.984326710460909
Administrative and secretarial occupations,Not low,High indicators,16,15.06143155125849,35787.625,37176.70171113766,617,578.6296670693696,2.6029483810502296
Administrative and secretarial occupations,Low,Not outsourced,487,457.21296627243515,16488.288295687886,16333.258018313092,566,530.3975161701235,86.20194332240904
Administrative and secretarial occupations,Low,Outsourced,51,48.17143591709537,16615.913725490194,16162.485850942958,566,530.3975161701235,9.08213829222468
Administrative and secretarial occupations,Low,Likely agency,21,19.538619398092298,15977.97619047619,15580.378419117815,566,530.3975161701235,3.683769022746581
Administrative and secretarial occupations,Low,High indicators,7,5.474494582500602,19208.64285714286,17779.83728110455,566,530.3975161701235,1.0321493626196911
Associate professional occupations,Not low,Not outsourced,736,690.1963276412137,36681.01826086957,36484.13990033589,840,780.4070884885297,88.44055081277725
Associate professional occupations,Not low,Outsourced,69,57.4625474494604,34475.311594202896,33300.911216299064,840,780.4070884885297,7.36315037332019
Associate professional occupations,Not low,Likely agency,15,14.585123514217123,41980.03333333333,39814.4887765822,840,780.4070884885297,1.8689122291886375
Associate professional occupations,Not low,High indicators,20,18.163089883638442,31856.8,31797.162250124697,840,780.4070884885297,2.3273865847139086
Associate professional occupations,Low,Not outsourced,243,241.20769126457807,16506.95427983539,16474.357021625416,289,284.5645795714606,84.76377897341413
Associate professional occupations,Low,Outsourced,35,34.78133117082106,14985.328571428572,15281.403842734855,289,284.5645795714606,12.222649503040724
Associate professional occupations,Low,Likely agency,6,5.269354326214855,19681.833333333332,19730.52233964812,289,284.5645795714606,1.8517253040242136
Associate professional occupations,Low,High indicators,5,3.3062028098466185,18889.2,18608.157297983336,289,284.5645795714606,1.1618462195209212
"Caring, leisure and other service occupations",Not low,Not outsourced,173,173.04138143424183,29465.35387283237,29332.14469929045,206,206.5885420895354,83.76136434480755
"Caring, leisure and other service occupations",Not low,Outsourced,18,20.3683502889871,29181.37777777778,28825.039458997064,206,206.5885420895354,9.859380429801117
"Caring, leisure and other service occupations",Not low,Likely agency,8,6.848937263018895,30473,28600.10297134827,206,206.5885420895354,3.3152551413284908
"Caring, leisure and other service occupations",Not low,High indicators,7,6.329873103287586,29140.85714285714,29877.677039249138,206,206.5885420895354,3.0640000840628523
"Caring, leisure and other service occupations",Low,Not outsourced,445,446.1745419942837,15446.246516853933,15386.55659999654,557,561.760770141894,79.42429690873311
"Caring, leisure and other service occupations",Low,Outsourced,82,86.00705500793065,15267.413719512195,14249.463846705474,557,561.760770141894,15.310263653014841
"Caring, leisure and other service occupations",Low,Likely agency,20,20.82269312822932,15435.384,14422.558854392797,557,561.760770141894,3.7066833846318175
"Caring, leisure and other service occupations",Low,High indicators,10,8.756480011450323,17064.65,18480.11924452661,557,561.760770141894,1.5587560536202165
Elementary occupations,Not low,Not outsourced,156,192.97696770844283,29830.608076923076,29352.587227107997,212,256.03960919830337,75.36996651130711
Elementary occupations,Not low,Outsourced,40,47.19103322447337,31647.4225,32192.054696355608,212,256.03960919830337,18.431145623224175
Elementary occupations,Not low,Likely agency,4,2.5740737320013682,38867.75,36566.55225256272,212,256.03960919830337,1.0053420015993468
Elementary occupations,Not low,High indicators,12,13.297534533385807,35728.166666666664,34166.00291217291,212,256.03960919830337,5.19354586386938
Elementary occupations,Low,Not outsourced,367,444.2308222860326,13537.890136239783,13229.813659407524,495,626.6540700514041,70.88932211827694
Elementary occupations,Low,Outsourced,87,123.37581183498523,12667.503908045977,11782.225494925822,495,626.6540700514041,19.688025296774146
Elementary occupations,Low,Likely agency,19,29.3931957334233,11922.66105263158,13064.17936231929,495,626.6540700514041,4.690497858094529
Elementary occupations,Low,High indicators,22,29.65424019696302,15734.327272727272,15481.1599951643,495,626.6540700514041,4.732154726854403
"Managers, directors and senior officials",Not low,Not outsourced,635,593.2241813246218,39239.409039370075,38934.45956746551,755,703.6953471688232,84.30127948285292
"Managers, directors and senior officials",Not low,Outsourced,73,69.65204935582587,37863.48630136986,36958.421114428886,755,703.6953471688232,9.898040343176472
"Managers, directors and senior officials",Not low,Likely agency,22,18.420791914178587,39974.295454545456,40509.44918545975,755,703.6953471688232,2.617722568195305
"Managers, directors and senior officials",Not low,High indicators,25,22.398324574196934,38876.26,39983.114679695114,755,703.6953471688232,3.182957605775296
"Managers, directors and senior officials",Low,Not outsourced,131,133.6007125376414,17055.52213740458,16537.255538358015,164,174.92664200174247,76.3752799509583
"Managers, directors and senior officials",Low,Outsourced,21,28.547145927265817,14899.752380952381,16119.692592749576,164,174.92664200174247,16.319495761532686
"Managers, directors and senior officials",Low,Likely agency,5,6.124401268407345,15946.4,15077.395119614155,164,174.92664200174247,3.5011254994229746
"Managers, directors and senior officials",Low,High indicators,7,6.654382268427887,16689.428571428572,17993.080310240985,164,174.92664200174247,3.8040987880860375
"Process, plant and machine operatives",Not low,Not outsourced,229,268.49984082553357,35562.755938864626,35131.49802494334,284,328.4174661526723,81.75565202756766
"Process, plant and machine operatives",Not low,Outsourced,27,28.76258329952647,33802.00740740741,32794.144109062596,284,328.4174661526723,8.757933503498723
"Process, plant and machine operatives",Not low,Likely agency,14,18.74887920103193,32332,31346.322811866838,284,328.4174661526723,5.7088556892757
"Process, plant and machine operatives",Not low,High indicators,14,12.406162826580365,34331.03571428572,33179.38977613511,284,328.4174661526723,3.777558779657925
