unit_occupation_labelled,wtd_avg_income_not_outsourced,wtd_avg_income_outsourced,n_not_outsourced,n_outsourced,pay_penalty
Administrative Occupations: Government And Related Organisations,19.145900942701758,13.899923949287121,150,11,-5.2459769934146365
Business Associate Professionals,19.48274323747793,16.91208871344346,125,21,-2.5706545240344703
"Business, Research And Administrative Professionals",22.776429032957427,20.03854905158298,101,18,-2.737879981374448
Caring Personal Services,13.037984065763109,12.656414507383893,332,87,-0.3815695583792156
Construction And Building Trades,16.55799450821972,15.90281128828762,48,16,-0.6551832199321019
Customer Service Occupations,14.686185475397847,14.646478905839292,163,29,-0.03970656955855567
Elementary Administration Occupations,14.098936334420921,10.959796536961479,34,11,-3.1391397974594426
Elementary Cleaning Occupations,12.073977227069163,11.13136663547195,113,60,-0.9426105915972123
Finance Associate Professionals,20.48349661101268,18.66883754033897,55,12,-1.8146590706737094
Finance Professionals,22.801998223165683,20.16292960757646,110,20,-2.639068615589224
Food Preparation And Hospitality Trades,13.05800526522882,12.65722146004186,98,23,-0.40078380518695944
Functional Managers And Directors,22.40837611705259,20.530220075674965,385,88,-1.8781560413776255
"Hr, Training And Other Vocational Associate Guidance Professionals",20.16319850415541,19.631807496849895,115,11,-0.5313910073055155
Information Technology Professionals,24.073950026965438,21.948344742357833,231,50,-2.1256052846076052
Information Technology Technicians,21.004026676498935,15.631251303484765,90,27,-5.37277537301417
Nursing Professionals,20.838750530144658,17.526211850670382,180,36,-3.312538679474276
Other Elementary Services Occupations,11.277593051006967,10.563660877941167,144,39,-0.7139321730657997
Other Health Professionals,19.563145742458726,18.3498879217778,62,17,-1.2132578206809264
Protective Service Occupations,20.770817105513878,16.109804385871108,87,11,-4.66101271964277
Road Transport Drivers,14.777015001752165,14.094743584240472,154,41,-0.6822714175116928
"Sales, Marketing And Related Associate Professionals",18.431847096281633,16.61152413319002,155,20,-1.8203229630916127
"Science, Engineering And Production Technicians",17.313692726134494,14.829176428584928,76,11,-2.4845162975495665
Secretarial And Related Occupations,14.65361873497462,13.228257991503174,146,17,-1.4253607434714457
Shopkeepers And Sales Supervisors,13.876566073869348,11.89987925853947,87,27,-1.976686815329879
Teaching And Childcare Support Occupations,12.3364186180142,11.066423024775535,156,28,-1.269995593238665
Welfare And Housing Associate Professionals,17.03021674459173,15.800785002317122,84,10,-1.229431742274608
