SectorName,SectorName_labelled,UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
1,Accommodation And Food Service Activities,Administrative Occupations: Finance,Not outsourced,7,7.824348415413465,14.638009049773755,14.777079258383393,8,8.728593338590894,89.6404278661995
1,Accommodation And Food Service Activities,Administrative Occupations: Finance,Outsourced,1,0.9042449231774289,14.517279710649875,14.517279710649875,8,8.728593338590894,10.359572133800498
1,Accommodation And Food Service Activities,Administrative Occupations: Office Managers And Supervisors,Not outsourced,2,2.305319544859559,11.494782074892571,11.737504169920932,4,3.9301405403957994,58.657432760086316
1,Accommodation And Food Service Activities,Administrative Occupations: Office Managers And Supervisors,Outsourced,2,1.6248209955362403,13.858329496623696,13.713290921693492,4,3.9301405403957994,41.34256723991368
1,Accommodation And Food Service Activities,Agricultural And Related Trades,Not outsourced,2,1.8206141041959811,16.019945505261003,16.019945505261006,2,1.8206141041959811,100
1,Accommodation And Food Service Activities,"Business, Research And Administrative Professionals",Not outsourced,1,1.1155173813018209,15,15,2,2.1906424182044484,50.92192920358725
1,Accommodation And Food Service Activities,"Business, Research And Administrative Professionals",Outsourced,1,1.0751250369026277,17.188459177409452,17.188459177409452,2,2.1906424182044484,49.07807079641277
1,Accommodation And Food Service Activities,Caring Personal Services,Not outsourced,3,2.5890492817960085,11.598117454471046,11.945188487117044,4,3.2185157342886788,80.44233726165741
1,Accommodation And Food Service Activities,Caring Personal Services,Outsourced,1,0.6294664524926704,9.668508287292818,9.668508287292818,4,3.2185157342886788,19.557662738342593
1,Accommodation And Food Service Activities,Cleaning And Housekeeping Managers And Supervisors,Not outsourced,3,1.653829390578879,14.006559545462192,13.643355096498931,4,2.86703035722834,57.684404575949266
1,Accommodation And Food Service Activities,Cleaning And Housekeeping Managers And Supervisors,Outsourced,1,1.2132009666494608,14.426028238182933,14.426028238182933,4,2.86703035722834,42.31559542405073
1,Accommodation And Food Service Activities,Construction And Building Trades,Not outsourced,2,1.3766316721400709,10.771255371393494,10.533244105356466,2,1.3766316721400709,100
1,Accommodation And Food Service Activities,Construction Operatives,Not outsourced,3,3.272135764588818,13.121444649068957,11.966559166354074,3,3.272135764588818,100
1,Accommodation And Food Service Activities,Customer Service Occupations,Not outsourced,7,7.574493520595087,11.09214680347277,9.80594321946639,7,7.574493520595087,100
1,Accommodation And Food Service Activities,Customer Service Supervisors,Not outsourced,3,2.4674528003710416,22.421468784268047,21.464421189116234,3,2.4674528003710416,100
1,Accommodation And Food Service Activities,"Directors In Logistics, Warehousing And Transport",Not outsourced,1,0.8486591300528055,14.323715981174544,14.323715981174544,1,0.8486591300528055,100
1,Accommodation And Food Service Activities,Elementary Cleaning Occupations,Not outsourced,12,14.63529459971372,11.269911696369606,11.339292341157735,15,18.49836663628121,79.11668574569836
1,Accommodation And Food Service Activities,Elementary Cleaning Occupations,Outsourced,3,3.86307203656749,11.715927502541033,11.792192602510609,15,18.49836663628121,20.883314254301624
1,Accommodation And Food Service Activities,Elementary Sales Occupations,Not outsourced,2,2.102588216574186,13.516574585635357,13.676542558618008,2,2.102588216574186,100
1,Accommodation And Food Service Activities,Elementary Storage Occupations,Not outsourced,9,12.385095343771727,10.12438896846509,9.60696311092003,11,14.252648741318765,86.89679770095677
1,Accommodation And Food Service Activities,Elementary Storage Occupations,Outsourced,2,1.867553397547038,9.974254143646409,9.904774406170436,11,14.252648741318765,13.10320229904324
1,Accommodation And Food Service Activities,Engineering Professionals,Not outsourced,1,1.4368909802407066,22.91794556987927,22.91794556987927,2,2.055951286460522,69.88934950469692
1,Accommodation And Food Service Activities,Engineering Professionals,Outsourced,1,0.6190603062198153,27.93124616329036,27.93124616329036,2,2.055951286460522,30.110650495303087
1,Accommodation And Food Service Activities,Finance Professionals,Not outsourced,2,2.2074953700296183,11.491508082668304,12.422083710245616,2,2.2074953700296183,100
1,Accommodation And Food Service Activities,Food Preparation And Hospitality Trades,Not outsourced,50,55.505159711385275,12.57686269933558,12.145062200745967,65,75.29563470297833,73.7163049761632
1,Accommodation And Food Service Activities,Food Preparation And Hospitality Trades,Outsourced,15,19.790474991593054,12.032081726556864,11.61472774525549,65,75.29563470297833,26.283695023836806
1,Accommodation And Food Service Activities,Functional Managers And Directors,Not outsourced,21,19.49410606457846,17.628838620430976,18.524272733045738,22,21.13630926596455,92.23041648037153
1,Accommodation And Food Service Activities,Functional Managers And Directors,Outsourced,1,1.6422032013860899,7.734806629834255,7.734806629834255,22,21.13630926596455,7.769583519628484
1,Accommodation And Food Service Activities,Hairdressers And Related Services,Not outsourced,2,1.8348898248444732,14.847006635680668,14.356018499604764,2,1.8348898248444732,100
1,Accommodation And Food Service Activities,Housekeeping And Related Services,Not outsourced,23,26.1746869782515,10.003657270685785,9.786702228350885,24,26.740663080945595,97.88346272124647
1,Accommodation And Food Service Activities,Housekeeping And Related Services,Outsourced,1,0.5659761026940925,11.602209944751381,11.602209944751381,24,26.740663080945595,2.1165372787535177
1,Accommodation And Food Service Activities,"Hr, Training And Other Vocational Associate Guidance Professionals",Not outsourced,1,0.7660570078087133,18.79987722529159,18.79987722529159,2,1.5263051854063474,50.19029058757777
1,Accommodation And Food Service Activities,"Hr, Training And Other Vocational Associate Guidance Professionals",Outsourced,1,0.760248177597634,23.365561694290975,23.365561694290975,2,1.5263051854063474,49.80970941242223
1,Accommodation And Food Service Activities,Information Technology Professionals,Not outsourced,1,0.8282683605646163,22.560121240024554,22.560121240024554,1,0.8282683605646163,100
1,Accommodation And Food Service Activities,Information Technology Technicians,Not outsourced,1,0.7396020180116426,21.485573971761816,21.485573971761816,1,0.7396020180116426,100
1,Accommodation And Food Service Activities,Leisure And Travel Services,Not outsourced,4,5.333465833078936,13.67914876202169,13.522962073798682,4,5.333465833078936,100
