UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Administrative Occupations: Finance,Not outsourced,154,136.66447582985396,16.954083388772787,17.232505135408132,177,157.92197845374974,86.53923739302606
Administrative Occupations: Finance,Outsourced,23,21.257502623895782,18.580962567843752,20.782673386556997,177,157.92197845374974,13.460762606973937
Administrative Occupations: Government And Related Organisations,Not outsourced,150,126.68151057658245,19.00852324031407,19.145900942701758,161,136.3351118638463,92.91921123231658
Administrative Occupations: Government And Related Organisations,Outsourced,11,9.653601287263832,13.89046255024273,13.899923949287121,161,136.3351118638463,7.080788767683405
Administrative Occupations: Office Managers And Supervisors,Not outsourced,106,95.12314826581257,16.5012752833021,17.061977427695073,128,113.62413322107204,83.71738077925474
Administrative Occupations: Office Managers And Supervisors,Outsourced,22,18.50098495525946,18.5115773455105,18.61854883876983,128,113.62413322107204,16.282619220745246
Administrative Occupations: Records,Not outsourced,86,82.90064185849874,15.004233664399358,14.670340176685265,102,98.9543222185249,83.77667594491311
Administrative Occupations: Records,Outsourced,16,16.053680360026146,16.850639879528863,16.252459830264673,102,98.9543222185249,16.223324055086895
Agricultural And Related Trades,Not outsourced,30,33.98295219723105,13.760732127837958,13.332369690655774,37,43.12367174427108,78.80347573081052
Agricultural And Related Trades,Outsourced,7,9.140719547040032,12.248227565427644,13.116061102493324,37,43.12367174427108,21.196524269189496
Animal Care And Control Services,Not outsourced,14,14.525266071012775,12.079022573986213,11.92233691839044,16,17.094579445982944,84.97001120683356
Animal Care And Control Services,Outsourced,2,2.569313374970169,11.780376559382082,12.35727394319687,16,17.094579445982944,15.029988793166432
"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors And Construction Professionals",Not outsourced,27,24.205536238599382,20.50213847016755,21.029388795051247,35,30.422388866231323,79.56487685773878
"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors And Construction Professionals",Outsourced,8,6.216852627631942,15.957438296235912,15.613994534042984,35,30.422388866231323,20.435123142261236
"Artistic, Literary And Media Occupations",Not outsourced,27,25.829595409937248,16.882796320805426,16.129693449476093,29,27.606289956070253,93.56416762643495
"Artistic, Literary And Media Occupations",Outsourced,2,1.7766945461330037,33.267836986871025,29.963262031770736,29,27.606289956070253,6.435832373565041
Assemblers And Routine Operatives,Not outsourced,40,43.29907226347967,15.782855977050447,14.593236421694032,49,54.19367184593353,79.89691561511837
Assemblers And Routine Operatives,Outsourced,9,10.894599582453859,14.770763337729509,13.65959601193367,49,54.19367184593353,20.103084384881637
Building Finishing Trades,Not outsourced,7,13.493856877553357,16.253703646758105,13.415158945830944,9,15.150746819650017,89.06397181723261
Building Finishing Trades,Outsourced,2,1.656889942096659,12.292817679558011,11.929423281558241,9,15.150746819650017,10.936028182767384
Business And Financial Project Management Professionals,Not outsourced,66,56.16155606325568,24.374713731272493,24.248597964481686,73,65.13834286992187,86.21888981027288
Business And Financial Project Management Professionals,Outsourced,7,8.976786806666183,21.188593809795467,20.593386819649407,73,65.13834286992187,13.781110189727105
