variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),23919.527352646553,643.6018021940899,37.16510312914441,1.1286975330147355e-279
Age,14.621312733054921,10.523388472615105,1.3894110980606482,0.16474528260728116
Has_DegreeYes,8177.943372409026,279.1608957127216,29.294731095951096,1.4965928042388059e-179
Has_DegreeDon't know,-2104.409671712191,1087.2880276483681,-1.935466608846688,0.052967199333550936
Ethnicity_collapsedArab/British Arab,-104.94037351948427,2392.3092026301633,-0.043865723295345875,0.9650124996952847
Ethnicity_collapsedAsian/Asian British,-476.67235006034883,557.8982905352639,-0.8544072605116168,0.3929041894012082
Ethnicity_collapsedBlack/African/Caribbean/Black British,-1145.7107198477888,818.1666719837316,-1.4003390251400636,0.16144943542436027
Ethnicity_collapsedMixed/Multiple ethnic group,-1534.532695272754,1009.4821032496149,-1.5201187721237983,0.12851945854016603
Ethnicity_collapsedOther ethnic group,1712.3863803852803,1846.5063958647931,0.9273655288820708,0.3537639173005521
Ethnicity_collapsedPrefer not to say,-232.1916518439597,877.5221021368058,-0.26459920642290674,0.7913248430162285
Ethnicity_collapsedWhite other,-492.5032541248267,706.4984198075799,-0.6971045374156161,0.4857570220326426
RegionEast Midlands,-5763.15294057188,620.4644833743483,-9.28844937139579,1.9688458195420457e-20
RegionEast of England,-4084.3672924851035,583.0584894089608,-7.005073018704138,2.662531445858284e-12
RegionNorth East,-4903.736790913203,779.9719469929092,-6.287068156513818,3.399587534492128e-10
RegionNorth West,-4492.428325269218,564.5279158961902,-7.957849733856777,1.983103124957215e-15
RegionNorthern Ireland,-6534.557054563995,907.1741523893854,-7.203200220545056,6.399307125777021e-13
RegionScotland,-5451.685802704298,606.5093720904423,-8.98862582108846,3.0620345997550077e-19
RegionSouth East,-3440.999432752646,530.562888633094,-6.485563740837212,9.348884307564882e-11
RegionSouth West,-5722.196733311311,605.2089890052171,-9.454910348765464,4.134057368462444e-21
RegionWales,-5362.277034955076,737.5187615650752,-7.270699152894611,3.903383123232364e-13
RegionWest Midlands,-5001.041699143978,589.9753196766492,-8.476696452124344,2.7185012988330032e-17
RegionYorkshire and the Humber,-5546.873661115786,603.6261337008817,-9.189253664528149,4.927854061589184e-20
GenderMale,6984.632242042973,293.74559754743433,23.77782782230494,6.202137538409261e-121
GenderOther,3524.4529911157533,3847.3118015606283,0.9160819743505296,0.3596506839682705
GenderPrefer not to say,4380.7622636823535,2903.220542111628,1.5089319602623266,0.1313544743911288
outsourcing_groupOutsourced,-3822.498235244999,619.7574852185272,-6.167732260461818,7.25377349811871e-10
outsourcing_groupLikely agency,-779.9856840270495,1241.5709091155286,-0.6282248386301966,0.5298740552500207
outsourcing_groupHigh indicators,-1422.0648883702154,1414.5536995120096,-1.0053099354664279,0.31477712379208445
BORNUK_labelledWithin the last year,-6110.117103132124,1143.1451106803063,-5.345005674297887,9.2831774017617e-8
BORNUK_labelledWithin the last 3 years,-2394.6946129110675,1031.4839168794592,-2.321601504127878,0.020278641143358228
BORNUK_labelledWithin the last 5 years,-2149.180953826889,1136.9279950232703,-1.8903404289758035,0.058747469439275064
BORNUK_labelledWithin the last 10 years,-634.4172082987387,891.1586050708978,-0.7119015680135484,0.476545865901311
BORNUK_labelledWithin the last 15 years,700.3103079070662,991.162743206609,0.7065543097810787,0.4798634496686154
BORNUK_labelledWithin the last 20 years,1242.676381557553,1062.4263204038366,1.169658881460318,0.24217207006956862
BORNUK_labelledWithin the last 30 years,3509.6622450071577,1234.7477882609555,2.84241225485428,0.004488348820993216
BORNUK_labelledMore than 30 years ago,-242.97591156237027,980.4188541817433,-0.24782868110503417,0.8042731318811625
BORNUK_labelledPrefer not to say,-2156.6922715402357,1803.0089448224321,-1.196162824224167,0.23166740958058443
GenderMale:outsourcing_groupOutsourced,866.7145956967171,850.3751029453055,1.0192144533569,0.3081310605394756
GenderOther:outsourcing_groupOutsourced,-11585.113673252372,8430.234656482995,-1.3742338315984148,0.16940644025850352
GenderPrefer not to say:outsourcing_groupOutsourced,-8932.056307229026,8131.570271011689,-1.0984417535037478,0.2720437019513981
GenderMale:outsourcing_groupLikely agency,-2833.5569100215407,1646.7490163700047,-1.7206974966152793,0.08534323584509132
GenderPrefer not to say:outsourcing_groupLikely agency,22012.62686617604,13522.050797429347,1.627905943849939,0.10358302533130559
GenderMale:outsourcing_groupHigh indicators,-353.5054121290127,1727.6894284542466,-0.20461166590878077,0.8378805888178597
