variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),513.9247743048668,13.828154129400334,37.165103129144356,1.128697533016792e-279
Age,0.3141472962903158,0.22610104146195742,1.3894110980606544,0.1647452826072793
Has_DegreeYes,175.707807264774,5.997932074858965,29.294731095951196,1.496592804234798e-179
Has_DegreeDon't know,-45.214449668463295,23.36100734665002,-1.9354666088466888,0.05296719933355085
Ethnicity_collapsedArab/British Arab,-2.2547041578770406,51.400136336436894,-0.04386572329534289,0.9650124996952871
Ethnicity_collapsedAsian/Asian British,-10.241579037515203,11.986764990014874,-0.8544072605116199,0.3929041894012065
Ethnicity_collapsedBlack/African/Caribbean/Black British,-24.616252421530156,17.57878055213665,-1.4003390251400643,0.16144943542436005
Ethnicity_collapsedMixed/Multiple ethnic group,-32.97031573637036,21.689302402539298,-1.5201187721238247,0.12851945854015942
Ethnicity_collapsedOther ethnic group,36.79160424400553,39.67324975768432,0.927365528882074,0.35376391730055046
Ethnicity_collapsedPrefer not to say,-4.988770911319009,18.854066037316265,-0.26459920642290924,0.7913248430162265
Ethnicity_collapsedWhite other,-10.581715097832472,15.179524059708589,-0.6971045374156227,0.48575702203263826
RegionEast Midlands,-123.82464881523366,13.33103555439054,-9.288449371395783,1.9688458195421748e-20
RegionEast of England,-87.75497559053314,12.52734630405993,-7.005073018704131,2.662531445858413e-12
RegionNorth East,-105.35959955921538,16.758144963015237,-6.28706815651381,3.399587534492305e-10
RegionNorth West,-96.52240109540968,12.129206296112125,-7.957849733856765,1.9831031249574035e-15
RegionNorthern Ireland,-140.39870896853273,19.491157356432463,-7.203200220545057,6.399307125776975e-13
RegionScotland,-117.13259858480664,13.031201978616007,-8.988625821088442,3.0620345997554757e-19
RegionSouth East,-73.93184784919738,11.399448190397965,-6.485563740837209,9.348884307564984e-11
RegionSouth West,-122.94468119453403,13.003262501646775,-9.454910348765466,4.134057368462384e-21
RegionWales,-115.21159989160662,15.846013907168588,-7.270699152894595,3.9033831232328104e-13
RegionWest Midlands,-107.45025136282298,12.675958372426468,-8.476696452124317,2.718501298833638e-17
RegionYorkshire and the Humber,-119.17776435792031,12.96925394691888,-9.189253664528136,4.927854061589792e-20
GenderMale,150.06883270196602,6.311292764984776,23.777827822304804,6.202137538428368e-121
GenderOther,75.72489545061406,82.66170230486308,0.9160819743505219,0.3596506839682748
GenderPrefer not to say,94.12319166905027,62.37735971387782,1.508931960262332,0.1313544743911275
outsourcing_groupOutsourced,-82.12856859028544,13.315845293215745,-6.167732260461821,7.253773498118604e-10
outsourcing_groupLikely agency,-16.758440111078468,26.675863608989253,-0.6282248386301988,0.5298740552500193
outsourcing_groupHigh indicators,-30.553880351723443,30.392498147894617,-1.005309935466427,0.31477712379208483
BORNUK_labelledWithin the last year,-131.27937299547233,24.56112883597957,-5.34500567429789,9.283177401761559e-8
BORNUK_labelledWithin the last 3 years,-51.45138824548027,22.162023996796236,-2.321601504127878,0.020278641143358228
BORNUK_labelledWithin the last 5 years,-46.17638636214919,24.42755053763932,-1.8903404289758017,0.05874746943927533
BORNUK_labelledWithin the last 10 years,-13.630817857861022,19.14705412982285,-0.7119015680135405,0.47654586590131576
BORNUK_labelledWithin the last 15 years,15.046568923724628,21.295700437219956,0.7065543097810818,0.4798634496686134
BORNUK_labelledWithin the last 20 years,26.699615318915985,22.826839296583344,1.1696588814603126,0.24217207006957076
BORNUK_labelledWithin the last 30 years,75.40710778100117,26.529264941150053,2.8424122548542896,0.004488348820993069
BORNUK_labelledMore than 30 years ago,-5.220476921229509,21.064861814831804,-0.24782868110503165,0.8042731318811643
BORNUK_labelledPrefer not to say,-46.337771334504744,38.738682055730585,-1.1961628242241666,0.2316674095805846
GenderMale:outsourcing_groupOutsourced,18.62186055824759,18.270797178075927,1.0192144533569079,0.30813106053947187
GenderOther:outsourcing_groupOutsourced,-248.91281679792885,181.1284303111754,-1.3742338315983917,0.16940644025851065
GenderPrefer not to say:outsourcing_groupOutsourced,-191.91035650891135,174.7114545644009,-1.0984417535037505,0.27204370195139677
GenderMale:outsourcing_groupLikely agency,-60.88059659346468,35.38134780414374,-1.7206974966152802,0.08534323584509114
GenderPrefer not to say:outsourcing_groupLikely agency,472.95392284601394,290.5290226580891,1.627905943849929,0.10358302533130768
GenderMale:outsourcing_groupHigh indicators,-7.5952666817160415,37.120399015284605,-0.20461166590878058,0.8378805888178598
