variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),23921.567730559582,643.5438232582115,37.17162198752305,8.912373307588608e-280
Age,14.522911906789599,10.519014434884875,1.380634278685496,0.16742882643484608
Has_DegreeYes,8190.560602214833,279.0342848210006,29.353240973484837,3.121315852636119e-180
Has_DegreeDon't know,-1963.2178928028661,1085.6882905594844,-1.80827030177434,0.07060082577857556
Ethnicity_collapsedArab/British Arab,-172.8467676897316,2393.126838455389,-0.0722263295502102,0.9424235421233196
Ethnicity_collapsedAsian/Asian British,-466.43395048227876,558.0506748783821,-0.8358272312526641,0.40327630185116214
Ethnicity_collapsedBlack/African/Caribbean/Black British,-1176.650844018881,818.191762056383,-1.4381113310913485,0.1504403848659852
Ethnicity_collapsedMixed/Multiple ethnic group,-1514.5652787432105,1009.6002733139362,-1.5001633010377116,0.1336103592930962
Ethnicity_collapsedOther ethnic group,3570.127054247588,2342.9319036749207,1.5237860941019221,0.12760046976119252
Ethnicity_collapsedPrefer not to say,-243.50863661407814,877.4318382879195,-0.2775242770871206,0.781384518433328
Ethnicity_collapsedWhite other,-586.4023142201696,695.6972447793441,-0.8428987158144634,0.3993095188808897
RegionEast Midlands,-5792.148213871496,620.2877359564739,-9.33784093754505,1.2423071341738813e-20
RegionEast of England,-4101.175191025778,583.1275096501834,-7.033067593545813,2.1816570156933785e-12
RegionNorth East,-4877.654329340132,780.2192499661439,-6.2516457131143435,4.2631756679871204e-10
RegionNorth West,-4501.538320528414,564.6679190003817,-7.972010041755836,1.7699476431457682e-15
RegionNorthern Ireland,-6563.673944218724,906.3809005839485,-7.241628701564635,4.831877390883925e-13
RegionScotland,-5489.917957750735,606.3976793105886,-9.053329432250141,1.7057954685536368e-19
RegionSouth East,-3433.166581500239,530.7232204848019,-6.4688456223267,1.0437652907698284e-10
RegionSouth West,-5704.350507275296,605.4668999589219,-9.421407689936988,5.6710518881602026e-21
RegionWales,-5388.978712969911,737.757478866053,-7.304539591049448,3.0413392236141747e-13
RegionWest Midlands,-5021.922568466271,590.082742330424,-8.510539638277006,2.0363881013351038e-17
RegionYorkshire and the Humber,-5547.508376928464,603.4453386103991,-9.193058628480165,4.7576468704956683e-20
GenderMale,6994.007403702666,293.8580891968693,23.80062915000122,3.7098494946170116e-121
GenderOther,3525.475911306697,3848.868230815696,0.9159772951124228,0.3597055667080966
GenderPrefer not to say,4366.436084824593,2904.348345146355,1.5034133533333314,0.13277074835010458
outsourcing_statusOutsourced,-3031.292133471806,535.719848513347,-5.658353226754271,1.5794156162531652e-8
BORNUK_labelledWithin the last year,-6140.844788536449,1143.5286775352326,-5.3700837671797235,8.084206466943655e-8
BORNUK_labelledWithin the last 3 years,-2391.645005877151,1031.870466517732,-2.317776391011819,0.02048580827435549
BORNUK_labelledWithin the last 5 years,-2057.097765609616,1137.6837321166645,-1.808145539518596,0.07062023806307954
BORNUK_labelledWithin the last 10 years,-637.2470436656314,890.5782715578237,-0.7155429949474756,0.4742938261255466
BORNUK_labelledWithin the last 15 years,718.1073277200754,989.7318613106335,0.725557452267057,0.4681306852706578
BORNUK_labelledWithin the last 20 years,1305.399247372566,1063.1589210158681,1.2278495919737311,0.2195384527700152
BORNUK_labelledWithin the last 30 years,3486.0025218609735,1234.3128905930332,2.8242454149418323,0.0047505707744306255
BORNUK_labelledMore than 30 years ago,-194.3299159697338,979.666216115061,-0.19836339436136063,0.8427656412536318
BORNUK_labelledPrefer not to say,-2115.8877837734067,1802.4832811007573,-1.173873736283011,0.24047947709179096
GenderMale:outsourcing_statusOutsourced,192.17464090817512,719.1977580775106,0.26720695212103784,0.7893165003024903
GenderOther:outsourcing_statusOutsourced,-12336.38053815444,8427.875757481555,-1.4637591835882542,0.14329784357721126
GenderPrefer not to say:outsourcing_statusOutsourced,-1318.0684059375048,7199.775192232107,-0.18307077245405928,0.8547469853546722
