variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),513.1385374375008,13.755078250058748,37.305388461553036,1.2417113754047132e-281
Age,0.3147081132633201,0.2261462515016611,1.391613220089162,0.1640770541278179
Has_DegreeYes,176.05332120573405,5.993204151370565,29.375492100577453,1.722178765278086e-180
Has_DegreeDon't know,-42.27789974365931,23.329264725710797,-1.812225984862075,0.06998760615814908
Ethnicity_collapsedArab/British Arab,0.09189907975922049,51.22012142033649,0.0017941987877196398,0.998568480615439
Ethnicity_collapsedAsian/Asian British,-7.243425723615493,11.460393841671088,-0.6320398603822588,0.5273783365097817
Ethnicity_collapsedBlack/African/Caribbean/Black British,-22.28244288677752,17.157929347747967,-1.2986673645268367,0.19409438849715469
Ethnicity_collapsedMixed/Multiple ethnic group,-30.892001574380725,21.589948970105986,-1.430851069502508,0.15251075988395424
Ethnicity_collapsedOther ethnic group,38.56779800132023,39.447196368942734,0.9777069488184243,0.3282479381084602
Ethnicity_collapsedPrefer not to say,-3.18637674974899,18.680717940914228,-0.17057035815364652,0.8645657877854867
RegionEast Midlands,-124.18528560662061,13.308246240596594,-9.331453849102624,1.3186423716944773e-20
RegionEast of England,-87.88746417682178,12.490426133928493,-7.03638636780276,2.130627022942702e-12
RegionNorth East,-104.08525103825887,16.716391693529975,-6.226538175612667,5.001523267833384e-10
RegionNorth West,-96.24609247975461,12.094010750138485,-7.958161644486095,1.9779710661641314e-15
RegionNorthern Ireland,-143.0942875842862,19.374638107021,-7.385649568981191,1.664958672259952e-13
RegionScotland,-117.21885350958475,12.97718006549097,-9.032690686114016,2.0565283473891497e-19
RegionSouth East,-73.2945456542671,11.360286003391103,-6.451822219298731,1.1673777816090744e-10
RegionSouth West,-122.3376739103604,12.9720866168152,-9.430840043249397,5.188336819317087e-21
RegionWales,-115.39934940988083,15.81818900653904,-7.295357854314181,3.254666715958401e-13
RegionWest Midlands,-107.48724623457558,12.660698258128093,-8.489835555915679,2.4301936891436633e-17
RegionYorkshire and the Humber,-118.51308030161022,12.91786764495523,-9.17435319504088,5.650504898231376e-20
GenderMale,150.07560860649042,6.31421502507399,23.76789640684304,7.688939516703552e-121
GenderOther,75.9612115581282,82.7005677480235,0.9185089489297203,0.35837931521573274
GenderPrefer not to say,93.24442002055916,62.40360200019666,1.4942153502656033,0.13515756788684405
outsourcing_statusOutsourced,-65.15658979276974,11.511290633177662,-5.660233232664322,1.562269751328273e-8
BORNUK_labelledWithin the last year,-134.43014241690352,24.324517953466103,-5.5265285287081305,3.3657907839230096e-8
BORNUK_labelledWithin the last 3 years,-54.79606199847861,21.88001737374223,-2.5043884135228462,0.012285461069723816
BORNUK_labelledWithin the last 5 years,-49.79339043124952,23.845493553024653,-2.0881677420735767,0.03681328062748592
BORNUK_labelledWithin the last 10 years,-20.362556620672276,17.322019230513284,-1.1755301936625835,0.23981657134650655
BORNUK_labelledWithin the last 15 years,9.03027998631415,19.820151336026537,0.45561105125872886,0.6486816799222784
BORNUK_labelledWithin the last 20 years,21.996280201313013,21.91751854712069,1.0035935479658882,0.315603985591046
BORNUK_labelledWithin the last 30 years,70.73021443629383,25.936349455837338,2.7270689946836373,0.006403469730362663
BORNUK_labelledMore than 30 years ago,-5.831959434509713,20.86357336897025,-0.2795283114436862,0.7798464180866213
BORNUK_labelledPrefer not to say,-47.71178331699532,38.646739881391824,-1.2345616593643973,0.2170288307473297
GenderMale:outsourcing_statusOutsourced,4.4921898091638175,15.451924719722443,0.29072040478103683,0.7712724686883103
GenderOther:outsourcing_statusOutsourced,-270.8119489623437,180.97743278017188,-1.496385183512307,0.13459154261653078
GenderPrefer not to say:outsourcing_statusOutsourced,-27.161069735623606,154.6972447392378,-0.17557565282695953,0.8606316383174526
