variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),28593.657010419578,647.7448291308049,44.14339678911649,0
Age,-2.8780693286987584,11.044987156095171,-0.260576973791273,0.7944252465138457
GenderMale,6362.417095723192,281.9547599608998,22.565382817461575,1.8424115879615957e-109
GenderOther,1805.2200350990718,3602.377215334547,0.5011191019681773,0.6163006625949277
GenderPrefer not to say,5404.730880024672,2804.5482617641774,1.9271306376538773,0.05399762119159703
Ethnicity_collapsedArab/British Arab,2371.070328675433,2505.746677068338,0.9462530072870442,0.34404724545470156
Ethnicity_collapsedAsian/Asian British,1195.3723366488796,558.4445000930248,2.140539187779191,0.032340422570261505
Ethnicity_collapsedBlack/African/Caribbean/Black British,347.4007203182331,838.7197586108778,0.4142035724705144,0.6787357848060039
Ethnicity_collapsedMixed/Multiple ethnic group,-564.9787347620949,1056.6627914895082,-0.5346821514985698,0.5928840625004757
Ethnicity_collapsedOther ethnic group,1932.2438597856365,1931.6630196716605,1.000300694328183,0.3171943241350718
Ethnicity_collapsedPrefer not to say,-591.9632976699752,911.8370624314931,-0.649198548797143,0.5162281064275436
RegionEast Midlands,-6711.616749374197,650.342329654779,-10.32012902026064,8.084353530897741e-25
RegionEast of England,-4667.217692749308,610.663519308926,-7.6428631237560944,2.3627606146522467e-14
RegionNorth East,-5421.792403361577,817.8350142115432,-6.629445192669586,3.581105848554429e-11
RegionNorth West,-4964.870027012518,591.2691694762365,-8.396970928503757,5.343654881205737e-17
RegionNorthern Ireland,-7360.662419883927,946.8386338120071,-7.773935449010599,8.524325330754314e-15
RegionScotland,-4992.33014992706,634.9083557029138,-7.863072056123751,4.221368151320551e-15
RegionSouth East,-4054.3447106896315,555.1058505800628,-7.303732624062614,3.059395416369117e-13
RegionSouth West,-6489.895389147878,634.022415382098,-10.236066157434982,1.9124110833510818e-24
RegionWales,-5533.162806013585,774.041615070267,-7.148404812202879,9.527476167813806e-13
RegionWest Midlands,-5962.373833241031,618.5439325867814,-9.639370009347742,7.106696780667614e-22
RegionYorkshire and the Humber,-6191.071319038881,631.9887695774705,-9.796172997153182,1.5509453674542104e-22
outsourcing_groupOutsourced,-3813.4404482614304,449.2934960756785,-8.487637772568823,2.4760333419323852e-17
outsourcing_groupLikely agency,-2603.0237983536263,857.5172224647,-3.0355352990718276,0.002408572449946991
outsourcing_groupHigh indicators,-804.3019537515776,859.3833425703357,-0.9359059152182135,0.34934900219037324
BORNUK_labelledWithin the last year,-3821.7713196595264,1187.5704419457813,-3.2181428441396065,0.0012952187786621574
BORNUK_labelledWithin the last 3 years,-683.1584045433518,1068.9082461435255,-0.6391179102678773,0.5227639581729777
BORNUK_labelledWithin the last 5 years,-1115.0645105839405,1166.4925209173402,-0.9559122674074616,0.33914454600668276
BORNUK_labelledWithin the last 10 years,-551.7123072323596,847.539353894985,-0.6509577457340346,0.515091877599537
BORNUK_labelledWithin the last 15 years,665.4562514464934,969.2803588199749,0.6865467203489357,0.4923876920822463
BORNUK_labelledWithin the last 20 years,2084.892047129223,1070.9032860704779,1.9468537208242473,0.05158613743137836
BORNUK_labelledWithin the last 30 years,3509.802662789222,1269.7947113528608,2.764070941081349,0.005721169556212332
BORNUK_labelledMore than 30 years ago,62.20805452055069,1020.2161100934487,0.06097536973303883,0.9513803003933472
BORNUK_labelledPrefer not to say,-2685.8246863587515,1889.1878108504275,-1.4216822017021769,0.15515629789215557
