variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),23883.726837579372,641.202264830273,37.248350711770215,7.584716522580467e-281
Age,14.618233098305327,10.518247717702335,1.3897973779133066,0.16462788739934708
GenderMale,7027.532315044977,268.5121206453791,26.172123247747756,4.057180207091951e-145
GenderOther,944.1721290571767,3424.2949844872082,0.27572745144167754,0.7827643102052623
GenderPrefer not to say,4159.039902289579,2673.198236831856,1.5558292104885831,0.11978704013233189
Has_DegreeYes,8194.735741889495,278.88313311771935,29.384121048404946,1.3620768933491777e-180
Has_DegreeDon't know,-1971.7590550528435,1084.30716096452,-1.8184506439106343,0.06903150105312786
Ethnicity_collapsedArab/British Arab,-167.75728039641362,2392.631166621951,-0.07011414159302398,0.9441045091729984
Ethnicity_collapsedAsian/Asian British,-465.2078562612749,558.0203785687271,-0.8336753891578151,0.40448804863808785
Ethnicity_collapsedBlack/African/Caribbean/Black British,-1178.9669523809628,818.1362375019435,-1.4410398883940918,0.14961133846256983
Ethnicity_collapsedMixed/Multiple ethnic group,-1509.329066679043,1009.5330544528038,-1.4950764217394974,0.13493271873122747
Ethnicity_collapsedOther ethnic group,3584.336418295385,2342.4992195840996,1.5301334524806238,0.12602201168118354
Ethnicity_collapsedPrefer not to say,-258.17296833298593,876.6235014701277,-0.2945083811921777,0.7683768644018973
Ethnicity_collapsedWhite other,-626.3499366641654,695.0548059429634,-0.9011518678939456,0.36753386482850703
RegionEast Midlands,-5770.043662002974,619.9619599485616,-9.307093071455087,1.6548954435368674e-20
RegionEast of England,-4073.9381172892176,582.549905177007,-6.993286036243294,2.8945463795350952e-12
RegionNorth East,-4850.0606931106595,779.865602212905,-6.219098110428754,5.243284215634836e-10
RegionNorth West,-4475.61290404183,564.1771140254715,-7.932992659180721,2.4194893021584583e-15
RegionNorthern Ireland,-6545.93171221454,904.6049155802933,-7.236232745889295,5.026546510865675e-13
RegionScotland,-5465.80762710582,606.025339958419,-9.019107398183785,2.325252641063284e-19
RegionSouth East,-3406.4406465811703,530.3844006225497,-6.42258830120718,1.413846312262818e-10
RegionSouth West,-5685.353386163057,605.0774840086842,-9.396074943157956,7.19735897769761e-21
RegionWales,-5366.023545293998,737.5460836815253,-7.275509509194362,3.767310905426634e-13
RegionWest Midlands,-5002.2263726256515,589.7215279555542,-8.482353340512027,2.5901845264593032e-17
RegionYorkshire and the Humber,-5523.70021980891,603.1037703141992,-9.158789070297514,6.517998072235104e-20
outsourcing_statusOutsourced,-2951.0196464651704,362.06730260290936,-8.150472647627192,4.156875949354238e-16
BORNUK_labelledWithin the last year,-6135.936196138144,1143.2517587537368,-5.367090974630952,8.218897074286606e-8
BORNUK_labelledWithin the last 3 years,-2391.846299903826,1031.222200837209,-2.3194286332877434,0.020396082640174385
BORNUK_labelledWithin the last 5 years,-2030.8012516659228,1137.3310506319076,-1.7855849891178106,0.0742031735999214
BORNUK_labelledWithin the last 10 years,-609.18530095992,890.3217042282989,-0.6842305405639206,0.4938488050850298
BORNUK_labelledWithin the last 15 years,743.9901740061101,989.4404035627075,0.7519302540377395,0.452114438286669
BORNUK_labelledWithin the last 20 years,1334.9263389892944,1062.802962882436,1.2560431101629888,0.20913588246776094
BORNUK_labelledWithin the last 30 years,3501.2336005008465,1234.1765461660505,2.836898506439271,0.004566504998567112
BORNUK_labelledMore than 30 years ago,-198.94325432290748,978.4578068417422,-0.2033232837755721,0.8388873685764757
BORNUK_labelledPrefer not to say,-2092.2348138289963,1802.2095175845805,-1.1609276243492064,0.2457048992181059
