variable,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),512.1922342557172,13.699890061320136,37.38659448821604,9.0975842941288e-283
Age,0.3171505276045606,0.22612981901454138,1.4025152851874263,0.1607990250393159
GenderMale,150.85510401583352,5.771102969371671,26.13973530128468,8.867516607194318e-145
GenderOther,19.22969400323718,73.57300191540884,0.2613688921562108,0.7938145627596189
GenderPrefer not to say,88.94870517425682,57.43882522425944,1.5485815531040683,0.12152066783055111
Has_DegreeYes,176.14239359587316,5.990028243904466,29.40593707135155,7.598834390130321e-181
Has_DegreeDon't know,-42.461429699877385,23.299815636169473,-1.822393376965712,0.06843147069609276
Ethnicity_collapsedArab/British Arab,0.49904156439548747,51.20787919029552,0.00974540582985248,0.9922246496635618
Ethnicity_collapsedAsian/Asian British,-7.002115599214504,11.45842041605204,-0.6110890807781217,0.5411574299345605
Ethnicity_collapsedBlack/African/Caribbean/Black British,-22.103845100706184,17.15671279389714,-1.288349660348036,0.197660373230649
Ethnicity_collapsedMixed/Multiple ethnic group,-30.64475493034572,21.58798973995901,-1.4195279551028686,0.15578290305002135
Ethnicity_collapsedOther ethnic group,39.02952353409579,39.43590108062579,0.9896952387191769,0.32235210345950416
Ethnicity_collapsedPrefer not to say,-3.355323087965962,18.663643002441443,-0.17977857203585831,0.8573308180443722
RegionEast Midlands,-123.6588884349519,13.300866013253808,-9.297055418175818,1.816945905245878e-20
RegionEast of England,-87.24154033698437,12.47717781171542,-6.992089209073314,2.9191804022835204e-12
RegionNorth East,-103.40342787490421,16.70775778847507,-6.188947025927763,6.34549439265862e-10
RegionNorth West,-95.62347015364664,12.082653208951822,-7.914111950411762,2.8131628414693887e-15
RegionNorthern Ireland,-142.81434483902052,19.338193133925976,-7.3850924876985555,1.6718424936031012e-13
RegionScotland,-116.62062906859038,12.968190566714494,-8.992821972243453,2.947771505741974e-19
RegionSouth East,-72.65010530318739,11.351772456677727,-6.399890905182007,1.6396345178631376e-10
RegionSouth West,-121.86687648452725,12.962898907788892,-9.401205498200891,6.858214297798808e-21
RegionWales,-114.8368582606303,15.813002325436928,-7.262179306449779,4.155316406470049e-13
RegionWest Midlands,-107.01740636409119,12.65258740865996,-8.45814400703875,3.1828003440299686e-17
RegionYorkshire and the Humber,-117.92469688449492,12.90960978295018,-9.13464456843916,8.131313962854371e-20
outsourcing_statusOutsourced,-63.23102720830913,7.7781390534743045,-8.129325893198756,4.943203833159918e-16
BORNUK_labelledWithin the last year,-134.53809342121812,24.317611060478622,-5.532537430861028,3.2528357526817095e-8
BORNUK_labelledWithin the last 3 years,-55.03371768385412,21.8636568450919,-2.517132338555179,0.011850219009240427
BORNUK_labelledWithin the last 5 years,-49.55335635139841,23.841257733143703,-2.078470729441014,0.03769683240523451
BORNUK_labelledWithin the last 10 years,-20.23348274225192,17.31867523461904,-1.1683042997310988,0.24271777243195208
BORNUK_labelledWithin the last 15 years,9.136562522494941,19.814928098527194,0.46109491172839756,0.6447426570492538
BORNUK_labelledWithin the last 20 years,22.264341704706926,21.914369985370943,1.0159699648937939,0.3096734576479087
BORNUK_labelledWithin the last 30 years,70.73507841597663,25.933913027341784,2.7275127490942674,0.00639486608086776
BORNUK_labelledMore than 30 years ago,-6.103418366819856,20.83668223404273,-0.29291699601043786,0.7695929580409867
BORNUK_labelledPrefer not to say,-47.33594095596905,38.64203259249799,-1.2249857934532902,0.2206155168862934
