UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
"Artistic, Literary and Media Occupations",Not outsourced,27,25.829595409937248,27492.61111111111,26767.219066762846,29,27.606289956070253,93.56416762643495
"Artistic, Literary and Media Occupations",Outsourced,1,0.7706144242078602,41988,41988,29,27.606289956070253,2.7914450852835895
"Artistic, Literary and Media Occupations",Likely agency,1,1.0060801219251434,13000,13000,29,27.606289956070253,3.6443872882814516
Business Associate Professionals,Not outsourced,125,114.91277645727367,32418.77472,32008.016836243947,146,133.4468330859856,86.11128027536658
Business Associate Professionals,Outsourced,13,10.302880713037444,29580.384615384617,28281.788945100525,146,133.4468330859856,7.720588398226619
Business Associate Professionals,Likely agency,3,3.47740021314437,32166.666666666668,31963.928498200035,146,133.4468330859856,2.6058319502447316
Business Associate Professionals,High indicators,5,4.753775702530095,24904,28115.512893991756,146,133.4468330859856,3.562299376162063
"CAD, Drawing and Architectural Technicians",Not outsourced,2,1.131952205388185,25000,25000,2,1.131952205388185,100
Design Occupations,Not outsourced,14,11.892122563009117,34703.142857142855,34501.17774449958,16,14.054045180977868,84.61707935239237
Design Occupations,Outsourced,2,2.16192261796875,32025.25,32363.621164361262,16,14.054045180977868,15.382920647607634
Finance Associate Professionals,Not outsourced,55,51.402936927358766,35343.38181818182,33860.57800728433,66,61.191296117778926,84.00367403301956
Finance Associate Professionals,Outsourced,8,7.482003641708556,30694.75,29472.3160436514,66,61.191296117778926,12.227235107600025
Finance Associate Professionals,Likely agency,1,0.8082897802811799,50000,50000.00000000001,66,61.191296117778926,1.3209227971334538
Finance Associate Professionals,High indicators,2,1.4980657684304228,20950,20538.83895945981,66,61.191296117778926,2.4481680622469524
Health Associate Professionals,Not outsourced,41,37.79510673231885,27321.896097560977,26611.82451734282,46,42.42871021348951,89.07908475686475
Health Associate Professionals,Outsourced,4,3.867907753954975,32250.125,30314.712218757817,46,42.42871021348951,9.11625108209214
Health Associate Professionals,Likely agency,1,0.7656957272156861,19746,19746,46,42.42871021348951,1.804664161043118
"HR, Training and Other Vocational Associate Guidance Professionals",Not outsourced,115,111.11120090188872,33496.30347826087,34364.94993857913,126,120.30416507843537,92.35856533266902
