UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Animal Care and Control Services,Not outsourced,14,14.525266071012775,15681.285714285714,14768.127258248413,16,17.094579445982944,84.97001120683356
Animal Care and Control Services,Outsourced,2,2.569313374970169,22053,23110.870543845296,16,17.094579445982944,15.029988793166432
Caring Personal Services,Not outsourced,332,324.17021834287436,20516.135843373493,19951.771467324885,419,405.6510734075839,79.913561085825
Caring Personal Services,Outsourced,56,55.778816977440925,18672.304017857143,18144.001347314414,419,405.6510734075839,13.750442346641181
Caring Personal Services,Likely agency,18,15.302566358667612,21451.071111111112,18544.579537011414,419,405.6510734075839,3.7723470642199266
Caring Personal Services,High indicators,13,10.399471728601016,22202.46153846154,23042.716591050852,419,405.6510734075839,2.563649503313897
Cleaning and Housekeeping Managers and Supervisors,Not outsourced,7,5.465593691879789,20900.571428571428,19687.283737276204,17,21.582285067696567,25.324443981422775
Cleaning and Housekeeping Managers and Supervisors,Outsourced,9,15.079786175947953,19338.4,17936.993191524736,17,21.582285067696567,69.87112869952185
Cleaning and Housekeeping Managers and Supervisors,High indicators,1,1.0369051998688243,20400,20400,17,21.582285067696567,4.804427319055383
Community and Civil Enforcement Occupations,Not outsourced,7,8.886435881502303,27578.571428571428,26172.666471413537,10,12.598413386723381,70.53615093204608
Community and Civil Enforcement Occupations,Outsourced,2,1.92617549138637,21702,21181.11843318937,10,12.598413386723381,15.289032295258991
Community and Civil Enforcement Occupations,High indicators,1,1.7858020138347086,30000,29999.999999999996,10,12.598413386723381,14.174816772694927
Hairdressers and Related Services,Not outsourced,13,13.106877418897188,16240,16632.76354402327,16,15.890069402370568,82.48470844905079
Hairdressers and Related Services,Outsourced,2,1.633879648711024,18695.760000000002,16944.57709577303,16,15.890069402370568,10.28239466636485
Hairdressers and Related Services,Likely agency,1,1.1493123347623564,19746,19746,16,15.890069402370568,7.232896884584379
Housekeeping and Related Services,Not outsourced,47,62.33614881215508,15688.64085106383,17780.997259058855,56,70.523471775957,88.39064107647468
Housekeeping and Related Services,Outsourced,5,6.006731671616717,13185.616,11800.775333191503,56,70.523471775957,8.517351061075447
Housekeeping and Related Services,Likely agency,4,2.180591292185204,17686.5,17931.772345582896,56,70.523471775957,3.0920078624498677
Leisure and Travel Services,Not outsourced,42,44.655072342796466,26172.757619047617,26586.744993162767,45,49.54955698090099,90.1220415754855
Leisure and Travel Services,Likely agency,2,3.5148777796198294,14267.2,19485.639679368604,45,49.54955698090099,7.093661364065573
Leisure and Travel Services,High indicators,1,1.379606858484692,21600,21600,45,49.54955698090099,2.7842970604489263
Teaching and Childcare Support Occupations,Not outsourced,156,146.07031086740758,16365.99282051282,16462.37114676181,184,175.45986276421405,83.24998581795276
Teaching and Childcare Support Occupations,Outsourced,24,23.380701956844582,15277.854166666666,14173.60605030644,184,175.45986276421405,13.325384842152744
Teaching and Childcare Support Occupations,Likely agency,3,5.524282626013214,15782,14867.331162041672,184,175.45986276421405,3.148459447638369
Teaching and Childcare Support Occupations,High indicators,1,0.4845673139486677,14000.5,14000.500000000002,184,175.45986276421405,0.276169892256121
