outsourcing_group,Gender,n,mean,median,min,max,stdev
Not outsourced,Female,4321,23750.326809584614,22199.18007746204,2234.05714285714,66249.36650576537,12612.377638430227
Not outsourced,Male,3576,30197.255005164385,28000,2400,66000,13346.555345110273
Not outsourced,Other,11,28154.059403446023,29713.061939871586,10800,50000,15199.137983608283
Not outsourced,Prefer not to say,57,28650.675448921706,25260.519169174346,13684.996285714287,64000,17065.444203643983
Outsourced,Female,465,19213.053931028295,18861.514924822684,2400,62000,10612.548566924797
Outsourced,Male,553,27671.54334309741,25386,3600,66000,13228.438630168104
Outsourced,Other,2,16230,21011.54585156872,8460,24000,9886.686906912653
Outsourced,Prefer not to say,6,14363.10523580783,22030.109712163572,11635.714285714286,25000,10556.881286158361
Likely agency,Female,113,22615.91258481041,19746,3194.70171428571,65000,13423.007478142952
Likely agency,Male,136,26822.818245930008,25000,4800,66108,13660.462570930484
Likely agency,Prefer not to say,1,42000.5,42000.5,42000.5,42000.5,-0
High indicators,Female,88,23704.15039316466,20930.164023672674,4644,56400,13471.81690199437
High indicators,Male,174,29957.99725204308,28800,7679.57142857143,64181.827236968864,11711.827841702981
