outsourcing_group,Gender,n,mean,median,min,max,stdev
Not outsourced,Female,4321,510.2894035208481,476.9621256667715,48,1423.4056646419813,270.9841727102872
Not outsourced,Male,3576,648.805356157614,601.596071209331,51.5653775322284,1418.04788213628,286.75840213557984
Not outsourced,Other,11,604.9061259181159,638.4021902366517,232.04419889502762,1074.2786985880907,326.5622034538304
Not outsourced,Prefer not to say,57,615.5762066987475,542.7367531744028,294.03000000000003,1375.0767341927562,366.6608637983667
Outsourced,Female,465,412.8034914585575,405.25047413676725,51.5653775322284,1332.10558624923,228.01669726357758
Outsourced,Male,553,594.5389914109327,545.432780847146,77.3480662983425,1418.04788213628,284.22059671938837
Outsourced,Other,2,348.7108655616942,451.4451226549449,181.76795580110496,515.6537753222835,212.42114287412082
Outsourced,Prefer not to say,6,308.59956000814856,473.3295518267188,250,537.1393492940454,226.82065378486345
Likely agency,Female,113,485.915862779843,424.2541436464089,68.64,1396.56230816452,288.40102009515243
Likely agency,Male,136,576.3036455540516,537.139349294045,103.130755064457,1420.3683241252297,293.50287905621053
Likely agency,Prefer not to say,1,902.4048496009822,902.4048496009822,902.4048496009822,902.4048496009822,-0
High indicators,Female,88,509.29727671010613,449.696587371727,99.7790055248619,1211.78637200737,289.4497185818312
High indicators,Male,174,643.6647660046089,618.78453038674,165,1378.9833967427337,251.63534343744897
