UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Chief Executives and Senior Officials,Not outsourced,14,11.02087042049437,38782.21428571428,38159.88081356368,17,13.363567875372537,82.46952103864807
Chief Executives and Senior Officials,Outsourced,3,2.3426974548781665,50133.333333333336,49778.37764577345,17,13.363567875372537,17.53047896135192
"Directors in Logistics, Warehousing and Transport",Not outsourced,12,11.847789531050438,33565.083333333336,31621.96369352926,13,12.618403955258298,93.89293268039076
"Directors in Logistics, Warehousing and Transport",Likely agency,1,0.7706144242078602,34000,34000,13,12.618403955258298,6.107067319609247
Functional Managers and Directors,Not outsourced,386,349.94635551331584,38438.01139896373,38386.58911678263,474,435.1811158237526,80.41395703738287
Functional Managers and Directors,Outsourced,54,53.533247535763074,32880.98148148148,32365.92076202137,474,435.1811158237526,12.301371909125745
Functional Managers and Directors,Likely agency,14,12.732301322701915,36104.17857142857,34395.994597091005,474,435.1811158237526,2.9257476622350658
Functional Managers and Directors,High indicators,20,18.969211451971777,38390.6,39572.35025860185,474,435.1811158237526,4.358923391256313
Health and Social Services Managers and Directors,Not outsourced,27,22.866044379881775,30612.537037037036,30335.652143079144,33,28.780393230995646,79.4500762944952
Health and Social Services Managers and Directors,Outsourced,4,3.2860876089431934,34600.125,34689.170595359064,33,28.780393230995646,11.417799550438987
Health and Social Services Managers and Directors,High indicators,2,2.628261242170678,14020,17807.491094248795,33,28.780393230995646,9.132124155065807
Managers and Directors in Retail and Wholesale,Not outsourced,73,81.84389495895267,28317.418356164384,27597.324587469142,89,98.01720196928315,83.49952183352582
Managers and Directors in Retail and Wholesale,Outsourced,11,13.110890280554647,30705.98181818182,27762.529411340318,89,98.01720196928315,13.376111557095221
Managers and Directors in Retail and Wholesale,Likely agency,3,1.8570389684103228,26784,26937.16394219344,89,98.01720196928315,1.8946051622574227
Managers and Directors in Retail and Wholesale,High indicators,2,1.205377761365505,28000,28243.659899263912,89,98.01720196928315,1.2297614471215461
Managers and Proprietors in Agriculture Related Services,Not outsourced,2,1.6059869576801433,40490.25,40794.53601009672,4,2.721650291553327,59.007836630016065
Managers and Proprietors in Agriculture Related Services,Outsourced,2,1.1156633338731838,21923,21768.009993146592,4,2.721650291553327,40.99216336998393
Managers and Proprietors in Health and Care Services,Not outsourced,24,17.619815373961867,25229.4375,25437.02636457049,29,21.93406593674376,80.33082158490872
Managers and Proprietors in Health and Care Services,Outsourced,2,1.5061734897788221,29000,29209.190517806517,29,21.93406593674376,6.866823023704388
Managers and Proprietors in Health and Care Services,Likely agency,1,1.0060801219251434,42000.5,42000.5,29,21.93406593674376,4.5868382306618605
Managers and Proprietors in Health and Care Services,High indicators,2,1.8019969510779283,42000,41369.88198132734,29,21.93406593674376,8.215517160725035
Managers and Proprietors in Hospitality and Leisure Services,Not outsourced,53,55.40590467701732,23430.48867924528,23018.74931165865,60,63.39185346755424,87.40224752282349
Managers and Proprietors in Hospitality and Leisure Services,Outsourced,3,3.164460586120018,25488.666666666668,25722.325219236125,60,63.39185346755424,4.991904184880284
Managers and Proprietors in Hospitality and Leisure Services,Likely agency,2,3.2101496338393103,15890,14565.039061566513,60,63.39185346755424,5.063978190008841
Managers and Proprietors in Hospitality and Leisure Services,High indicators,2,1.6113385705775929,24200,22415.469024103557,60,63.39185346755424,2.541870102287389
Managers and Proprietors in Other Services,Not outsourced,50,50.84964983084262,32375.67,31317.65586180274,59,61.46374371063672,82.73113019316905
Managers and Proprietors in Other Services,Outsourced,5,7.829551693964693,24866.4,22077.55802651466,59,61.46374371063672,12.738488125333205
Managers and Proprietors in Other Services,Likely agency,4,2.784542185829406,39149.875,39964.96546993636,59,61.46374371063672,4.530381681497742
"Managers in Logistics, Warehousing and Transport",Not outsourced,33,32.91784274383862,35867.78787878788,35041.787345874975,39,40.98056062391578,80.32550614895236
"Managers in Logistics, Warehousing and Transport",Outsourced,4,6.806469600362574,26536.5,22385.920837722395,39,40.98056062391578,16.6090202201636
"Managers in Logistics, Warehousing and Transport",Likely agency,1,0.6324579178166212,48976,48976,39,40.98056062391578,1.5433120196201662
"Managers in Logistics, Warehousing and Transport",High indicators,1,0.6237903618979663,35000,35000,39,40.98056062391578,1.522161611263877
Production Managers and Directors,Not outsourced,64,62.58426839138666,40929.8140625,39563.04942696121,73,71.08234677745084,88.04474138611306
Production Managers and Directors,Outsourced,5,4.733339274645453,42200,40111.61929044683,73,71.08234677745084,6.658951890635933
Production Managers and Directors,Likely agency,1,1.5520086078553532,60000,60000.00000000001,73,71.08234677745084,2.1833952847877702
Production Managers and Directors,High indicators,3,2.212730503563373,23160.166666666668,23176.94946569518,73,71.08234677745084,3.112911438463239
Senior Officers in Protective Services,Not outsourced,25,25.68846175631976,41174.088,39783.345376099795,25,25.68846175631976,100
NA,Not outsourced,3,2.6280093275211884,31733.333333333332,35157.99092360665,4,3.3986237517290485,77.32569179463275
NA,Outsourced,1,0.7706144242078602,55000,55000,4,3.3986237517290485,22.674308205367257
