UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Assemblers and Routine Operatives,Not outsourced,40,43.29907226347967,29115.7565,27137.918910403565,49,54.19367184593353,79.89691561511837
Assemblers and Routine Operatives,Outsourced,4,4.286000799719626,21116.64,22798.28132083185,49,54.19367184593353,7.908673935038468
Assemblers and Routine Operatives,Likely agency,4,6.0114203808296605,25185,23646.54348889091,49,54.19367184593353,11.09247662332135
Assemblers and Routine Operatives,High indicators,1,0.597178401904573,45000,45000,49,54.19367184593353,1.101933826521819
Construction Operatives,Not outsourced,18,21.297535289779084,25784.972222222223,24235.889366600193,19,21.869935010882234,97.38270954706391
Construction Operatives,Outsourced,1,0.5723997211031482,48000,48000,19,21.869935010882234,2.61729045293609
Metal Working Machine Operatives,Not outsourced,7,7.925812653141833,21038,20791.577559768284,7,7.925812653141833,100
Mobile Machine Drivers and Operatives,Not outsourced,20,28.001529315453112,28433.74,29633.824492843167,26,32.154375349963814,87.08466269578652
Mobile Machine Drivers and Operatives,Outsourced,3,1.7804460800534745,28827.5,29237.453713822433,26,32.154375349963814,5.537181365445117
Mobile Machine Drivers and Operatives,High indicators,3,2.372399954457225,27902,28023.641420939355,26,32.154375349963814,7.37815593876836
Other Drivers and Transport Operatives,Not outsourced,33,44.5164384394495,43509.63090909091,40271.42372949843,40,53.18072216494521,83.7078486850506
Other Drivers and Transport Operatives,Outsourced,3,5.559917023431346,15053.333333333334,13829.617935348902,40,53.18072216494521,10.454760291119628
Other Drivers and Transport Operatives,Likely agency,2,1.2933190611419054,26900,22522.69432570401,40,53.18072216494521,2.4319321146684505
Other Drivers and Transport Operatives,High indicators,2,1.811047640922457,21100,21010.22513481759,40,53.18072216494521,3.4054589091613225
Plant and Machine Operatives,Not outsourced,30,36.85037646817119,30300.61,29838.4292537888,36,46.12290781920207,79.89603910625405
Plant and Machine Operatives,Outsourced,3,5.365119826929538,21699.333333333332,19826.813391878673,36,46.12290781920207,11.632223727004286
Plant and Machine Operatives,Likely agency,1,0.6915878678300824,15600,15600,36,46.12290781920207,1.4994455044791382
Plant and Machine Operatives,High indicators,2,3.215823656271257,31720.25,32287.61735702351,36,46.12290781920207,6.972291662262528
Process Operatives,Not outsourced,39,45.95548015062315,24519.985384615386,23836.61368998317,53,64.42819566968436,71.32821224147172
Process Operatives,Outsourced,12,14.498958744476845,28059.373333333333,27448.50014329852,53,64.42819566968436,22.504058345528204
Process Operatives,Likely agency,2,3.973756774584353,29600,24701.462718816718,53,64.42819566968436,6.16772941300006
"Production, Factory and Assembly Supervisors",Not outsourced,20,24.09337343462009,29405.419,28241.400084286208,24,30.19350537924781,79.79654277300185
"Production, Factory and Assembly Supervisors",Outsourced,2,3.6958597005596348,20800,20800.000000000004,24,30.19350537924781,12.240578409619914
"Production, Factory and Assembly Supervisors",Likely agency,1,1.8450932374673183,31590,31590,24,30.19350537924781,6.110894426771204
"Production, Factory and Assembly Supervisors",High indicators,1,0.5591790066007672,37440,37440,24,30.19350537924781,1.8519843906070428
Road Transport Drivers,Not outsourced,154,184.9719458633314,27872.353116883118,27791.394863343405,195,230.13921609021708,80.37393583144056
Road Transport Drivers,Outsourced,20,23.45575181934423,26056.36,23788.610103372055,195,230.13921609021708,10.191983886027195
Road Transport Drivers,Likely agency,10,12.472181210841194,29616.68,30802.058039008112,195,230.13921609021708,5.419407184367902
Road Transport Drivers,High indicators,11,9.239337196700248,27766.727272727272,26659.759783619727,195,230.13921609021708,4.014673098164342
