UnitOccupation_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Architects etc.,Not outsourced,27,24.205536238599382,38078.31481481482,39805.43602137585,35,30.422388866231326,79.56487685773877
Architects etc.,Outsourced,2,1.6780703860642017,31600,28972.3911434301,35,30.422388866231326,5.515906043548243
Architects etc.,Likely agency,3,1.7811355176388215,23820,21434.604990919925,35,30.422388866231326,5.8546865779362625
Architects etc.,High indicators,3,2.7576467239289193,30066.666666666668,31469.589615472916,35,30.422388866231326,9.064530520776728
Business and Financial Project Management Professionals,Not outsourced,66,56.16155606325568,42375.07575757576,42212.65842463688,73,65.13834286992187,86.21888981027288
Business and Financial Project Management Professionals,Outsourced,4,5.024944700304111,37350,38374.178147253566,73,65.13834286992187,7.714265483140527
Business and Financial Project Management Professionals,Likely agency,1,1.1623847474343962,36400.5,36400.5,73,65.13834286992187,1.7844862122999083
Business and Financial Project Management Professionals,High indicators,2,2.789457358927676,33000,29842.066301444116,73,65.13834286992187,4.282358494286672
"Business, Research and Administrative Professionals",Not outsourced,101,86.23590368893261,38593.139405940594,39485.30424419033,119,102.2855590734334,84.30897232230178
"Business, Research and Administrative Professionals",Outsourced,12,11.463697411436243,37286.166666666664,35991.44841972412,119,102.2855590734334,11.207542408998481
"Business, Research and Administrative Professionals",Likely agency,2,1.8441656598903475,47500.25,46328.85864473229,119,102.2855590734334,1.80295798996061
"Business, Research and Administrative Professionals",High indicators,4,2.7417923131742,26835.125,26189.80604037617,119,102.2855590734334,2.6805272787391208
Conservation and Environment Professionals,Not outsourced,5,4.04258979737981,37900,36421.06949279042,9,7.906210299296351,51.13182731478314
Conservation and Environment Professionals,Outsourced,2,2.3729036534352916,40500,36935.1111148993,9,7.906210299296351,30.013161345410694
Conservation and Environment Professionals,Likely agency,2,1.49071684848125,35900,35449.45275128548,9,7.906210299296351,18.855011339806165
Engineering Professionals,Not outsourced,95,85.06750024144674,36943.61515789474,35763.07117699618,116,104.59852508199182,81.32762883106118
Engineering Professionals,Outsourced,11,11.490098059893786,40188.36363636364,41128.59747910515,116,104.59852508199182,10.984952274314598
