UnitOccupation,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,Sum,perc
9,Not outsourced,44,48.2169838956821,28544.60606060606,26541.947578254356,61.650847954290114,78.20976595720418
9,Outsourced,10,13.433864058608016,25578.506666666668,24483.303998974443,61.650847954290114,21.790234042795824
22,Not outsourced,24,26.5685474741209,25882.866666666665,23771.275972237567,27.14094719522405,97.89101052006073
22,Outsourced,1,0.5723997211031482,48000,48000,27.14094719522405,2.108989479939272
62,Not outsourced,7,7.925812653141833,22660,22496.101334491806,7.925812653141833,100
63,Not outsourced,21,28.588826679848086,31678.042105263157,31504.544004692296,34.90846474402252,81.89654540663648
63,Outsourced,9,6.319638064174432,28960.5,29340.819379977234,34.90846474402252,18.10345459336353
68,Not outsourced,39,48.67382144487156,55085.37333333334,46666.44734008049,59.79818500668202,81.39682072195437
68,Outsourced,9,11.12436356181046,22586.666666666668,19406.63988298923,59.79818500668202,18.603179278045634
73,Not outsourced,37,43.47476285717991,37649.53076923077,35077.457198933094,52.74729420821079,82.42083979809624
73,Outsourced,6,9.272531351030878,21320,23280.690189044522,52.74729420821079,17.57916020190376
75,Not outsourced,50,53.93143255202817,46513.38,34568.39330813496,72.40414807108937,74.48666131542086
75,Outsourced,14,18.472715519061197,28279.46285714286,26857.571399535456,72.40414807108937,25.51333868457913
77,Not outsourced,26,31.452722292695537,58914.835789473684,68853.42853248504,38.43129402001763,81.84143442141922
77,Outsourced,5,6.978571727322098,27657.5,25588.96111875691,38.43129402001763,18.158565578580788
83,Not outsourced,192,234.39621342914523,41698.491942446046,43752.93261681131,287.69590879304513,81.47359982020419
83,Outsourced,50,53.29969536389991,34185.48,33589.02676663744,287.69590879304513,18.526400179795814
