UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Assemblers and Routine Operatives,Not outsourced,40,43.29907226347967,29115.7565,27137.918910403565,49,54.19367184593353,79.89691561511837
Assemblers and Routine Operatives,Outsourced,9,10.894599582453859,25578.506666666668,24483.303998974443,49,54.19367184593353,20.103084384881637
Construction Operatives,Not outsourced,18,21.297535289779084,25784.972222222223,24235.889366600193,19,21.869935010882234,97.38270954706391
Construction Operatives,Outsourced,1,0.5723997211031482,48000,48000,19,21.869935010882234,2.61729045293609
Metal Working Machine Operatives,Not outsourced,7,7.925812653141833,21038,20791.577559768284,7,7.925812653141833,100
Mobile Machine Drivers and Operatives,Not outsourced,20,28.001529315453112,28433.74,29633.824492843167,26,32.154375349963814,87.08466269578652
Mobile Machine Drivers and Operatives,Outsourced,6,4.1528460345106994,28364.75,28544.038112948918,26,32.154375349963814,12.915337304213478
Other Drivers and Transport Operatives,Not outsourced,33,44.5164384394495,43509.63090909091,40271.42372949843,40,53.18072216494521,83.7078486850506
Other Drivers and Transport Operatives,Outsourced,7,8.664283725495709,20165.714285714286,16628.157767700737,40,53.18072216494521,16.2921513149494
Plant and Machine Operatives,Not outsourced,30,36.85037646817119,30300.61,29838.4292537888,36,46.12290781920207,79.89603910625405
Plant and Machine Operatives,Outsourced,6,9.272531351030878,24023.083333333332,23833.11263202483,36,46.12290781920207,20.103960893745953
Process Operatives,Not outsourced,39,45.95548015062315,24519.985384615386,23836.61368998317,53,64.42819566968436,71.32821224147172
Process Operatives,Outsourced,14,18.472715519061197,28279.46285714286,26857.571399535456,53,64.42819566968436,28.671787758528268
"Production, Factory and Assembly Supervisors",Not outsourced,20,24.09337343462009,29405.419,28241.400084286208,24,30.19350537924781,79.79654277300185
"Production, Factory and Assembly Supervisors",Outsourced,4,6.10013194462772,27657.5,25588.96111875691,24,30.19350537924781,20.20345722699816
Road Transport Drivers,Not outsourced,154,184.9719458633314,27872.353116883118,27791.394863343405,195,230.13921609021708,80.37393583144056
Road Transport Drivers,Outsourced,41,45.16727022688567,27383.60975609756,26312.572986924864,195,230.13921609021708,19.626064168559438
