UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Architects etc.,Not outsourced,27,24.205536238599382,38078.31481481482,39805.43602137585,35,30.422388866231323,79.56487685773878
Architects etc.,Outsourced,8,6.216852627631942,28107.5,27920.50398334091,35,30.422388866231323,20.435123142261236
Business and Financial Project Management Professionals,Not outsourced,66,56.16155606325568,42375.07575757576,42212.65842463688,73,65.13834286992187,86.21888981027288
Business and Financial Project Management Professionals,Outsourced,7,8.976786806666183,35971.5,35467.332288909056,73,65.13834286992187,13.781110189727105
"Business, Research and Administrative Professionals",Not outsourced,101,86.23590368893261,38593.139405940594,39485.30424419033,119,102.2855590734334,84.30897232230178
"Business, Research and Administrative Professionals",Outsourced,18,16.04965538450079,36098.61111111111,35504.82296915141,119,102.2855590734334,15.691027677698214
Conservation and Environment Professionals,Not outsourced,5,4.04258979737981,37900,36421.06949279042,9,7.906210299296352,51.13182731478314
Conservation and Environment Professionals,Outsourced,4,3.863620501916542,38200,36361.89333830151,9,7.906210299296352,48.86817268521686
Engineering Professionals,Not outsourced,95,85.06750024144674,36943.61515789474,35763.07117699618,116,104.59852508199182,81.32762883106118
Engineering Professionals,Outsourced,21,19.53102484054508,40057.45238095238,40335.71366201599,116,104.59852508199182,18.672371168938817
Finance Professionals,Not outsourced,110,96.88828340339842,37245.71245454546,37690.67035096227,130,116.2630795135228,83.33538369085531
Finance Professionals,Outsourced,20,19.374796110124382,35171,35139.80074715701,130,116.2630795135228,16.66461630914469
Information Technology Professionals,Not outsourced,231,206.0491460869119,41163.218614718615,41346.85273587436,281,246.8305204235119,83.47798551547542
Information Technology Professionals,Outsourced,50,40.78137433660002,38083.09,38521.34359697064,281,246.8305204235119,16.522014484524572
Legal Professionals,Not outsourced,37,30.567758631380162,38228.36486486487,38418.96600286053,41,33.73024546671438,90.62418078618782
Legal Professionals,Outsourced,4,3.162486835334221,35930,35742.35110772553,41,33.73024546671438,9.375819213812186
Librarians and Related Professionals,Not outsourced,12,9.583148005392314,26515.626666666667,27106.84330017714,13,10.658273042294942,89.91276511085579
Librarians and Related Professionals,Outsourced,1,1.0751250369026277,29000,29000,13,10.658273042294942,10.087234889144213
Media Professionals,Not outsourced,22,17.83715259969291,35584.86363636364,35264.101053841194,24,19.172463762997978,93.03526568201339
Media Professionals,Outsourced,2,1.3353111633050674,36513,38006.07639464257,24,19.172463762997978,6.964734317986611
Medical Practitioners,Not outsourced,18,18.629917661282803,44470.72222222222,44186.79640804109,21,21.45044526421415,86.85096011672616
Medical Practitioners,Outsourced,3,2.8205276029313464,30837.333333333332,30960.658938293815,21,21.45044526421415,13.149039883273856
Natural and Social Science Professionals,Not outsourced,30,28.059855838696837,31972.683333333334,31964.3636055028,32,29.212248329095395,96.05510511407375
Natural and Social Science Professionals,Outsourced,2,1.1523924903985598,26211.5,27449.080733251107,32,29.212248329095395,3.944894885926247
Nursing Professionals,Not outsourced,180,153.15641332714466,31438.44722222222,31522.6814602568,216,184.6349525271706,82.95093167942098
Nursing Professionals,Outsourced,36,31.47853920002594,29459.88888888889,28337.351114601035,216,184.6349525271706,17.04906832057901
Other Educational Professionals,Not outsourced,70,60.79840760028201,30064.128571428573,29007.286616011323,71,61.569022024489875,98.74837312845193
Other Educational Professionals,Outsourced,1,0.7706144242078602,43200,43199.99999999999,71,61.569022024489875,1.2516268715480625
Other Health Professionals,Not outsourced,62,55.69589975201552,32582.167096774192,31417.164626894304,79,72.41922621205029,76.90761509786462
Other Health Professionals,Outsourced,17,16.723326460034777,28915.784705882354,30024.603693712354,79,72.41922621205029,23.09238490213539
Quality and Regulatory Professionals,Not outsourced,33,30.324886829116107,34877.71212121212,35243.0387627672,37,33.20155879739818,91.33573219909331
Quality and Regulatory Professionals,Outsourced,4,2.8766719682820736,27454,26808.095017513217,37,33.20155879739818,8.664267800906693
Research and Development (R&D) and Other Research Professionals,Not outsourced,15,12.659263837242609,35483.8,34744.48194441129,19,16.382065810275392,77.27513723758993
Research and Development (R&D) and Other Research Professionals,Outsourced,4,3.7228019730327824,36737.5,38798.16952426424,19,16.382065810275392,22.72486276241006
Teaching Professionals,Not outsourced,293,247.2462650414565,32063.36914675768,31639.4506861835,334,280.2979009535578,88.20838978827116
Teaching Professionals,Outsourced,41,33.05163591210134,27686.963414634145,27999.90762661829,334,280.2979009535578,11.79161021172885
Therapy Professionals,Not outsourced,40,34.106365227656525,34410.7205,34295.89693616989,46,39.420708042971235,86.51890572457066
Therapy Professionals,Outsourced,6,5.3143428153147125,30599.833333333332,30834.23532986888,46,39.420708042971235,13.481094275429351
Veterinarians,Not outsourced,3,2.1943687814361565,38526.666666666664,37715.719218625454,3,2.1943687814361565,100
Web and Multimedia Design Professionals,Not outsourced,21,19.16907738615563,33411.76190476191,36332.16219968408,22,20.35408752785337,94.17802375038369
Web and Multimedia Design Professionals,Outsourced,1,1.1850101416977374,33000,33000,22,20.35408752785337,5.821976249616304
Welfare Professionals,Not outsourced,50,39.60508415092086,30444.8124,30599.567677819974,55,44.21120062540974,89.58156211699534
Welfare Professionals,Outsourced,5,4.606116474488879,37000,36150.14891529702,55,44.21120062540974,10.418437883004655
NA,Not outsourced,1,0.8331552475741444,52000,52000.00000000001,1,0.8331552475741444,100
