Region,Outsourcing status,Frequency,n,N,Sum,Percentage
London,Not outsourced,1073.7007803977283,910,1221,1431.0519230974026,75.02877869544979
London,Outsourced,357.35114269967426,311,1221,1431.0519230974026,24.971221304550223
East Midlands,Not outsourced,587.6851976793662,647,781,728.184477544142,80.70553764911051
East Midlands,Outsourced,140.49927986477584,134,781,728.184477544142,19.294462350889493
East of England,Not outsourced,841.3525697162548,668,766,966.8457851663268,87.02034829386123
East of England,Outsourced,125.493215450072,98,766,966.8457851663268,12.979651706138778
North East,Not outsourced,333.87751869720705,346,408,386.9397243842402,86.28669988033042
North East,Outsourced,53.062205687033135,62,408,386.9397243842402,13.713300119669574
North West,Not outsourced,906.4302313680552,1008,1209,1095.8237150308473,82.71679275918383
North West,Outsourced,189.3934836627922,201,1209,1095.8237150308473,17.28320724081617
Northern Ireland,Not outsourced,231.65959083885704,266,312,275.2232579464517,84.17151681415291
Northern Ireland,Outsourced,43.563667107594696,46,312,275.2232579464517,15.828483185847098
Scotland,Not outsourced,727.2765680368493,637,738,853.0980239629827,85.25123111390621
Scotland,Outsourced,125.82145592613338,101,738,853.0980239629827,14.748768886093796
South East,Not outsourced,1232.337462995117,1306,1514,1420.8113881384952,86.73476812497181
South East,Outsourced,188.47392514337832,208,1514,1420.8113881384952,13.265231875028203
South West,Not outsourced,717.356865677544,781,912,837.8587112382411,85.61787996658627
South West,Outsourced,120.50184556069715,131,912,837.8587112382411,14.38212003341373
Wales,Not outsourced,377.8289667769318,387,475,461.07814596922685,81.9446703514221
Wales,Outsourced,83.24917919229503,88,475,461.07814596922685,18.055329648577885
West Midlands,Not outsourced,718.0284628831192,777,946,879.5147520742296,81.63916082018359
West Midlands,Outsourced,161.48628919111036,169,946,879.5147520742296,18.360839179816416
Yorkshire and the Humber,Not outsourced,699.1099943299877,739,873,818.5700954474219,85.40624660223648
Yorkshire and the Humber,Outsourced,119.46010111743415,134,873,818.5700954474219,14.593753397763512
