Region,Frequency,Sum,Percentage
London,357.35114269967426,1708.3557906029905,20.917840690172724
East Midlands,140.49927986477584,1708.3557906029905,8.22423997609915
East of England,125.493215450072,1708.3557906029905,7.345847752579528
North East,53.062205687033135,1708.3557906029905,3.106039501777555
North West,189.3934836627922,1708.3557906029905,11.086302086753417
Northern Ireland,43.563667107594696,1708.3557906029905,2.5500347964529233
Scotland,125.82145592613338,1708.3557906029905,7.365061576647494
South East,188.47392514337832,1708.3557906029905,11.032474978578879
South West,120.50184556069715,1708.3557906029905,7.053673843793638
Wales,83.24917919229503,1708.3557906029905,4.873058624568536
West Midlands,161.48628919111036,1708.3557906029905,9.452731689697453
Yorkshire and the Humber,119.46010111743415,1708.3557906029905,6.992694482878702
