SectorName,SectorName_labelled,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not outsourced,423,487.98073677379966,19139.598652291104,18652.114138656136,511,598.5865452128309,81.52216929638726,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Outsourced,60,74.83356599944767,19830.659607843136,17822.784753491676,511,598.5865452128309,12.501712007716472,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Likely agency,18,25.383205664698693,15159.717333333334,15200.586892745272,511,598.5865452128309,4.2405239255208365,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,High indicators,10,10.389036774884875,17286.65,17297.592098035795,511,598.5865452128309,1.735594770375434,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not outsourced,4,3.648241099552856,31750,32367.31545407917,4,3.648241099552856,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not outsourced,18,24.096945759402622,17073.5,15605.461166968042,28,37.77401429917105,63.79238798543958,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Outsourced,8,10.497475023598568,11325.7,9856.682904987703,28,37.77401429917105,27.790202387435787,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Likely agency,1,2.4089790919619962,5640,5640,28,37.77401429917105,6.377344681671445,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,High indicators,1,0.7706144242078602,31486,31486,28,37.77401429917105,2.04006494545318,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not outsourced,205,227.80372851982543,26215.285747126436,25676.826827044424,297,332.8281482211052,68.44485051441332,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Outsourced,70,81.30824621165614,20760.807575757575,20530.363098857582,297,332.8281482211052,24.429498119744743,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Likely agency,10,12.471609667609306,16930.933333333334,20112.731184151267,297,332.8281482211052,3.7471619315455658,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,High indicators,12,11.244563822014342,25900.8,25581.86281977611,297,332.8281482211052,3.378489434296382,Administrative and support service activities,NA
5,"AGRICULTURE, FORESTRY AND FISHING",Not outsourced,24,33.729238797486346,25423.727272727272,24111.827524923887,29,37.567733574585745,89.78246912479142,"Agriculture, forestry and fishing",NA
5,"AGRICULTURE, FORESTRY AND FISHING",Outsourced,4,3.2522296253263496,25044.533333333333,25767.70237502729,29,37.567733574585745,8.656975856340866,"Agriculture, forestry and fishing",NA
5,"AGRICULTURE, FORESTRY AND FISHING",Likely agency,1,0.586265151773049,54366,54366,29,37.567733574585745,1.560555018867714,"Agriculture, forestry and fishing",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Not outsourced,151,149.4136537471853,21750.41588235294,21454.710988886363,176,176.8634423217157,84.47967074812495,"Arts, entertainment and recreation",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Outsourced,18,19.27959800947873,26146.933333333334,25497.368631935507,176,176.8634423217157,10.900838384909992,"Arts, entertainment and recreation",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Likely agency,3,4.349361170438098,12626.666666666666,12852.730923789013,176,176.8634423217157,2.4591634728711114,"Arts, entertainment and recreation",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",High indicators,4,3.8208293946135807,28600,28731.467849164965,176,176.8634423217157,2.160327394093952,"Arts, entertainment and recreation",NA
7,CONSTRUCTION,Not outsourced,246,254.45671029106344,33483.2016,32583.646211085445,312,315.96856964772064,80.53228540255193,Construction,NA
