SectorName,SectorName_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not outsourced,371,414.27198136775877,12.677049134705028,12.37672334970322,447,509.6650604686813,81.28318252516657,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Outsourced,76,95.39307910092253,12.111675370895039,11.674712191234448,447,509.6650604686813,18.716817474833437,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not outsourced,4,3.648241099552856,18.437105322827918,18.78993716014815,4,3.648241099552856,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not outsourced,16,20.90061177056152,12.2846291302421,11.760503317883494,26,34.577680310329946,60.44538437217706,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Outsourced,10,13.677068539768424,13.32675520680421,12.286201406322684,26,34.577680310329946,39.55461562782293,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Not outsourced,174,194.79776866167427,16.390248139420226,16.0201268418653,259,292.60078882898216,66.57458766303213,Administrative and support service activities,NA
4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,Outsourced,85,97.80302016730789,12.555726112676082,12.490375864571805,259,292.60078882898216,33.42541233696787,Administrative and support service activities,NA
5,"AGRICULTURE, FORESTRY AND FISHING",Not outsourced,22,28.443990662744152,14.330374081886148,13.79917296039988,26,30.91333981585876,92.01202727423255,"Agriculture, forestry and fishing",NA
5,"AGRICULTURE, FORESTRY AND FISHING",Outsourced,4,2.4693491531146057,16.54260666896026,16.68546049742314,26,30.91333981585876,7.987972725767445,"Agriculture, forestry and fishing",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Not outsourced,136,133.61632551350448,15.098221319824912,14.624723357300587,158,158.42016679649217,84.34300267159111,"Arts, entertainment and recreation",NA
6,"ARTS, ENTERTAINMENT AND RECREATION",Outsourced,22,24.803841282987687,16.74381888504189,16.531456689649694,158,158.42016679649217,15.65699732840889,"Arts, entertainment and recreation",NA
7,CONSTRUCTION,Not outsourced,200,201.3082349246573,18.8841020627685,18.036491280826137,260,253.94672291377458,79.27183805124739,Construction,NA
7,CONSTRUCTION,Outsourced,60,52.63848798911728,17.4662201390107,17.063766559844666,260,253.94672291377458,20.728161948752625,Construction,NA
8,EDUCATION,Not outsourced,830,751.8225748265284,17.429187875361418,17.143913644554882,938,857.3614906048289,87.69026636549214,Education,NA
8,EDUCATION,Outsourced,108,105.53891577830048,16.980829753438574,16.253635720399025,938,857.3614906048289,12.30973363450785,Education,NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Not outsourced,80,80.23595999929887,19.185158325525425,18.818442634828735,94,94.22113529939584,85.15707197152967,"Electricity, gas, steam and air conditioning supply",NA
9,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",Outsourced,14,13.985175300096973,20.122069662401152,18.502367492583847,94,94.22113529939584,14.842928028470325,"Electricity, gas, steam and air conditioning supply",NA
10,FINANCIAL AND INSURANCE ACTIVITIES,Not outsourced,336,311.1503417267949,20.45713301961103,20.26343655882238,401,365.2842050448222,85.18034380616463,Financial and insurance activities,NA
10,FINANCIAL AND INSURANCE ACTIVITIES,Outsourced,65,54.13386331802728,19.859167138125265,19.539197580397627,401,365.2842050448222,14.819656193835367,Financial and insurance activities,NA
11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,Not outsourced,1256,1186.442221783906,17.009830253090215,16.595168003607768,1490,1411.657943574021,84.04601321337688,Human health and social work activities,NA
11,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,Outsourced,234,225.215721790115,15.23147932437023,14.81650142626555,1490,1411.657943574021,15.953986786623123,Human health and social work activities,NA
12,INFORMATION AND COMMUNICATION,Not outsourced,296,285.753456822909,22.65659735924383,22.48257489578699,375,353.26923009887406,80.88829495366224,Information and communication,NA
12,INFORMATION AND COMMUNICATION,Outsourced,79,67.51577327596506,20.01160522381193,19.495885055196926,375,353.26923009887406,19.111705046337757,Information and communication,NA
13,MANUFACTURING,Not outsourced,559,592.6251640912037,17.458083368227364,16.790770221386463,662,700.7756586048066,84.5670303776072,Manufacturing,NA
13,MANUFACTURING,Outsourced,103,108.1504945136029,15.08706068744627,14.545380948669868,662,700.7756586048066,15.432969622392804,Manufacturing,NA
14,MINING AND QUARRYING,Not outsourced,4,4.999003648050852,18.846023004517477,19.898346727023892,4,4.999003648050852,100,Mining and quarrying,NA
15,NA,Not outsourced,61,81.0261787459612,15.682106667243414,15.195569388253325,69,89.61314297499393,90.41774013949173,NA,NA
15,NA,Outsourced,8,8.586964229032729,15.849929003589224,16.053899694654152,69,89.61314297499393,9.58225986050827,NA,NA
16,Not found,Not outsourced,16,20.951265184131262,17.356198778941486,17.151745124938415,27,32.62130701458078,64.22570737207633,Not found,NA
16,Not found,Outsourced,11,11.670041830449518,18.79405589118784,18.062948618152937,27,32.62130701458078,35.77429262792367,Not found,NA
17,OTHER SERVICE ACTIVITIES,Not outsourced,200,204.16296049412153,15.642423201223034,15.383398197030273,246,252.66783964088035,80.80290739981022,Other service activities,NA
17,OTHER SERVICE ACTIVITIES,Outsourced,46,48.504879146758796,15.31503222612721,14.864989330211955,246,252.66783964088035,19.19709260018977,Other service activities,NA
18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Not outsourced,278,242.66574918322308,20.81593604193723,20.480326100612313,343,307.2788176760042,78.97249508395683,"Professional, scientific and technical activities",NA
18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",Outsourced,65,64.61306849278111,20.84424667942886,21.85043724034154,343,307.2788176760042,21.027504916043167,"Professional, scientific and technical activities",NA
19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,Not outsourced,616,557.0840492138107,19.802046093396356,19.626375523427996,673,611.0996618652673,91.16091596474067,Public administration and defence, Compulsory social security
19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,Outsourced,57,54.01561265145664,17.88227071464906,16.806752865009944,673,611.0996618652673,8.839084035259338,Public administration and defence, Compulsory social security
20,REAL ESTATE ACTIVITIES,Not outsourced,84,91.4292623858451,17.88944149262453,17.55783718503525,100,107.94223982409123,84.7020244668291,Real estate activities,NA
20,REAL ESTATE ACTIVITIES,Outsourced,16,16.512977438246125,15.885931805476632,16.018098826385792,100,107.94223982409123,15.297975533170893,Real estate activities,NA
21,TRANSPORTATION AND STORAGE,Not outsourced,303,332.4042536210262,17.523004291018562,17.40293645061219,381,420.3565220229835,79.07674466933847,Transportation and storage,NA
21,TRANSPORTATION AND STORAGE,Outsourced,78,87.95226840195728,16.15708367857408,14.920946061640274,381,420.3565220229835,20.923255330661526,Transportation and storage,NA
22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",Not outsourced,54,55.65723400685778,17.875791186114235,17.90349988230308,73,79.77507793745878,69.76769618513109,Water supply," Sewerage, waste management and remediation activities"
22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",Outsourced,19,24.11784393060099,15.490079700453355,15.414041605837904,73,79.77507793745878,30.232303814868906,Water supply," Sewerage, waste management and remediation activities"
23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Not outsourced,1027,1111.914137563518,14.332534327548505,14.17764011501807,1234,1325.2396625677252,83.90287198385859,Wholesale and retail trade, Repair of motor vehicles and motorcycles
23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,Outsourced,207,213.3255250042072,14.78282586672143,14.597333159292615,1234,1325.2396625677252,16.09712801614141,Wholesale and retail trade, Repair of motor vehicles and motorcycles
NA,NA,Not outsourced,1,0.8331552475741444,10.313075506445673,10.313075506445673,1,0.8331552475741444,100,NA,NA
