SectorName,SectorName_labelled,income_group,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Not outsourced,123,131.89089025992288,50537.37614678899,44018.84484289156,147,155.15981009381386,85.00325579167573,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Outsourced,24,23.268919833890987,188558.72727272726,132345.5600654448,147,155.15981009381386,14.996744208324284,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Not outsourced,258,291.6784262069015,13653.856633663367,13648.617780588213,315,367.8676593113906,79.28895591226821,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Outsourced,57,76.18923310448905,14690.874418604652,14499.877860032564,315,367.8676593113906,20.711044087731782,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not low,Not outsourced,3,2.83308899634593,34500,34918.66871248889,3,2.83308899634593,100,Activities of extraterritorial organisations and bodies,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Low,Not outsourced,1,0.8151521032069263,23500,23500,1,0.8151521032069263,100,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Not outsourced,7,7.393140683844918,121136.66666666667,123969.10389998209,9,9.105696820209268,81.19247576348593,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Outsourced,2,1.7125561363643493,96000,96000,9,9.105696820209268,18.807524236514073,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Not outsourced,11,15.795821357253033,11869.142857142857,10835.063006478156,20,28.702275472813596,55.033341771855746,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Low,Outsourced,9,12.906454115560564,11319.933333333334,9843.660211207896,20,28.702275472813596,44.966658228144254,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
