SectorName,SectorName_labelled,income_group,outsourcing_group,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc,SectorName_short,SectorName_short_detail
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Not outsourced,113,122.59355516085724,31977.358407079646,30981.347095925164,447,509.6650604686813,24.053749152065045,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Outsourced,15,14.58829638668504,31721.466666666667,29964.88773139435,447,509.6650604686813,2.862330090524517,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,Likely agency,3,3.847010397806244,27920,27553.641426293005,447,509.6650604686813,0.7548114823230345,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Not low,High indicators,1,0.7685392119421977,30800.5,30800.500000000004,447,509.6650604686813,0.15079299554798972,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Not outsourced,258,291.6784262069015,13516.858914728682,13470.090496064724,447,509.6650604686813,57.229433373101514,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Outsourced,36,49.63877488274638,14876.156666666666,14254.35266753253,447,509.6650604686813,9.739489467278611,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,Likely agency,12,16.929960658799992,11969.646666666667,12393.591047156928,447,509.6650604686813,3.3217816899654493,Accommodation and food service activities,NA
1,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,Low,High indicators,9,9.620497562942678,15785.111111111111,16218.904210012524,447,509.6650604686813,1.887611749193832,Accommodation and food service activities,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Not low,Not outsourced,3,2.83308899634593,34500,34918.66871248889,4,3.6482410995528562,77.65629844730287,Activities of extraterritorial organisations and bodies,NA
2,ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES,Low,Not outsourced,1,0.8151521032069263,23500,23500,4,3.6482410995528562,22.34370155269713,Activities of extraterritorial organisations and bodies,NA
3,ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN US,Not low,Not outsourced,5,5.104790413308489,29569.2,29071.960261744833,26,34.577680310329946,14.763252964032562,Activities of households as employers, Undifferentiated goods-and services-producing activities of households for own us
