outsourcing_status,Ethnicity_collapsed,n,Frequency,N,Sum,Percentage,Ethnicity_short
Not outsourced,White British,6623,6589.164356783756,8472,8446.644209397018,78.0092566164112,White British
Not outsourced,Arab/British Arab,12,20.473144396598034,8472,8446.644209397018,0.24238199087184653,Arab/British Arab
Not outsourced,Asian/Asian British,437,630.1523467832743,8472,8446.644209397018,7.460387002949886,Asian/Asian British
Not outsourced,Black/African/Caribbean/Black British,342,239.2489749121751,8472,8446.644209397018,2.832473689918264,Black/African/Caribbean/Black British
Not outsourced,Mixed/Multiple ethnic group,244,139.63777135418962,8472,8446.644209397018,1.653174537632833,Mixed/Multiple ethnic group
Not outsourced,Other ethnic group,13,23.401797113823136,8472,8446.644209397018,0.27705437252569826,Other ethnic group
Not outsourced,Prefer not to say,311,306.84325122868455,8472,8446.644209397018,3.6327237613171492,Prefer not to say
Not outsourced,White other,490,497.7225668245166,8472,8446.644209397018,5.892548028373124,White other
Outsourced,White British,1124,1143.0718956885103,1683,1708.3557906029905,66.91064601273985,White British
Outsourced,Arab/British Arab,7,12.027350406733706,1683,1708.3557906029905,0.7040307688182722,Arab/British Arab
Outsourced,Asian/Asian British,163,216.70345138859653,1683,1708.3557906029905,12.684913328979775,Asian/Asian British
Outsourced,Black/African/Caribbean/Black British,142,96.8541676133155,1683,1708.3557906029905,5.669437721701363,Black/African/Caribbean/Black British
Outsourced,Mixed/Multiple ethnic group,72,45.16682542219073,1683,1708.3557906029905,2.6438769763673413,Mixed/Multiple ethnic group
Outsourced,Other ethnic group,3,7.056285363705941,1683,1708.3557906029905,0.4130454207794335,Other ethnic group
Outsourced,Prefer not to say,70,73.92972954576146,1683,1708.3557906029905,4.327537036044864,Prefer not to say
Outsourced,White other,102,113.54608517417627,1683,1708.3557906029905,6.646512734569093,White other
