outsourcing_status,Ethnicity_labelled,n,Frequency,N,Sum,Percentage
Not outsourced,English / Welsh / Scottish / Northern Irish / British,6623,6589.164356783756,8472,8446.644209397018,78.0092566164112
Not outsourced,Irish,111,98.74596890709198,8472,8446.644209397018,1.1690556208965877
Not outsourced,Gypsy or Irish Traveller,6,8.316469138764194,8472,8446.644209397018,0.09845885457696914
Not outsourced,Roma,4,5.236993918025174,8472,8446.644209397018,0.062000882104149
Not outsourced,Any other White background,369,385.42313486063523,8472,8446.644209397018,4.563032670795417
Not outsourced,White and Black Caribbean,84,53.219602680274065,8472,8446.644209397018,0.6300680052448102
Not outsourced,White and Black African,40,20.429222003197044,8472,8446.644209397018,0.24186199272450978
Not outsourced,White and Asian,61,32.39161237226632,8472,8446.644209397018,0.3834849860993336
Not outsourced,Any other Mixed / Multiple ethnic background,59,33.59733429845218,8472,8446.644209397018,0.39775955356417925
Not outsourced,Indian,170,237.75538842928063,8472,8446.644209397018,2.8147910878591786
Not outsourced,Pakistani,93,96.08772875360597,8472,8446.644209397018,1.1375846593219463
Not outsourced,Bangladeshi,47,53.45947894932745,8472,8446.644209397018,0.632907905483375
Not outsourced,Chinese,70,124.49790302525035,8472,8446.644209397018,1.4739333152773804
Not outsourced,Any other Asian background,57,118.35184762580995,8472,8446.644209397018,1.4011700350080065
Not outsourced,African,232,157.08953857333242,8472,8446.644209397018,1.859786379998911
Not outsourced,Caribbean,74,56.560516560282664,8472,8446.644209397018,0.6696211555514348
Not outsourced,"Any other Black, Black British, or Caribbean background",36,25.59891977856003,8472,8446.644209397018,0.30306615436791867
Not outsourced,Arab,12,20.473144396598034,8472,8446.644209397018,0.24238199087184653
Not outsourced,Any other ethnic group,13,23.401797113823136,8472,8446.644209397018,0.27705437252569826
Not outsourced,Don’t think of myself as any of these,7,5.868929484455979,8472,8446.644209397018,0.06948238068233899
Not outsourced,Prefer not to say,22,23.53820289130411,8472,8446.644209397018,0.27866928341929575
Not outsourced,NA,282,277.4361188529245,8472,8446.644209397018,3.284572097215515
Outsourced,English / Welsh / Scottish / Northern Irish / British,1124,1143.0718956885103,1683,1708.3557906029905,66.91064601273985
Outsourced,Irish,17,14.861753321849944,1683,1708.3557906029905,0.8699448559602598
Outsourced,Gypsy or Irish Traveller,2,2.47560567087183,1683,1708.3557906029905,0.1449115977180624
Outsourced,Roma,3,2.25262072763344,1683,1708.3557906029905,0.1318589921387712
Outsourced,Any other White background,80,93.95610545382105,1683,1708.3557906029905,5.499797288751999
Outsourced,White and Black Caribbean,11,5.532428668132385,1683,1708.3557906029905,0.3238452258343462
Outsourced,White and Black African,26,14.614844901386402,1683,1708.3557906029905,0.8554918701231355
Outsourced,White and Asian,12,9.13000403961486,1683,1708.3557906029905,0.5344322353596076
Outsourced,Any other Mixed / Multiple ethnic background,23,15.889547813057089,1683,1708.3557906029905,0.9301076450502519
Outsourced,Indian,55,73.97654604016185,1683,1708.3557906029905,4.330277477740786
Outsourced,Pakistani,49,53.853938216092885,1683,1708.3557906029905,3.1523842113172633
Outsourced,Bangladeshi,21,23.03765378642293,1683,1708.3557906029905,1.3485278601298523
Outsourced,Chinese,12,21.03653132603245,1683,1708.3557906029905,1.2313905242541592
Outsourced,Any other Asian background,26,44.79878201988643,1683,1708.3557906029905,2.622333255537713
Outsourced,African,111,69.96245675329128,1683,1708.3557906029905,4.095309486356876
Outsourced,Caribbean,15,15.105627814566564,1683,1708.3557906029905,0.8842202483614259
Outsourced,"Any other Black, Black British, or Caribbean background",16,11.786083045457657,1683,1708.3557906029905,0.6899079869830614
Outsourced,Arab,7,12.027350406733706,1683,1708.3557906029905,0.7040307688182722
Outsourced,Any other ethnic group,3,7.056285363705941,1683,1708.3557906029905,0.4130454207794335
Outsourced,Don’t think of myself as any of these,5,2.9417146801148863,1683,1708.3557906029905,0.17219566885868445
Outsourced,Prefer not to say,4,6.915292160801428,1683,1708.3557906029905,0.40479226861522616
Outsourced,NA,61,64.07272270484515,1683,1708.3557906029905,3.7505490985709535
