outsourcing_status,income_group,Ethnicity_collapsed,n,Frequency,N,Sum,Percentage,Ethnicity_short
Not outsourced,Not low,White/White British,4487,4318.642699413699,5280,5120.091653802492,84.34698031638578,White/White British
Not outsourced,Not low,Arab/British Arab,9,13.75719323722442,5280,5120.091653802492,0.26869037055239997,Arab/British Arab
Not outsourced,Not low,Asian/Asian British,280,407.4819754542006,5280,5120.091653802492,7.958489867101884,Asian/Asian British
Not outsourced,Not low,Black/African/Caribbean/Black British,221,148.9343604430806,5280,5120.091653802492,2.908822156190756,Black/African/Caribbean/Black British
Not outsourced,Not low,Mixed/Multiple ethnic group,142,82.66160076172953,5280,5120.091653802492,1.6144554892946104,Mixed/Multiple ethnic group
Not outsourced,Not low,Other ethnic group,19,31.9834655655286,5280,5120.091653802492,0.6246658795995522,Other ethnic group
Not outsourced,Not low,Prefer not to say,122,116.63035892702943,5280,5120.091653802492,2.2778959208750225,Prefer not to say
Not outsourced,Low,White/White British,1394,1539.1528508503025,1644,1788.0524687427219,86.07984820113056,White/White British
Not outsourced,Low,Arab/British Arab,2,4.730080650243655,1644,1788.0524687427219,0.2645381348104195,Arab/British Arab
Not outsourced,Low,Asian/Asian British,80,113.1349201978422,1644,1788.0524687427219,6.327270713559854,Asian/Asian British
Not outsourced,Low,Black/African/Caribbean/Black British,73,59.50240426615459,1644,1788.0524687427219,3.3277773055504354,Black/African/Caribbean/Black British
Not outsourced,Low,Mixed/Multiple ethnic group,49,28.47184685273386,1644,1788.0524687427219,1.592338443667371,Mixed/Multiple ethnic group
Not outsourced,Low,Other ethnic group,1,0.6331886360119569,1644,1788.0524687427219,0.03541219550772951,Other ethnic group
Not outsourced,Low,Prefer not to say,45,42.427177289433054,1644,1788.0524687427219,2.372815005773625,Prefer not to say
Outsourced,Not low,White/White British,701,684.3702695751167,986,956.4920923346727,71.55001855840312,White/White British
Outsourced,Not low,Arab/British Arab,4,6.069385858509403,986,956.4920923346727,0.6345463707593045,Arab/British Arab
Outsourced,Not low,Asian/Asian British,108,143.72196207078264,986,956.4920923346727,15.025943572620243,Asian/Asian British
Outsourced,Not low,Black/African/Caribbean/Black British,99,65.55984348114269,986,956.4920923346727,6.854196078204853,Black/African/Caribbean/Black British
Outsourced,Not low,Mixed/Multiple ethnic group,39,20.3628604858863,986,956.4920923346727,2.1289104895977977,Mixed/Multiple ethnic group
Outsourced,Not low,Other ethnic group,7,7.8515623787088815,986,956.4920923346727,0.8208706001472776,Other ethnic group
Outsourced,Not low,Prefer not to say,28,28.55620848452611,986,956.4920923346727,2.9855143302673963,Prefer not to say
Outsourced,Low,White/White British,281,326.92978567146855,381,434.1318790001437,75.30656039921001,White/White British
Outsourced,Low,Arab/British Arab,1,1.7568934585174687,381,434.1318790001437,0.4046911879781321,Arab/British Arab
Outsourced,Low,Asian/Asian British,34,46.202762537445544,381,434.1318790001437,10.642563878021557,Asian/Asian British
Outsourced,Low,Black/African/Caribbean/Black British,21,15.656839546741475,381,434.1318790001437,3.6064708223687694,Black/African/Caribbean/Black British
Outsourced,Low,Mixed/Multiple ethnic group,25,19.64573624916948,381,434.1318790001437,4.525292244010253,Mixed/Multiple ethnic group
Outsourced,Low,Other ethnic group,1,3.9329493835023297,381,434.1318790001437,0.9059342503389455,Other ethnic group
Outsourced,Low,Prefer not to say,18,20.00691215329889,381,434.1318790001437,4.608487218072338,Prefer not to say
