UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
Functional Managers and Directors,132,Functional Managers and Directors,NA,7.8431372549019605,0,1
Sales Assistants and Retail Cashiers,116,Sales Assistants and Retail Cashiers,NA,6.8924539512774805,7.843137254901961,2
Caring Personal Services,98,Caring Personal Services,NA,5.822935234699941,14.735591206179436,3
Other Administrative Occupations,74,Other Administrative Occupations,NA,4.396910279263221,20.558526440879376,4
Information Technology Professionals,71,Information Technology Professionals,NA,4.21865715983363,24.9554367201426,5
Elementary Cleaning Occupations,69,Elementary Cleaning Occupations,NA,4.09982174688057,29.174093879976226,6
Teaching Professionals,53,Teaching Professionals,NA,3.1491384432560903,33.273915626856805,7
Other Elementary Services Occupations,51,Other Elementary Services Occupations,NA,3.0303030303030303,36.42305407011289,8
Road Transport Drivers,50,Road Transport Drivers,NA,2.9708853238265003,39.45335710041592,9
Nursing Professionals,46,Nursing Professionals,NA,2.7332144979203803,42.42424242424242,10
Elementary Storage Occupations,43,Elementary Storage Occupations,NA,2.5549613784907903,45.1574569221628,11
Customer Service Occupations,33,Customer Service Occupations,NA,1.9607843137254901,49.673202614379086,12
Elementary Security Occupations,33,Elementary Security Occupations,NA,1.9607843137254901,47.712418300653596,13
Information Technology Technicians,32,Information Technology Technicians,NA,1.9013666072489603,51.63398692810458,14
Engineering Professionals,30,Engineering Professionals,NA,1.7825311942959003,53.535353535353536,15
Administrative Occupations: Finance,29,Administrative Occupations: Finance,NA,1.7231134878193701,57.040998217468804,16
Teaching and Childcare Support Occupations,29,Teaching and Childcare Support Occupations,NA,1.7231134878193701,55.317884729649435,17
Administrative Occupations: Office Managers and Supervisors,28,Administrative Occupations: Office Managers and Supervisors,NA,1.6636957813428401,62.091503267973856,18
Food Preparation and Hospitality Trades,28,Food Preparation and Hospitality Trades,NA,1.6636957813428401,60.42780748663102,19
Shopkeepers and Sales Supervisors,28,Shopkeepers and Sales Supervisors,NA,1.6636957813428401,58.76411170528817,20
Finance Professionals,26,Finance Professionals,NA,1.5448603683897801,65.30005941770648,21
"Sales, Marketing and Related Associate Professionals",26,Sales,Marketing and Related Associate Professionals,1.5448603683897801,63.755199049316694,22
Business Associate Professionals,25,Business Associate Professionals,NA,1.4854426619132501,66.84491978609626,23
"Business, Research and Administrative Professionals",22,Business,Research and Administrative Professionals,1.3071895424836601,69.63755199049317,24
Managers and Directors in Retail and Wholesale,22,Managers and Directors in Retail and Wholesale,NA,1.3071895424836601,68.33036244800951,25
Other Health Professionals,21,Other Health Professionals,NA,1.2477718360071302,72.19251336898395,26
Secretarial and Related Occupations,21,Secretarial and Related Occupations,NA,1.2477718360071302,70.94474153297682,27
Administrative Occupations: Records,19,Administrative Occupations: Records,NA,1.1289364230540702,73.44028520499108,28
