UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
Functional Managers and Directors,28,Functional Managers and Directors,NA,9.621993127147768,0,1
Sales Assistants and Retail Cashiers,20,Sales Assistants and Retail Cashiers,NA,6.872852233676976,9.62199312714776,2
Caring Personal Services,15,Caring Personal Services,NA,5.154639175257731,16.49484536082474,3
Engineering Professionals,13,Engineering Professionals,NA,4.4673539518900345,26.116838487972515,5
Other Elementary Services Occupations,13,Other Elementary Services Occupations,NA,4.4673539518900345,21.64948453608247,4
Elementary Cleaning Occupations,12,Elementary Cleaning Occupations,NA,4.123711340206185,34.70790378006873,7
Road Transport Drivers,12,Road Transport Drivers,NA,4.123711340206185,30.584192439862548,6
Other Administrative Occupations,10,Other Administrative Occupations,NA,3.436426116838488,38.83161512027491,8
Information Technology Professionals,9,Information Technology Professionals,NA,3.0927835051546393,45.36082474226804,10
Teaching Professionals,9,Teaching Professionals,NA,3.0927835051546393,42.2680412371134,9
Finance Professionals,7,Finance Professionals,NA,2.405498281786942,48.45360824742268,11
Administrative Occupations: Office Managers and Supervisors,6,Administrative Occupations: Office Managers and Supervisors,NA,2.0618556701030926,59.106529209621996,16
Customer Service Occupations,6,Customer Service Occupations,NA,2.0618556701030926,57.044673539518904,15
Elementary Security Occupations,6,Elementary Security Occupations,NA,2.0618556701030926,54.98281786941581,14
Elementary Storage Occupations,6,Elementary Storage Occupations,NA,2.0618556701030926,52.92096219931272,13
Shopkeepers and Sales Supervisors,6,Shopkeepers and Sales Supervisors,NA,2.0618556701030926,50.859106529209626,12
Business Associate Professionals,5,Business Associate Professionals,NA,1.718213058419244,68.04123711340206,21
Mobile Machine Drivers and Operatives,5,Mobile Machine Drivers and Operatives,NA,1.718213058419244,66.32302405498282,20
Nursing Professionals,5,Nursing Professionals,NA,1.718213058419244,64.60481099656357,19
Other Health Professionals,5,Other Health Professionals,NA,1.718213058419244,62.88659793814433,18
"Sales, Marketing and Related Associate Professionals",5,Sales,Marketing and Related Associate Professionals,1.718213058419244,61.16838487972509,17
Administrative Occupations: Finance,4,Administrative Occupations: Finance,NA,1.3745704467353952,78.00687285223367,28
Administrative Occupations: Government and Related Organisations,4,Administrative Occupations: Government and Related Organisations,NA,1.3745704467353952,76.63230240549828,27
Administrative Occupations: Records,4,Administrative Occupations: Records,NA,1.3745704467353952,75.25773195876289,26
Business and Financial Project Management Professionals,4,Business and Financial Project Management Professionals,NA,1.3745704467353952,73.8831615120275,25
"Business, Research and Administrative Professionals",4,Business,Research and Administrative Professionals,1.3745704467353952,72.5085910652921,24
