UnitOccupation_labelled,n,UnitOcc_short,UnitOcc_short_detail,perc,cum_perc,rank
Functional Managers and Directors,85,Functional Managers and Directors,NA,7.5690115761353525,0,1
Sales Assistants and Retail Cashiers,80,Sales Assistants and Retail Cashiers,NA,7.123775601068566,7.5690115761353525,2
Caring Personal Services,63,Caring Personal Services,NA,5.6099732858414955,14.692787177203925,3
Elementary Cleaning Occupations,54,Elementary Cleaning Occupations,NA,4.808548530721282,20.302760463045416,4
Information Technology Professionals,49,Information Technology Professionals,NA,4.363312555654497,25.1113089937667,5
Other Administrative Occupations,45,Other Administrative Occupations,NA,4.007123775601069,29.4746215494212,6
Teaching Professionals,35,Teaching Professionals,NA,3.1166518254674975,33.48174532502226,7
Elementary Storage Occupations,32,Elementary Storage Occupations,NA,2.8495102404274264,36.59839715048976,8
Nursing Professionals,29,Nursing Professionals,NA,2.5823686553873553,39.44790739091719,9
Other Elementary Services Occupations,28,Other Elementary Services Occupations,NA,2.4933214603739984,42.03027604630454,10
Road Transport Drivers,26,Road Transport Drivers,NA,2.315227070347284,44.52359750667854,11
Elementary Security Occupations,25,Elementary Security Occupations,NA,2.226179875333927,51.29118432769368,14
Information Technology Technicians,25,Information Technology Technicians,NA,2.226179875333927,49.06500445235975,13
Teaching and Childcare Support Occupations,25,Teaching and Childcare Support Occupations,NA,2.226179875333927,46.838824577025825,12
Customer Service Occupations,23,Customer Service Occupations,NA,2.0480854853072126,53.517364203027604,15
Food Preparation and Hospitality Trades,21,Food Preparation and Hospitality Trades,NA,1.8699910952804988,55.565449688334816,16
Shopkeepers and Sales Supervisors,20,Shopkeepers and Sales Supervisors,NA,1.7809439002671414,57.43544078361532,17
Administrative Occupations: Office Managers and Supervisors,19,Administrative Occupations: Office Managers and Supervisors,NA,1.6918967052537845,59.21638468388246,18
"Sales, Marketing and Related Associate Professionals",18,Sales,Marketing and Related Associate Professionals,1.6028495102404272,60.90828138913624,19
Administrative Occupations: Finance,17,Administrative Occupations: Finance,NA,1.5138023152270703,67.05253784505788,23
Business Associate Professionals,17,Business Associate Professionals,NA,1.5138023152270703,65.5387355298308,22
Managers and Directors in Retail and Wholesale,17,Managers and Directors in Retail and Wholesale,NA,1.5138023152270703,64.02493321460375,21
Secretarial and Related Occupations,17,Secretarial and Related Occupations,NA,1.5138023152270703,62.511130899376674,20
"Business, Research and Administrative Professionals",16,Business,Research and Administrative Professionals,1.4247551202137132,68.56634016028495,24
