sector_name_labelled,unit_occupation_labelled,wtd_avg_income_not_outsourced,wtd_avg_income_outsourced,n_not_outsourced,n_outsourced,pay_penalty
Accommodation And Food Service Activities,Other Elementary Services Occupations,336.41674045944353,276.86548621913516,94,32,-59.55125424030837
Administrative And Support Service Activities,Customer Service Occupations,437.98132495101987,317.8058054632287,11,10,-120.17551948779118
Administrative And Support Service Activities,Elementary Cleaning Occupations,324.9068346317337,216.14530600448202,15,16,-108.76152862725169
Education,Teaching And Childcare Support Occupations,335.06576326430036,288.3576701168249,137,26,-46.70809314747544
Education,Teaching Professionals,674.6331983281453,591.5488498041116,283,40,-83.08434852403377
Human Health And Social Work Activities,Caring Personal Services,424.45307295551396,396.2457485090024,301,81,-28.207324446511564
Human Health And Social Work Activities,Nursing Professionals,670.7051405148449,609.1528110577077,177,35,-61.55232945713715
Human Health And Social Work Activities,Other Health Professionals,662.8731208380873,635.3557149985536,50,13,-27.517405839533694
Information And Communication,Functional Managers And Directors,933.102044967671,864.3059849376773,28,11,-68.79606002999367
Information And Communication,Information Technology Professionals,935.2413511713384,840.9397291507279,79,26,-94.30162202061047
Information And Communication,Information Technology Technicians,783.5755278020861,588.3637267506505,16,11,-195.2118010514356
Manufacturing,Functional Managers And Directors,796.9413990977392,503.00673833871946,35,14,-293.9346607590198
Transportation And Storage,Road Transport Drivers,606.6915568361023,574.2729134676836,71,19,-32.41864336841877
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Elementary Storage Occupations,453.81586510960307,445.80178566527627,53,14,-8.014079444326796
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Functional Managers And Directors,750.7923183723277,535.9459195876764,50,12,-214.84639878465134
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Road Transport Drivers,524.652613799277,501.1771978171331,37,11,-23.475415982143886
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Shopkeepers And Sales Supervisors,454.6491416571098,434.35280443059924,55,20,-20.29633722651056
