UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Administrative Occupations: Finance,Not outsourced,154,136.66447582985396,548.4013015215294,556.9150860686378,177,157.92197845374974,86.53923739302606
Administrative Occupations: Finance,Outsourced,23,21.257502623895782,557.8157538633998,567.5185706175191,177,157.92197845374974,13.460762606973937
Administrative Occupations: Government And Related Organisations,Not outsourced,150,126.68151057658245,655.5597200736648,660.8698843371966,161,136.3351118638463,92.91921123231658
Administrative Occupations: Government And Related Organisations,Outsourced,11,9.653601287263832,491.13092248451363,487.61734751529025,161,136.3351118638463,7.080788767683405
Administrative Occupations: Office Managers And Supervisors,Not outsourced,106,95.12314826581257,593.40242120991,615.9347668115155,128,113.62413322107204,83.71738077925474
Administrative Occupations: Office Managers And Supervisors,Outsourced,22,18.50098495525946,676.4161644064959,665.6230959361436,128,113.62413322107204,16.282619220745246
Administrative Occupations: Records,Not outsourced,86,82.90064185849874,517.2379670970919,511.3669053066871,102,98.9543222185249,83.77667594491311
Administrative Occupations: Records,Outsourced,16,16.053680360026146,594.0961671270718,591.3692322406542,102,98.9543222185249,16.223324055086895
Agricultural And Related Trades,Not outsourced,30,33.98295219723105,430.40352977286676,411.8669213064614,37,43.12367174427108,78.80347573081052
Agricultural And Related Trades,Outsourced,7,9.140719547040032,478.3534333070245,515.8247591548256,37,43.12367174427108,21.196524269189496
Animal Care And Control Services,Not outsourced,14,14.525266071012775,331.71636849951767,312.3277480938218,16,17.094579445982944,84.97001120683356
Animal Care And Control Services,Outsourced,2,2.569313374970169,473.82136279926334,496.55031862159933,16,17.094579445982944,15.029988793166432
"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors And Construction Professionals",Not outsourced,27,24.205536238599382,802.3361185003296,833.106640033464,35,30.422388866231323,79.56487685773878
"Architects, Chartered Architectural Technologists, Planning Officers, Surveyors And Construction Professionals",Outsourced,8,6.216852627631942,592.1807857581338,590.5550756266649,35,30.422388866231323,20.435123142261236
"Artistic, Literary And Media Occupations",Not outsourced,27,25.829595409937248,588.6752267921697,572.8121437876558,29,27.606289956070253,93.56416762643495
"Artistic, Literary And Media Occupations",Outsourced,2,1.7766945461330037,576.0681399631676,532.8542615579505,29,27.606289956070253,6.435832373565041
Assemblers And Routine Operatives,Not outsourced,40,43.29907226347967,610.3258789134438,565.9227072984089,49,54.19367184593353,79.89691561511837
Assemblers And Routine Operatives,Outsourced,9,10.894599582453859,546.2952813587068,524.3663265737626,49,54.19367184593353,20.103084384881637
Building Finishing Trades,Not outsourced,7,13.493856877553357,474.65837937384896,406.7234231495462,9,15.150746819650017,89.06397181723261
Building Finishing Trades,Outsourced,2,1.656889942096659,425.41436464088395,391.4975541609054,9,15.150746819650017,10.936028182767384
Business And Financial Project Management Professionals,Not outsourced,66,56.16155606325568,910.4528247484049,906.9631951272504,73,65.13834286992187,86.21888981027288
Business And Financial Project Management Professionals,Outsourced,7,8.976786806666183,772.8683241252302,762.0359914744117,73,65.13834286992187,13.781110189727105
