ID,Sex,Age,Agegender_recode_useforquota,Region,Employment_Status,Is_an_employee,Consent_1_Ethnicity,Consent_2_TU,Consent_3_Health,Ethnicity,Has_Degree,TradeUnion,D6_Children_2,D6_Children_3,D6_Children_4,D6_Children_5,D6_Children_6,D6_Children_7,D6_Children_8,Has_Second_Job,Who_Pays_You,Job_Security,Work_Circumstance_Agency,Work_Circumstance_Contract,Work_Circumstance_Seasonal,Work_Circumstance_Trainee,Work_Circumstance_Other,Work_Circumstance_Other_TEXT,Org_Size,Is_Supervisor,Job_Title_TEXT,Main_Activity_TEXT,Employer_Activity_TEXT,Employer_Activity_SIC,Biz_Type,Non_Private_Biz_Type,Non_Private_Biz_Type_TEXT,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q2_3_other,Q3v3a,Q3v3b,Q3v3c,Q3v3d,D7_Disability1,D8_Disability2,INCOME_FREQ,INCOME_OPEN_1,INCOME_OPEN_2,INCOME_CLOSED_ANNUAL,INCOME_CLOSED_MONTHLY,INCOME_CLOSED_WEEKLY,INCOME_CLOSED_HOURLY,HOURS,BORNUK,NatRepemployees,NatRepemployeesGraduate,unit_code,UnitOccupation,smg_code,MajorsubgroupOccupation,major_code,Majorgroupcode,SectorCode,SectorName,sum_true,outsourced,likely_agency,high_indicators,outsourcing_group,outsourcing_status
f61a8d90-554c-491e-9e03-f0110979d606,2,43,9,5,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,3,NA,NA,NA,NA,NA,,6,2,Nursery Assistant,Propagate plants,Garden Centre,21,1,NA,,2,2,2,2,2,2,2,,3,NA,NA,3,1,1,3,NA,0,NA,NA,3,NA,23.25,1,0.48597874755070214,1.0583976697658988,611,94,61,4,6,3,20,17,0,0,0,0,not_outsourced,Not outsourced
5b19a71f-fc90-469a-b3b1-1daa3a84fee2,2,9,6,7,2,1,1,1,1,16,2,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,6,2,Online Shopping Assistant,I shop for online orders and then deliver them to customers who chose to click and collect.,Food retail,7,1,NA,,2,2,2,2,2,1,1,,3,NA,NA,3,1,3,2,660,NA,NA,NA,NA,NA,15,1,0.8537109720730122,0.8496052179415596,415,67,41,1,4,1,7,23,1,0,0,0,not_outsourced,Not outsourced
44feec47-7f72-4f7a-8762-79f7afc673c1,1,14,2,10,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,5,2,Logistics,Plan the van route and delivery,"Strip out, demolition",6,1,NA,,2,2,1,2,2,1,1,,3,NA,NA,1,2,NA,1,34000,NA,NA,NA,NA,NA,45,5,0.7706144242078602,0.7788111103799845,114,26,11,6,1,5,6,7,2,0,1,0,likely_agency,Outsourced
7a6d995f-f353-4bff-bcb1-652c8a2445e2,1,16,2,11,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,9,2,Police officer,Law enforcement,Law enforcement,15,2,3,,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,1,44000,NA,NA,NA,NA,NA,40,1,0.597178401904573,0.5843859130256294,331,78,33,17,3,2,16,19,0,0,0,0,not_outsourced,Not outsourced
ed98e2a1-05c6-480f-bb27-935ab9d4fb82,2,14,7,6,1,1,1,1,1,15,2,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,,5,2,Care assistant,Palliative care,Caring for individuals,21,1,NA,,2,2,2,2,2,1,1,,3,NA,NA,3,2,NA,2,NA,0,NA,1,NA,NA,15,10,0.8459075791552076,0.8404460620561807,613,15,61,4,6,3,18,11,1,0,0,0,not_outsourced,Not outsourced
0004ebc9-f0b4-4fea-beae-0d28f7690bf1,2,36,9,4,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,NA,NA,NA,NA,NA,,6,2,Invoicing,Invoice insurance companies,Insurance assessors,11,1,NA,,1,2,2,2,2,2,1,,3,NA,NA,3,2,NA,2,NA,0,NA,12,NA,NA,30,1,0.754596033552093,0.7362041331577613,412,1,41,1,4,1,11,10,1,0,0,0,not_outsourced,Not outsourced
abedfae8-d622-4048-8057-2216c1006538,2,31,8,4,1,1,1,2,1,13,1,NA,1,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,,8,2,Admin,Admin,Government,22,2,3,,1,2,2,2,2,2,1,,3,NA,NA,3,2,NA,2,NA,0,NA,3,NA,NA,37,2,1.688359392611918,1.610523185891284,415,67,41,1,4,1,16,19,1,0,0,0,not_outsourced,Not outsourced
0b161d8a-17d3-466f-961a-bfbf55bfe9a1,1,16,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,,6,2,Technical & Technology Production Manager,Manage technology in client projects,Event Services,21,1,NA,,1,2,1,2,2,2,2,,3,NA,NA,3,1,2,1,49000,NA,NA,NA,NA,NA,37.5,1,0.7396020180116426,0.7579188362478059,311,87,31,19,3,2,19,6,2,0,0,0,not_outsourced,Not outsourced
4b2a39a6-9602-4c8b-8b81-8609f23e378e,1,29,3,11,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,NA,NA,NA,NA,NA,,2,2,surveyor,domestic site surveys for utility installations,Install water supply pipes and drainage,5,1,NA,,2,1,1,2,2,2,3,We have some long term contracts and some jobs that are one day jobs for multiple housholds,2,NA,3,NA,2,NA,3,800,NA,NA,NA,NA,NA,45,1,2.9972368434023564,1.3740134877856462,245,7,24,3,2,8,5,22,2,0,0,0,not_outsourced,Not outsourced
1e0d8d56-5994-4fa5-aa24-1411f96842f0,1,13,2,11,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,5,1,Ops Engineer,Assist customers with technical enquiries,IT Services,10,1,NA,,2,1,1,1,2,1,1,,1,3,NA,NA,2,NA,1,30000,NA,NA,NA,NA,NA,36,1,1.4556646739761308,1.4244058166558435,313,47,31,19,3,2,10,12,4,1,0,0,outsourced,Outsourced
