Ethnicity_labelled,Ethnicity_collapsed
English / Welsh / Scottish / Northern Irish / British,White British
Irish,White other
Gypsy or Irish Traveller,White other
Roma,White other
Any other White background,White other
White and Black Caribbean,Mixed/Multiple ethnic group
White and Black African,Mixed/Multiple ethnic group
White and Asian,Mixed/Multiple ethnic group
Any other Mixed / Multiple ethnic background,Mixed/Multiple ethnic group
Indian,Asian/Asian British
Pakistani,Asian/Asian British
Bangladeshi,Asian/Asian British
Chinese,Asian/Asian British
Any other Asian background,Asian/Asian British
African,Black/African/Caribbean/Black British
Caribbean,Black/African/Caribbean/Black British
"Any other Black, Black British, or Caribbean background",Black/African/Caribbean/Black British
Arab,Arab/British Arab
Any other ethnic group,Other ethnic group
Don’t think of myself as any of these,Prefer not to say
Prefer not to say,Prefer not to say
NA,Prefer not to say
